mode,fold_id,model,n_train,n_test,fit_predict_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
within_session,within_s1_0train_run0,CSP+LDA,115,23,0.22207580000394955,0.7424242424242424,0.7391304347826086,0.7386363636363636,0.48120300751879697
within_session,within_s1_0train_run0,CSP+linearSVM,115,23,0.133764499987592,0.7803030303030303,0.782608695652174,0.780952380952381,0.5627376425855513
within_session,within_s1_0train_run1,CSP+LDA,116,22,0.133533999993233,0.9090909090909092,0.9090909090909091,0.9083333333333333,0.8181818181818181
within_session,within_s1_0train_run1,CSP+linearSVM,116,22,0.1253123000060441,0.9545454545454546,0.9545454545454546,0.9544513457556936,0.9090909090909091
within_session,within_s1_0train_run2,CSP+LDA,115,23,0.12558849999913946,0.9545454545454546,0.9565217391304348,0.9561904761904761,0.9125475285171103
within_session,within_s1_0train_run2,CSP+linearSVM,115,23,0.1297030999994604,0.8674242424242424,0.8695652173913043,0.8685714285714285,0.7376425855513308
within_session,within_s1_0train_run3,CSP+LDA,114,24,0.12240189999283757,0.875,0.875,0.8747826086956522,0.75
within_session,within_s1_0train_run3,CSP+linearSVM,114,24,0.13026849999732804,0.875,0.875,0.8747826086956522,0.75
within_session,within_s1_0train_run4,CSP+LDA,114,24,0.1349664000008488,0.875,0.875,0.8747826086956522,0.75
within_session,within_s1_0train_run4,CSP+linearSVM,114,24,0.16679700001259334,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s1_0train_run5,CSP+LDA,116,22,0.14227090000349563,0.9090909090909092,0.9090909090909091,0.9083333333333333,0.8181818181818181
within_session,within_s1_0train_run5,CSP+linearSVM,116,22,0.1650426999985939,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8181818181818181
within_session,within_s1_1test_run0,CSP+LDA,119,22,0.17019419999269303,0.9545454545454546,0.9545454545454546,0.9544513457556936,0.9090909090909091
within_session,within_s1_1test_run0,CSP+linearSVM,119,22,0.18634869999368675,0.9545454545454546,0.9545454545454546,0.9544513457556936,0.9090909090909091
within_session,within_s1_1test_run1,CSP+LDA,118,23,0.17353949999960605,0.8712121212121212,0.8695652173913043,0.8695652173913043,0.739622641509434
within_session,within_s1_1test_run1,CSP+linearSVM,118,23,0.16898289999517146,0.9583333333333333,0.9565217391304348,0.9565217391304348,0.9132075471698113
within_session,within_s1_1test_run2,CSP+LDA,117,24,0.21154210000531748,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s1_1test_run2,CSP+linearSVM,117,24,0.15554760000668466,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s1_1test_run3,CSP+LDA,117,24,0.1593224999960512,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s1_1test_run3,CSP+linearSVM,117,24,0.14254220000293572,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s1_1test_run4,CSP+LDA,117,24,0.13650850001431536,0.875,0.875,0.873015873015873,0.75
within_session,within_s1_1test_run4,CSP+linearSVM,117,24,0.13891739999235142,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334
within_session,within_s1_1test_run5,CSP+LDA,117,24,0.14681190000555944,0.8333333333333333,0.8333333333333334,0.8321678321678322,0.6666666666666667
within_session,within_s1_1test_run5,CSP+linearSVM,117,24,0.1422510999982478,0.7916666666666667,0.7916666666666666,0.791304347826087,0.5833333333333333
within_session,within_s2_0train_run0,CSP+LDA,112,24,0.1406177999888314,0.5416666666666667,0.5416666666666666,0.5408695652173914,0.08333333333333337
within_session,within_s2_0train_run0,CSP+linearSVM,112,24,0.12738819999503903,0.5,0.5,0.5,0.0
within_session,within_s2_0train_run1,CSP+LDA,112,24,0.12782639999932144,0.4166666666666667,0.4166666666666667,0.4,-0.16666666666666674
within_session,within_s2_0train_run1,CSP+linearSVM,112,24,0.1243283999938285,0.45833333333333337,0.4583333333333333,0.4497354497354497,-0.08333333333333326
within_session,within_s2_0train_run2,CSP+LDA,113,23,0.12630889999854844,0.6931818181818181,0.6956521739130435,0.6933333333333334,0.38783269961977185
within_session,within_s2_0train_run2,CSP+linearSVM,113,23,0.12576840000110678,0.6477272727272727,0.6521739130434783,0.6461538461538461,0.2977099236641222
within_session,within_s2_0train_run3,CSP+LDA,113,23,0.12520070000027772,0.48484848484848486,0.4782608695652174,0.46923076923076923,-0.029850746268656803
within_session,within_s2_0train_run3,CSP+linearSVM,113,23,0.14738960000977386,0.48484848484848486,0.4782608695652174,0.46923076923076923,-0.029850746268656803
within_session,within_s2_0train_run4,CSP+LDA,114,22,0.15227990000857972,0.5454545454545454,0.5454545454545454,0.5416666666666667,0.09090909090909094
