mode,model,subject,session,n_test,balanced_accuracy,accuracy,macro_f1,cohen_kappa
cross_session,CSP+LDA,1,1test,141,0.9216297786720322,0.9219858156028369,0.921733864863501,0.8438538205980066
cross_session,CSP+LDA,2,1test,142,0.5140845070422535,0.5140845070422535,0.42832137230876943,0.028169014084507005
cross_session,CSP+LDA,3,1test,137,0.9477611940298507,0.948905109489051,0.9486314210723659,0.8975317875841435
cross_session,CSP+LDA,4,1test,116,0.5841510556051145,0.5775862068965517,0.5102955113293701,0.16607981220657275
cross_session,CSP+LDA,5,1test,135,0.5692307692307692,0.5555555555555556,0.49425574425574426,0.13461538461538458
cross_session,CSP+LDA,6,1test,108,0.6564322469982847,0.6574074074074074,0.6559621179509255,0.3134020618556701
cross_session,CSP+LDA,7,1test,140,0.7661767707695448,0.7642857142857142,0.7607581171353115,0.530296868645791
cross_session,CSP+LDA,8,1test,134,0.9779411764705883,0.9776119402985075,0.977610693400167,0.9552438209752839
cross_session,CSP+LDA,9,1test,130,0.9076923076923078,0.9076923076923077,0.9076704545454546,0.8153846153846154
cross_session,CSP+linearSVM,1,1test,141,0.8071428571428572,0.8085106382978723,0.8006493166465937,0.6159588419247453
cross_session,CSP+linearSVM,2,1test,142,0.528169014084507,0.528169014084507,0.44489176731431235,0.05633802816901412
cross_session,CSP+linearSVM,3,1test,137,0.9328358208955223,0.9343065693430657,0.9337986577181208,0.8681706404362237
cross_session,CSP+linearSVM,4,1test,116,0.6011002081474873,0.5948275862068966,0.5369851380042463,0.19964768056371107
cross_session,CSP+linearSVM,5,1test,135,0.5758241758241759,0.562962962962963,0.5110197065504328,0.1476725521669343
cross_session,CSP+linearSVM,6,1test,108,0.6746140651801029,0.6759259259259259,0.6736596736596736,0.35006877579092166
cross_session,CSP+linearSVM,7,1test,140,0.7802612778117983,0.7785714285714286,0.776,0.5585842148087876
cross_session,CSP+linearSVM,8,1test,134,0.9774955436720143,0.9776119402985075,0.9776007132111216,0.955203922442612
cross_session,CSP+linearSVM,9,1test,130,0.8769230769230769,0.8769230769230769,0.8766603415559773,0.7538461538461538
cross_subject,CSP+LDA,1,0train,138,0.5217391304347826,0.5217391304347826,0.3906877174203907,0.04347826086956519
cross_subject,CSP+LDA,1,1test,141,0.55,0.5531914893617021,0.43725055432372506,0.10063784549964583
cross_subject,CSP+LDA,2,0train,136,0.47523253298723767,0.47058823529411764,0.41477408558450873,-0.04906792371973445
cross_subject,CSP+LDA,2,1test,142,0.5352112676056338,0.5352112676056338,0.4906521739130435,0.07042253521126762
cross_subject,CSP+LDA,3,0train,137,0.5808823529411765,0.583941605839416,0.4930866601752678,0.1627532968800257
cross_subject,CSP+LDA,3,1test,137,0.85682302771855,0.8540145985401459,0.8522433132010354,0.709561161755353
cross_subject,CSP+LDA,4,0train,129,0.636615310544054,0.6356589147286822,0.6356589147286822,0.2724108964358575
cross_subject,CSP+LDA,4,1test,116,0.6126969967291109,0.6120689655172413,0.6118093255001116,0.22505938242280288
cross_subject,CSP+LDA,5,0train,129,0.4841269841269841,0.4883720930232558,0.4684065934065934,-0.03200000000000003
