mode,fold_id,role,sample_id,subject,session,run,trial
cross_subject,loso_s1,train,s02_0train_r0_t01,2,0train,0,1
cross_subject,loso_s1,train,s02_0train_r0_t02,2,0train,0,2
cross_subject,loso_s1,train,s02_0train_r0_t03,2,0train,0,3
cross_subject,loso_s1,train,s02_0train_r0_t04,2,0train,0,4
cross_subject,loso_s1,train,s02_0train_r0_t05,2,0train,0,5
cross_subject,loso_s1,train,s02_0train_r0_t06,2,0train,0,6
cross_subject,loso_s1,train,s02_0train_r0_t07,2,0train,0,7
cross_subject,loso_s1,train,s02_0train_r0_t09,2,0train,0,9
cross_subject,loso_s1,train,s02_0train_r0_t11,2,0train,0,11
cross_subject,loso_s1,train,s02_0train_r0_t13,2,0train,0,13
cross_subject,loso_s1,train,s02_0train_r0_t14,2,0train,0,14
cross_subject,loso_s1,train,s02_0train_r0_t20,2,0train,0,20
cross_subject,loso_s1,train,s02_0train_r0_t22,2,0train,0,22
cross_subject,loso_s1,train,s02_0train_r0_t23,2,0train,0,23
cross_subject,loso_s1,train,s02_0train_r0_t24,2,0train,0,24
cross_subject,loso_s1,train,s02_0train_r0_t27,2,0train,0,27
cross_subject,loso_s1,train,s02_0train_r0_t31,2,0train,0,31
cross_subject,loso_s1,train,s02_0train_r0_t32,2,0train,0,32
cross_subject,loso_s1,train,s02_0train_r0_t33,2,0train,0,33
cross_subject,loso_s1,train,s02_0train_r0_t34,2,0train,0,34
cross_subject,loso_s1,train,s02_0train_r0_t35,2,0train,0,35
cross_subject,loso_s1,train,s02_0train_r0_t36,2,0train,0,36
cross_subject,loso_s1,train,s02_0train_r0_t37,2,0train,0,37
cross_subject,loso_s1,train,s02_0train_r0_t39,2,0train,0,39
cross_subject,loso_s1,train,s02_0train_r1_t03,2,0train,1,3
cross_subject,loso_s1,train,s02_0train_r1_t04,2,0train,1,4
cross_subject,loso_s1,train,s02_0train_r1_t05,2,0train,1,5
cross_subject,loso_s1,train,s02_0train_r1_t06,2,0train,1,6
cross_subject,loso_s1,train,s02_0train_r1_t09,2,0train,1,9
cross_subject,loso_s1,train,s02_0train_r1_t11,2,0train,1,11
cross_subject,loso_s1,train,s02_0train_r1_t12,2,0train,1,12
cross_subject,loso_s1,train,s02_0train_r1_t13,2,0train,1,13
cross_subject,loso_s1,train,s02_0train_r1_t15,2,0train,1,15
cross_subject,loso_s1,train,s02_0train_r1_t16,2,0train,1,16
cross_subject,loso_s1,train,s02_0train_r1_t17,2,0train,1,17
cross_subject,loso_s1,train,s02_0train_r1_t18,2,0train,1,18
cross_subject,loso_s1,train,s02_0train_r1_t20,2,0train,1,20
cross_subject,loso_s1,train,s02_0train_r1_t21,2,0train,1,21
cross_subject,loso_s1,train,s02_0train_r1_t25,2,0train,1,25
cross_subject,loso_s1,train,s02_0train_r1_t28,2,0train,1,28
cross_subject,loso_s1,train,s02_0train_r1_t31,2,0train,1,31
cross_subject,loso_s1,train,s02_0train_r1_t32,2,0train,1,32
