sample_id,subject,session,run,trial,label,event_sample
s01_0train_r0_t03,1,0train,0,3,2,4171
s01_0train_r0_t04,1,0train,0,4,1,6123
s01_0train_r0_t05,1,0train,0,5,1,8131
s01_0train_r0_t06,1,0train,0,6,2,10242
s01_0train_r0_t09,1,0train,0,9,2,16140
s01_0train_r0_t11,1,0train,0,11,1,20044
s01_0train_r0_t12,1,0train,0,12,1,21939
s01_0train_r0_t13,1,0train,0,13,1,23911
s01_0train_r0_t15,1,0train,0,15,2,27822
s01_0train_r0_t16,1,0train,0,16,2,29942
s01_0train_r0_t17,1,0train,0,17,1,31950
s01_0train_r0_t18,1,0train,0,18,1,34016
s01_0train_r0_t20,1,0train,0,20,1,38118
s01_0train_r0_t21,1,0train,0,21,2,40188
s01_0train_r0_t25,1,0train,0,25,1,48164
s01_0train_r0_t28,1,0train,0,28,2,54233
s01_0train_r0_t31,1,0train,0,31,2,60305
s01_0train_r0_t32,1,0train,0,32,1,62412
s01_0train_r0_t33,1,0train,0,33,2,64504
s01_0train_r0_t39,1,0train,0,39,1,76657
s01_0train_r0_t41,1,0train,0,41,2,80663
s01_0train_r0_t43,1,0train,0,43,2,84631
s01_0train_r0_t48,1,0train,0,48,1,94757
s01_0train_r1_t01,1,0train,1,1,1,250
s01_0train_r1_t02,1,0train,1,2,1,2253
s01_0train_r1_t04,1,0train,1,4,2,6123
s01_0train_r1_t07,1,0train,1,7,1,12159
s01_0train_r1_t11,1,0train,1,11,1,20044
s01_0train_r1_t14,1,0train,1,14,1,25855
s01_0train_r1_t16,1,0train,1,16,2,29942
s01_0train_r1_t21,1,0train,1,21,1,40188
s01_0train_r1_t23,1,0train,1,23,2,44180
s01_0train_r1_t25,1,0train,1,25,2,48164
s01_0train_r1_t26,1,0train,1,26,1,50125
s01_0train_r1_t28,1,0train,1,28,2,54233
s01_0train_r1_t29,1,0train,1,29,1,56208
s01_0train_r1_t32,1,0train,1,32,1,62412
s01_0train_r1_t36,1,0train,1,36,2,70702
s01_0train_r1_t37,1,0train,1,37,1,72722
s01_0train_r1_t38,1,0train,1,38,2,74694
s01_0train_r1_t40,1,0train,1,40,2,78582
s01_0train_r1_t43,1,0train,1,43,2,84631
s01_0train_r1_t44,1,0train,1,44,2,86750
s01_0train_r1_t45,1,0train,1,45,2,88656
s01_0train_r1_t48,1,0train,1,48,1,94757
s01_0train_r2_t01,1,0train,2,1,2,250
s01_0train_r2_t07,1,0train,2,7,1,12159
s01_0train_r2_t08,1,0train,2,8,1,14209
s01_0train_r2_t10,1,0train,2,10,2,18138
s01_0train_r2_t14,1,0train,2,14,2,25855
