subject,session,run,n_all_four_class_trials,n_left_right_before_rejection,n_source_artifact_flags_all_classes,n_left_right_rejected,n_left_right_kept,n_left_kept,n_right_kept,n_times_per_epoch,n_eeg_channels,sampling_rate_hz
1,0train,0,48,24,2,1,23,12,11,750,22,250.0
1,0train,1,48,24,4,2,22,11,11,750,22,250.0
1,0train,2,48,24,3,1,23,11,12,750,22,250.0
1,0train,3,48,24,1,0,24,12,12,750,22,250.0
1,0train,4,48,24,2,0,24,12,12,750,22,250.0
1,0train,5,48,24,3,2,22,11,11,750,22,250.0
1,1test,0,48,24,3,2,22,11,11,750,22,250.0
1,1test,1,48,24,2,1,23,12,11,750,22,250.0
1,1test,2,48,24,1,0,24,12,12,750,22,250.0
1,1test,3,48,24,1,0,24,12,12,750,22,250.0
1,1test,4,48,24,0,0,24,12,12,750,22,250.0
1,1test,5,48,24,0,0,24,12,12,750,22,250.0
