mode,fold_id,role,sample_id,subject,session,run,trial
cross_session,cross_session_s1,train,s01_0train_r0_t03,1,0train,0,3
cross_session,cross_session_s1,train,s01_0train_r0_t04,1,0train,0,4
cross_session,cross_session_s1,train,s01_0train_r0_t05,1,0train,0,5
cross_session,cross_session_s1,train,s01_0train_r0_t06,1,0train,0,6
cross_session,cross_session_s1,train,s01_0train_r0_t09,1,0train,0,9
cross_session,cross_session_s1,train,s01_0train_r0_t11,1,0train,0,11
cross_session,cross_session_s1,train,s01_0train_r0_t12,1,0train,0,12
cross_session,cross_session_s1,train,s01_0train_r0_t13,1,0train,0,13
cross_session,cross_session_s1,train,s01_0train_r0_t15,1,0train,0,15
cross_session,cross_session_s1,train,s01_0train_r0_t16,1,0train,0,16
cross_session,cross_session_s1,train,s01_0train_r0_t17,1,0train,0,17
cross_session,cross_session_s1,train,s01_0train_r0_t18,1,0train,0,18
cross_session,cross_session_s1,train,s01_0train_r0_t20,1,0train,0,20
cross_session,cross_session_s1,train,s01_0train_r0_t21,1,0train,0,21
cross_session,cross_session_s1,train,s01_0train_r0_t25,1,0train,0,25
cross_session,cross_session_s1,train,s01_0train_r0_t28,1,0train,0,28
cross_session,cross_session_s1,train,s01_0train_r0_t31,1,0train,0,31
cross_session,cross_session_s1,train,s01_0train_r0_t32,1,0train,0,32
cross_session,cross_session_s1,train,s01_0train_r0_t33,1,0train,0,33
cross_session,cross_session_s1,train,s01_0train_r0_t39,1,0train,0,39
cross_session,cross_session_s1,train,s01_0train_r0_t41,1,0train,0,41
cross_session,cross_session_s1,train,s01_0train_r0_t43,1,0train,0,43
cross_session,cross_session_s1,train,s01_0train_r0_t48,1,0train,0,48
cross_session,cross_session_s1,train,s01_0train_r1_t01,1,0train,1,1
cross_session,cross_session_s1,train,s01_0train_r1_t02,1,0train,1,2
cross_session,cross_session_s1,train,s01_0train_r1_t04,1,0train,1,4
cross_session,cross_session_s1,train,s01_0train_r1_t07,1,0train,1,7
cross_session,cross_session_s1,train,s01_0train_r1_t11,1,0train,1,11
cross_session,cross_session_s1,train,s01_0train_r1_t14,1,0train,1,14
cross_session,cross_session_s1,train,s01_0train_r1_t16,1,0train,1,16
cross_session,cross_session_s1,train,s01_0train_r1_t21,1,0train,1,21
cross_session,cross_session_s1,train,s01_0train_r1_t23,1,0train,1,23
cross_session,cross_session_s1,train,s01_0train_r1_t25,1,0train,1,25
cross_session,cross_session_s1,train,s01_0train_r1_t26,1,0train,1,26
cross_session,cross_session_s1,train,s01_0train_r1_t28,1,0train,1,28
cross_session,cross_session_s1,train,s01_0train_r1_t29,1,0train,1,29
cross_session,cross_session_s1,train,s01_0train_r1_t32,1,0train,1,32
cross_session,cross_session_s1,train,s01_0train_r1_t36,1,0train,1,36
cross_session,cross_session_s1,train,s01_0train_r1_t37,1,0train,1,37
cross_session,cross_session_s1,train,s01_0train_r1_t38,1,0train,1,38
cross_session,cross_session_s1,train,s01_0train_r1_t40,1,0train,1,40
cross_session,cross_session_s1,train,s01_0train_r1_t43,1,0train,1,43
cross_session,cross_session_s1,train,s01_0train_r1_t44,1,0train,1,44
cross_session,cross_session_s1,train,s01_0train_r1_t45,1,0train,1,45
cross_session,cross_session_s1,train,s01_0train_r1_t48,1,0train,1,48
cross_session,cross_session_s1,train,s01_0train_r2_t01,1,0train,2,1
cross_session,cross_session_s1,train,s01_0train_r2_t07,1,0train,2,7
cross_session,cross_session_s1,train,s01_0train_r2_t08,1,0train,2,8
cross_session,cross_session_s1,train,s01_0train_r2_t10,1,0train,2,10
cross_session,cross_session_s1,train,s01_0train_r2_t14,1,0train,2,14
cross_session,cross_session_s1,train,s01_0train_r2_t15,1,0train,2,15
cross_session,cross_session_s1,train,s01_0train_r2_t17,1,0train,2,17
cross_session,cross_session_s1,train,s01_0train_r2_t19,1,0train,2,19
cross_session,cross_session_s1,train,s01_0train_r2_t22,1,0train,2,22
cross_session,cross_session_s1,train,s01_0train_r2_t25,1,0train,2,25
cross_session,cross_session_s1,train,s01_0train_r2_t26,1,0train,2,26
cross_session,cross_session_s1,train,s01_0train_r2_t27,1,0train,2,27
cross_session,cross_session_s1,train,s01_0train_r2_t30,1,0train,2,30
cross_session,cross_session_s1,train,s01_0train_r2_t31,1,0train,2,31
cross_session,cross_session_s1,train,s01_0train_r2_t32,1,0train,2,32
cross_session,cross_session_s1,train,s01_0train_r2_t34,1,0train,2,34
cross_session,cross_session_s1,train,s01_0train_r2_t35,1,0train,2,35
cross_session,cross_session_s1,train,s01_0train_r2_t37,1,0train,2,37
cross_session,cross_session_s1,train,s01_0train_r2_t38,1,0train,2,38
cross_session,cross_session_s1,train,s01_0train_r2_t40,1,0train,2,40
cross_session,cross_session_s1,train,s01_0train_r2_t46,1,0train,2,46
cross_session,cross_session_s1,train,s01_0train_r2_t47,1,0train,2,47
cross_session,cross_session_s1,train,s01_0train_r2_t48,1,0train,2,48
cross_session,cross_session_s1,train,s01_0train_r3_t01,1,0train,3,1
cross_session,cross_session_s1,train,s01_0train_r3_t02,1,0train,3,2
cross_session,cross_session_s1,train,s01_0train_r3_t03,1,0train,3,3
cross_session,cross_session_s1,train,s01_0train_r3_t06,1,0train,3,6
cross_session,cross_session_s1,train,s01_0train_r3_t09,1,0train,3,9
cross_session,cross_session_s1,train,s01_0train_r3_t11,1,0train,3,11
cross_session,cross_session_s1,train,s01_0train_r3_t12,1,0train,3,12
cross_session,cross_session_s1,train,s01_0train_r3_t13,1,0train,3,13
cross_session,cross_session_s1,train,s01_0train_r3_t16,1,0train,3,16
cross_session,cross_session_s1,train,s01_0train_r3_t22,1,0train,3,22
cross_session,cross_session_s1,train,s01_0train_r3_t23,1,0train,3,23
cross_session,cross_session_s1,train,s01_0train_r3_t25,1,0train,3,25
cross_session,cross_session_s1,train,s01_0train_r3_t26,1,0train,3,26
cross_session,cross_session_s1,train,s01_0train_r3_t27,1,0train,3,27
cross_session,cross_session_s1,train,s01_0train_r3_t28,1,0train,3,28
cross_session,cross_session_s1,train,s01_0train_r3_t31,1,0train,3,31
cross_session,cross_session_s1,train,s01_0train_r3_t33,1,0train,3,33
cross_session,cross_session_s1,train,s01_0train_r3_t35,1,0train,3,35
cross_session,cross_session_s1,train,s01_0train_r3_t37,1,0train,3,37
cross_session,cross_session_s1,train,s01_0train_r3_t39,1,0train,3,39
cross_session,cross_session_s1,train,s01_0train_r3_t40,1,0train,3,40
cross_session,cross_session_s1,train,s01_0train_r3_t44,1,0train,3,44
cross_session,cross_session_s1,train,s01_0train_r3_t45,1,0train,3,45
cross_session,cross_session_s1,train,s01_0train_r3_t47,1,0train,3,47
cross_session,cross_session_s1,train,s01_0train_r4_t02,1,0train,4,2
cross_session,cross_session_s1,train,s01_0train_r4_t04,1,0train,4,4
