fold_id,training_policy,role,sample_id,subject,artifact_flagged
loso_s1,expert_clean_only,train,s02_0train_r0_t01,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t02,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t03,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t04,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t05,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t06,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t07,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t09,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t11,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t13,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t14,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t20,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t22,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t23,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t24,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t27,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t31,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t32,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t33,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t34,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t35,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t36,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t37,2,False
loso_s1,expert_clean_only,train,s02_0train_r0_t39,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t03,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t04,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t05,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t06,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t09,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t11,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t12,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t13,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t15,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t16,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t17,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t18,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t20,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t21,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t25,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t28,2,False
loso_s1,expert_clean_only,train,s02_0train_r1_t31,2,False
