training_policy,model,subject,test_stratum,n_test,n_left,n_right,balanced_accuracy,accuracy,macro_f1,cohen_kappa
all_trials,CSP4+WelchPSD88+shrinkageLDA,1,clean,279,140,139,0.6407245632065776,0.6415770609318996,0.6196422728759952,0.2819272147011891
all_trials,CSP4+WelchPSD88+shrinkageLDA,1,flagged,9,4,5,0.8,0.7777777777777778,0.775,0.5714285714285714
all_trials,CSP4+WelchPSD88+shrinkageLDA,1,all,288,144,144,0.6458333333333333,0.6458333333333334,0.6249233912155261,0.29166666666666663
all_trials,CSP4+WelchPSD88+shrinkageLDA,2,clean,278,138,140,0.5272774327122153,0.5251798561151079,0.4823091247672253,0.05432429646428205
all_trials,CSP4+WelchPSD88+shrinkageLDA,2,flagged,10,6,4,0.625,0.7,0.6000000000000001,0.2857142857142857
all_trials,CSP4+WelchPSD88+shrinkageLDA,2,all,288,144,144,0.53125,0.53125,0.48652253727598094,0.0625
all_trials,CSP4+WelchPSD88+shrinkageLDA,3,clean,274,136,138,0.7387041773231031,0.7372262773722628,0.7266075388026607,0.4759881002974926
all_trials,CSP4+WelchPSD88+shrinkageLDA,3,flagged,14,8,6,0.6041666666666666,0.6428571428571429,0.5906432748538011,0.2222222222222222
all_trials,CSP4+WelchPSD88+shrinkageLDA,3,all,288,144,144,0.7326388888888888,0.7326388888888888,0.7209267206121088,0.4652777777777778
all_trials,CSP4+WelchPSD88+shrinkageLDA,4,clean,245,121,124,0.6094374833377766,0.6122448979591837,0.5892236282451775,0.22008511208658643
all_trials,CSP4+WelchPSD88+shrinkageLDA,4,flagged,43,23,20,0.5554347826086956,0.5348837209302325,0.5023148148148149,0.10602910602910609
all_trials,CSP4+WelchPSD88+shrinkageLDA,4,all,288,144,144,0.6006944444444444,0.6006944444444444,0.5763784966041211,0.20138888888888884
all_trials,CSP4+WelchPSD88+shrinkageLDA,5,clean,264,133,131,0.5051368880215806,0.5075757575757576,0.4491171749598716,0.010323548070822919
all_trials,CSP4+WelchPSD88+shrinkageLDA,5,flagged,24,11,13,0.6153846153846154,0.5833333333333334,0.53125,0.21568627450980393
all_trials,CSP4+WelchPSD88+shrinkageLDA,5,all,288,144,144,0.5138888888888888,0.5138888888888888,0.4559291844335294,0.02777777777777779
all_trials,CSP4+WelchPSD88+shrinkageLDA,6,clean,221,109,112,0.578718872870249,0.583710407239819,0.5153508771929824,0.1590006618133687
all_trials,CSP4+WelchPSD88+shrinkageLDA,6,flagged,67,35,32,0.6285714285714286,0.6119402985074627,0.5601010101010101,0.24849007765314934
all_trials,CSP4+WelchPSD88+shrinkageLDA,6,all,288,144,144,0.5902777777777778,0.5902777777777778,0.5260779829307748,0.18055555555555558
all_trials,CSP4+WelchPSD88+shrinkageLDA,7,clean,273,138,135,0.6111111111111112,0.6117216117216118,0.6102101293103448,0.22247299693696598
all_trials,CSP4+WelchPSD88+shrinkageLDA,7,flagged,15,6,9,0.7222222222222222,0.7333333333333333,0.7222222222222222,0.4444444444444444
all_trials,CSP4+WelchPSD88+shrinkageLDA,7,all,288,144,144,0.6180555555555556,0.6180555555555556,0.6171508676946875,0.23611111111111116
all_trials,CSP4+WelchPSD88+shrinkageLDA,8,clean,266,132,134,0.9094866576209859,0.9097744360902256,0.9095904378859117,0.8194365878493042
all_trials,CSP4+WelchPSD88+shrinkageLDA,8,flagged,22,12,10,0.8333333333333333,0.8181818181818182,0.8166666666666667,0.6451612903225807
all_trials,CSP4+WelchPSD88+shrinkageLDA,8,all,288,144,144,0.9027777777777777,0.9027777777777778,0.9025474935950113,0.8055555555555556
all_trials,CSP4+WelchPSD88+shrinkageLDA,9,clean,246,118,128,0.6479740466101696,0.6422764227642277,0.6375811960088394,0.29227147901137707
all_trials,CSP4+WelchPSD88+shrinkageLDA,9,flagged,42,26,16,0.5456730769230769,0.5714285714285714,0.5456730769230769,0.09134615384615385
all_trials,CSP4+WelchPSD88+shrinkageLDA,9,all,288,144,144,0.6319444444444444,0.6319444444444444,0.6254233128834356,0.26388888888888884
