training_policy,model,test_stratum,n_subjects_scored,n_test_trials,mean_balanced_accuracy,sd_balanced_accuracy,median_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy
all_trials,CSP4+WelchPSD88+shrinkageLDA,all,9,2592,0.6408179012345678,0.11723714369149241,0.6180555555555556,0.5138888888888888,0.9027777777777777
all_trials,CSP4+WelchPSD88+shrinkageLDA,clean,9,2346,0.6409523592015299,0.1218810735882589,0.6111111111111112,0.5051368880215806,0.9094866576209859
all_trials,CSP4+WelchPSD88+shrinkageLDA,flagged,9,246,0.658865125078893,0.10297429090481462,0.625,0.5456730769230769,0.8333333333333333
all_trials,CSP4+shrinkageLDA,all,9,2592,0.6165123456790123,0.13112077420775428,0.5729166666666666,0.4965277777777778,0.9236111111111112
all_trials,CSP4+shrinkageLDA,clean,9,2346,0.6191853897501138,0.13116945871932492,0.5669082125603865,0.517620386844975,0.9289914066033469
all_trials,CSP4+shrinkageLDA,flagged,9,246,0.5940820971165174,0.16719001438978812,0.625,0.24475524475524477,0.8583333333333334
all_trials,WelchPSD88+shrinkageLDA,all,9,2592,0.5841049382716049,0.07709150079074928,0.5798611111111112,0.4861111111111111,0.7048611111111112
all_trials,WelchPSD88+shrinkageLDA,clean,9,2346,0.5855068987803167,0.07991392979063164,0.589476139696081,0.4881469979296066,0.7023405698778833
all_trials,WelchPSD88+shrinkageLDA,flagged,9,246,0.5614915495803178,0.10647285811233739,0.5566964285714285,0.375,0.7333333333333334
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,all,9,2592,0.6450617283950617,0.11556265234098634,0.6180555555555556,0.5347222222222222,0.8923611111111112
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,clean,9,2346,0.6463002045752132,0.11918965948415147,0.6222340709144227,0.5242208574872295,0.8980664857530529
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,flagged,9,246,0.642447653996567,0.08459693964178829,0.625,0.5264423076923077,0.8333333333333333
expert_clean_only,CSP4+shrinkageLDA,all,9,2592,0.6246141975308642,0.1361762489009968,0.5902777777777778,0.5,0.9340277777777778
expert_clean_only,CSP4+shrinkageLDA,clean,9,2346,0.6284713642509615,0.13646768009332466,0.5855877616747182,0.5057971014492754,0.9400158299412031
expert_clean_only,CSP4+shrinkageLDA,flagged,9,246,0.5881651125310545,0.17744785950012115,0.625,0.19930069930069932,0.8583333333333334
expert_clean_only,WelchPSD88+shrinkageLDA,all,9,2592,0.5806327160493827,0.0782556349509574,0.5798611111111112,0.4722222222222222,0.7048611111111112
expert_clean_only,WelchPSD88+shrinkageLDA,clean,9,2346,0.58191945868737,0.0796885787931849,0.5858863040629095,0.4740683229813665,0.7020578923563998
expert_clean_only,WelchPSD88+shrinkageLDA,flagged,9,246,0.5577396804751877,0.10612820812256664,0.5521739130434783,0.375,0.7416666666666667
