condition,subject,test_stratum,n_test,n_left,n_right,balanced_accuracy,accuracy,macro_f1,cohen_kappa
source_train_fitted_EOG_regression,1,clean,279,140,139,0.5359969167523124,0.5376344086021505,0.4143710236425468,0.07222952594540266
source_train_fitted_EOG_regression,1,flagged,9,4,5,0.375,0.3333333333333333,0.25,-0.22727272727272707
source_train_fitted_EOG_regression,1,all,288,144,144,0.53125,0.53125,0.4089658422388763,0.0625
source_train_fitted_EOG_regression,2,clean,278,138,140,0.5025879917184265,0.5,0.4273817109494243,0.005149065444621903
source_train_fitted_EOG_regression,2,flagged,10,6,4,0.625,0.7,0.6000000000000001,0.2857142857142857
source_train_fitted_EOG_regression,2,all,288,144,144,0.5069444444444444,0.5069444444444444,0.43300798580301686,0.01388888888888884
source_train_fitted_EOG_regression,3,clean,274,136,138,0.7064684569479966,0.7043795620437956,0.6790316282702069,0.4112060274844803
source_train_fitted_EOG_regression,3,flagged,14,8,6,0.6875,0.7142857142857143,0.6888888888888889,0.3913043478260869
source_train_fitted_EOG_regression,3,all,288,144,144,0.7048611111111112,0.7048611111111112,0.6795098385766466,0.4097222222222222
source_train_fitted_EOG_regression,4,clean,245,121,124,0.6252332711276993,0.6244897959183674,0.6234295642876236,0.25006654245408577
source_train_fitted_EOG_regression,4,flagged,43,23,20,0.6478260869565218,0.6511627906976745,0.6481178396072014,0.296619411123228
source_train_fitted_EOG_regression,4,all,288,144,144,0.6284722222222222,0.6284722222222222,0.6271731897646846,0.2569444444444444
source_train_fitted_EOG_regression,5,clean,264,133,131,0.5462893875911152,0.5454545454545454,0.5402832598096123,0.09241964132240876
source_train_fitted_EOG_regression,5,flagged,24,11,13,0.3146853146853147,0.3333333333333333,0.28888888888888886,-0.38129496402877683
source_train_fitted_EOG_regression,5,all,288,144,144,0.5277777777777778,0.5277777777777778,0.5211033403433266,0.05555555555555558
source_train_fitted_EOG_regression,6,clean,221,109,112,0.5321100917431193,0.5384615384615384,0.4039031097947959,0.06503525508087937
source_train_fitted_EOG_regression,6,flagged,67,35,32,0.5428571428571428,0.5223880597014925,0.4122807017543859,0.08219178082191769
source_train_fitted_EOG_regression,6,all,288,144,144,0.5347222222222222,0.5347222222222222,0.4061672924232166,0.06944444444444442
