fold,subject,k,model,stratum,n_train,n_test,balanced_accuracy,accuracy,macro_f1,cohen_kappa
loso_s1,1,8,FBCSP_MI8_LDA,all,4608,576,0.3506944444444445,0.3506944444444444,0.2793224333029908,0.1342592592592593
loso_s1,1,8,FBCSP_MI8_LDA,unflagged,4608,554,0.34799035233435416,0.35018050541516244,0.276143610457766,0.13138536717086147
loso_s1,1,8,FBCSP_MI8_LDA,flagged,4608,22,0.4089285714285714,0.36363636363636365,0.3245989304812834,0.19160104986876647
loso_s1,1,16,FBCSP_MI16_LDA,all,4608,576,0.3836805555555556,0.3836805555555556,0.28061625513087024,0.1782407407407407
loso_s1,1,16,FBCSP_MI16_LDA,unflagged,4608,554,0.3835744855627489,0.3862815884476534,0.2804576282798919,0.17969175293200534
loso_s1,1,16,FBCSP_MI16_LDA,flagged,4608,22,0.3732142857142857,0.3181818181818182,0.2745989304812834,0.13385826771653553
loso_s1,1,32,FBCSP_MI32_LDA,all,4608,576,0.4392361111111111,0.4392361111111111,0.36025497107604115,0.25231481481481477
loso_s1,1,32,FBCSP_MI32_LDA,unflagged,4608,554,0.441862118955151,0.44404332129963897,0.36446593744485367,0.2572627473512845
loso_s1,1,32,FBCSP_MI32_LDA,flagged,4608,22,0.3607142857142857,0.3181818181818182,0.26785714285714285,0.11290322580645151
loso_s1,1,72,FBCSP_MI72_LDA,all,4608,576,0.48263888888888884,0.4826388888888889,0.4035155625225985,0.31018518518518523
loso_s1,1,72,FBCSP_MI72_LDA,unflagged,4608,554,0.4850838475069335,0.48736462093862815,0.40784010567965395,0.31521587743732593
loso_s1,1,72,FBCSP_MI72_LDA,flagged,4608,22,0.4357142857142857,0.36363636363636365,0.2955316742081448,0.19999999999999996
loso_s2,2,8,FBCSP_MI8_LDA,all,4608,576,0.2690972222222222,0.2690972222222222,0.22971355115675074,0.02546296296296291
loso_s2,2,8,FBCSP_MI8_LDA,unflagged,4608,553,0.2679635380722337,0.2694394213381555,0.2294087590443089,0.02465729503186931
loso_s2,2,8,FBCSP_MI8_LDA,flagged,4608,23,0.3125,0.2608695652173913,0.24285714285714285,0.05555555555555558
loso_s2,2,16,FBCSP_MI16_LDA,all,4608,576,0.2621527777777778,0.2621527777777778,0.24038192257348445,0.01620370370370372
loso_s2,2,16,FBCSP_MI16_LDA,unflagged,4608,553,0.2644812514377732,0.2640144665461121,0.24237779491205505,0.019627401699647495
loso_s2,2,16,FBCSP_MI16_LDA,flagged,4608,23,0.1875,0.21739130434782608,0.16740890688259108,-0.10991957104557648
loso_s2,2,32,FBCSP_MI32_LDA,all,4608,576,0.2881944444444445,0.2881944444444444,0.24204143001325187,0.05092592592592593
loso_s2,2,32,FBCSP_MI32_LDA,unflagged,4608,553,0.28505866114561773,0.2820976491862568,0.23881681651233408,0.0464150599191232
loso_s2,2,32,FBCSP_MI32_LDA,flagged,4608,23,0.3472222222222222,0.43478260869565216,0.3106481481481481,0.13832853025936598
loso_s2,2,72,FBCSP_MI72_LDA,all,4608,576,0.2847222222222222,0.2847222222222222,0.2636954643495547,0.04629629629629628
loso_s2,2,72,FBCSP_MI72_LDA,unflagged,4608,553,0.28581205429031514,0.28390596745027125,0.26449039299165594,0.04781616192360372
loso_s2,2,72,FBCSP_MI72_LDA,flagged,4608,23,0.24305555555555555,0.30434782608695654,0.21901709401709402,0.0
loso_s3,3,8,FBCSP_MI8_LDA,all,4608,576,0.3559027777777778,0.3559027777777778,0.2825179892641364,0.14120370370370372
loso_s3,3,8,FBCSP_MI8_LDA,unflagged,4608,543,0.3567265795206972,0.3572744014732965,0.28145439227536484,0.14286295812169547
loso_s3,3,8,FBCSP_MI8_LDA,flagged,4608,33,0.35416666666666663,0.3333333333333333,0.31000948766603414,0.11571254567600475
loso_s3,3,16,FBCSP_MI16_LDA,all,4608,576,0.5034722222222222,0.5034722222222222,0.469110911213645,0.3379629629629629
loso_s3,3,16,FBCSP_MI16_LDA,unflagged,4608,543,0.5017800932111254,0.5009208103130756,0.46710363079645534,0.3349467832689309
loso_s3,3,16,FBCSP_MI16_LDA,flagged,4608,33,0.5465277777777777,0.5454545454545454,0.5131878990574643,0.38813349814585907
loso_s3,3,32,FBCSP_MI32_LDA,all,4608,576,0.4340277777777778,0.4340277777777778,0.38739194341764416,0.24537037037037035
loso_s3,3,32,FBCSP_MI32_LDA,unflagged,4608,543,0.43704169370538615,0.43646408839779005,0.39029930512099736,0.24919681709119013
loso_s3,3,32,FBCSP_MI32_LDA,flagged,4608,33,0.38263888888888886,0.3939393939393939,0.3358774961597542,0.17602996254681647
loso_s3,3,72,FBCSP_MI72_LDA,all,4608,576,0.4618055555555556,0.4618055555555556,0.4071613322741155,0.28240740740740744
loso_s3,3,72,FBCSP_MI72_LDA,unflagged,4608,543,0.4659399348101776,0.46593001841620624,0.4103662967302064,0.2881778854629533
loso_s3,3,72,FBCSP_MI72_LDA,flagged,4608,33,0.38263888888888886,0.3939393939393939,0.33415066906528007,0.17808219178082185
loso_s4,4,8,FBCSP_MI8_LDA,all,4608,576,0.3090277777777778,0.3090277777777778,0.26904666644529046,0.07870370370370372
loso_s4,4,8,FBCSP_MI8_LDA,unflagged,4608,490,0.3148578057367086,0.3183673469387755,0.26986026604628965,0.08688690140766497
loso_s4,4,8,FBCSP_MI8_LDA,flagged,4608,86,0.2618840579710145,0.2558139534883721,0.2494004919040787,0.02944806912361131
loso_s4,4,16,FBCSP_MI16_LDA,all,4608,576,0.3229166666666667,0.3229166666666667,0.3134089021701789,0.09722222222222221
loso_s4,4,16,FBCSP_MI16_LDA,unflagged,4608,490,0.32810937624849995,0.3306122448979592,0.319060351457209,0.10379015574378381
loso_s4,4,16,FBCSP_MI16_LDA,flagged,4608,86,0.28664251207729474,0.27906976744186046,0.2747987543333921,0.05861581920903958
loso_s4,4,32,FBCSP_MI32_LDA,all,4608,576,0.3020833333333333,0.3020833333333333,0.27839814279089875,0.06944444444444442
loso_s4,4,32,FBCSP_MI32_LDA,unflagged,4608,490,0.31340856568344927,0.3163265306122449,0.2892130827139415,0.08431651465707202
loso_s4,4,32,FBCSP_MI32_LDA,flagged,4608,86,0.23673913043478262,0.22093023255813954,0.21598966362885336,-0.008576929809207101
loso_s4,4,72,FBCSP_MI72_LDA,all,4608,576,0.3940972222222222,0.3940972222222222,0.3737450417936163,0.19212962962962965
loso_s4,4,72,FBCSP_MI72_LDA,unflagged,4608,490,0.3889205953420202,0.38571428571428573,0.3677130211950281,0.18341019948288362
loso_s4,4,72,FBCSP_MI72_LDA,flagged,4608,86,0.42629227053140095,0.4418604651162791,0.41006030701754387,0.24945454545454537
loso_s5,5,8,FBCSP_MI8_LDA,all,4608,576,0.2569444444444444,0.2569444444444444,0.16584769316286826,0.0092592592592593
loso_s5,5,8,FBCSP_MI8_LDA,unflagged,4608,538,0.2620386844975033,0.25650557620817843,0.16714944885926686,0.015409392042750936
loso_s5,5,8,FBCSP_MI8_LDA,flagged,4608,38,0.19930069930069932,0.2631578947368421,0.14646464646464646,-0.10373443983402497
loso_s5,5,16,FBCSP_MI16_LDA,all,4608,576,0.2569444444444444,0.2569444444444444,0.1649502840909091,0.0092592592592593
loso_s5,5,16,FBCSP_MI16_LDA,unflagged,4608,538,0.25642828445158694,0.25092936802973975,0.162153312788906,0.008043116227147151
