model,stratum,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,cohen_kappa_mean,cohen_kappa_std
FBCSP_MI16_LDA,all,0.3464506172839506,0.08454126311644757,0.34645061728395066,0.08454126311644757,0.29307250978989274,0.09766667181543526,0.1286008230452675,0.1127216841552634
FBCSP_MI16_LDA,flagged,0.3128142066922881,0.1082993510989838,0.3177078790123489,0.09707088973621347,0.2633037985061501,0.10701083268751149,0.07897277085698012,0.14092111059099585
FBCSP_MI16_LDA,unflagged,0.34976867946897333,0.08340404315262885,0.349348958333564,0.08464589495105516,0.29547735155069116,0.09791311139709072,0.1330272497038825,0.11155840279787728
FBCSP_MI32_LDA,all,0.36747685185185186,0.08855017660629577,0.36747685185185186,0.08855017660629577,0.326918924964676,0.10268973285987103,0.1566358024691358,0.1180669021417277
FBCSP_MI32_LDA,flagged,0.3270171295119535,0.087052849098563,0.33828464600377234,0.08710985792090607,0.2872048780172498,0.08853019706764269,0.09571752280534745,0.119444389749892
FBCSP_MI32_LDA,unflagged,0.37294426217386095,0.08717921138107401,0.3719893891723929,0.08884752065736166,0.33196223721640483,0.10370929773090685,0.16380949520059684,0.11650171332408478
FBCSP_MI72_LDA,all,0.3811728395061728,0.07687126299229906,0.3811728395061728,0.07687126299229906,0.3329073408892148,0.0786219553498617,0.17489711934156377,0.10249501732306542
FBCSP_MI72_LDA,flagged,0.3554603499252668,0.07201236753914014,0.36246977620319587,0.04369924908600246,0.3023869663660027,0.06987201717298465,0.1390277648830536,0.08939958523667033
FBCSP_MI72_LDA,unflagged,0.3844606350191775,0.07793477393681945,0.383126706453974,0.07979037509653375,0.33524533077359153,0.08042936159371714,0.17874001131490447,0.10464195735561627
FBCSP_MI8_LDA,all,0.3136574074074074,0.0426143670438666,0.3136574074074074,0.042614367043866584,0.24742741978898497,0.05401804246917432,0.08487654320987655,0.05681915605848881
FBCSP_MI8_LDA,flagged,0.30803305484005405,0.06654616877740888,0.30261400378897496,0.05618309860749109,0.246973200960027,0.0743296650732697,0.06857077242957937,0.09210060134754039
FBCSP_MI8_LDA,unflagged,0.315953391578456,0.04059999260481169,0.316519827635152,0.0416540180183481,0.2487810290687291,0.051837148390243094,0.08828724056880771,0.054281360300019135
