fold,subject,model,stratum,true_label,predicted_label,count
loso_s1,1,BroadCSP_LDA,all,1,1,138
loso_s1,1,BroadCSP_LDA,all,1,2,6
loso_s1,1,BroadCSP_LDA,all,1,3,0
loso_s1,1,BroadCSP_LDA,all,1,4,0
loso_s1,1,BroadCSP_LDA,all,2,1,103
loso_s1,1,BroadCSP_LDA,all,2,2,40
loso_s1,1,BroadCSP_LDA,all,2,3,1
loso_s1,1,BroadCSP_LDA,all,2,4,0
loso_s1,1,BroadCSP_LDA,all,3,1,106
loso_s1,1,BroadCSP_LDA,all,3,2,17
loso_s1,1,BroadCSP_LDA,all,3,3,21
loso_s1,1,BroadCSP_LDA,all,3,4,0
loso_s1,1,BroadCSP_LDA,all,4,1,115
loso_s1,1,BroadCSP_LDA,all,4,2,7
loso_s1,1,BroadCSP_LDA,all,4,3,22
loso_s1,1,BroadCSP_LDA,all,4,4,0
loso_s1,1,BroadCSP_LDA,unflagged,1,1,134
loso_s1,1,BroadCSP_LDA,unflagged,1,2,6
loso_s1,1,BroadCSP_LDA,unflagged,1,3,0
loso_s1,1,BroadCSP_LDA,unflagged,1,4,0
loso_s1,1,BroadCSP_LDA,unflagged,2,1,99
loso_s1,1,BroadCSP_LDA,unflagged,2,2,39
loso_s1,1,BroadCSP_LDA,unflagged,2,3,1
loso_s1,1,BroadCSP_LDA,unflagged,2,4,0
loso_s1,1,BroadCSP_LDA,unflagged,3,1,100
loso_s1,1,BroadCSP_LDA,unflagged,3,2,16
loso_s1,1,BroadCSP_LDA,unflagged,3,3,21
loso_s1,1,BroadCSP_LDA,unflagged,3,4,0
loso_s1,1,BroadCSP_LDA,unflagged,4,1,110
loso_s1,1,BroadCSP_LDA,unflagged,4,2,7
loso_s1,1,BroadCSP_LDA,unflagged,4,3,21
loso_s1,1,BroadCSP_LDA,unflagged,4,4,0
loso_s1,1,BroadCSP_LDA,flagged,1,1,4
loso_s1,1,BroadCSP_LDA,flagged,1,2,0
loso_s1,1,BroadCSP_LDA,flagged,1,3,0
loso_s1,1,BroadCSP_LDA,flagged,1,4,0
loso_s1,1,BroadCSP_LDA,flagged,2,1,4
loso_s1,1,BroadCSP_LDA,flagged,2,2,1
loso_s1,1,BroadCSP_LDA,flagged,2,3,0
loso_s1,1,BroadCSP_LDA,flagged,2,4,0
loso_s1,1,BroadCSP_LDA,flagged,3,1,6
loso_s1,1,BroadCSP_LDA,flagged,3,2,1
loso_s1,1,BroadCSP_LDA,flagged,3,3,0
loso_s1,1,BroadCSP_LDA,flagged,3,4,0
loso_s1,1,BroadCSP_LDA,flagged,4,1,5
loso_s1,1,BroadCSP_LDA,flagged,4,2,0
loso_s1,1,BroadCSP_LDA,flagged,4,3,1
loso_s1,1,BroadCSP_LDA,flagged,4,4,0
loso_s1,1,BroadCSP_SVM,all,1,1,140
loso_s1,1,BroadCSP_SVM,all,1,2,4
loso_s1,1,BroadCSP_SVM,all,1,3,0
loso_s1,1,BroadCSP_SVM,all,1,4,0
loso_s1,1,BroadCSP_SVM,all,2,1,112
loso_s1,1,BroadCSP_SVM,all,2,2,32
loso_s1,1,BroadCSP_SVM,all,2,3,0
loso_s1,1,BroadCSP_SVM,all,2,4,0
loso_s1,1,BroadCSP_SVM,all,3,1,117
loso_s1,1,BroadCSP_SVM,all,3,2,15
loso_s1,1,BroadCSP_SVM,all,3,3,12
