fold,band,n_components,fit_rows,fit_transform_seconds
loso_s1,broad,8,4608,5.4220804999931715
loso_s1,fb04_08,8,4608,4.994107500009704
loso_s1,fb08_12,8,4608,4.993644599991967
loso_s1,fb12_16,8,4608,4.870056300002034
loso_s1,fb16_20,8,4608,4.9568622999941
loso_s1,fb20_24,8,4608,5.0173880999936955
loso_s1,fb24_28,8,4608,5.14756060000218
loso_s1,fb28_32,8,4608,6.388251299998956
loso_s1,fb32_36,8,4608,7.307882299995981
loso_s1,fb36_40,8,4608,7.193475399995805
loso_s2,broad,8,4608,6.9396125999919605
loso_s2,fb04_08,8,4608,7.129465700010769
loso_s2,fb08_12,8,4608,7.111795499993605
loso_s2,fb12_16,8,4608,7.138081500001135
loso_s2,fb16_20,8,4608,7.04605220000667
loso_s2,fb20_24,8,4608,6.097340699998313
loso_s2,fb24_28,8,4608,5.110807300006854
loso_s2,fb28_32,8,4608,4.82542470000044
loso_s2,fb32_36,8,4608,4.902693299998646
loso_s2,fb36_40,8,4608,4.887359300002572
loso_s3,broad,8,4608,5.152445400002762
loso_s3,fb04_08,8,4608,5.646184700002777
loso_s3,fb08_12,8,4608,5.5566041999991285
loso_s3,fb12_16,8,4608,5.607573300003423
loso_s3,fb16_20,8,4608,5.597329299998819
loso_s3,fb20_24,8,4608,5.045055900001898
loso_s3,fb24_28,8,4608,5.012830699997721
loso_s3,fb28_32,8,4608,5.194112699988182
loso_s3,fb32_36,8,4608,5.004465900012292
loso_s3,fb36_40,8,4608,3.8656322000024375
loso_s4,broad,8,4608,3.8373722999967868
loso_s4,fb04_08,8,4608,3.7858333000040147
loso_s4,fb08_12,8,4608,3.840608099999372
loso_s4,fb12_16,8,4608,4.890008899994427
loso_s4,fb16_20,8,4608,4.166471899996395
loso_s4,fb20_24,8,4608,3.867076000009547
loso_s4,fb24_28,8,4608,3.7652494000067236
loso_s4,fb28_32,8,4608,4.743411700008437
loso_s4,fb32_36,8,4608,4.2604311000031885
loso_s4,fb36_40,8,4608,4.183280400000513
loso_s5,broad,8,4608,3.958315700001549
loso_s5,fb04_08,8,4608,3.9804376999964006
loso_s5,fb08_12,8,4608,4.007502299995394
loso_s5,fb12_16,8,4608,3.9116126999870175
loso_s5,fb16_20,8,4608,3.9192579000082333
loso_s5,fb20_24,8,4608,3.9070707999926526
loso_s5,fb24_28,8,4608,3.9691020000027493
loso_s5,fb28_32,8,4608,3.6910139999963576
loso_s5,fb32_36,8,4608,3.7382456000050297
loso_s5,fb36_40,8,4608,3.76722979999613
loso_s6,broad,8,4608,3.718327100010356
loso_s6,fb04_08,8,4608,3.7492883000086294
loso_s6,fb08_12,8,4608,3.7902425000065705
loso_s6,fb12_16,8,4608,3.742939400006435
loso_s6,fb16_20,8,4608,3.7752311999938684
loso_s6,fb20_24,8,4608,3.7732077999971807
loso_s6,fb24_28,8,4608,3.834593000006862
loso_s6,fb28_32,8,4608,3.706211600001552
loso_s6,fb32_36,8,4608,3.7952591000066604
loso_s6,fb36_40,8,4608,3.7276583000057144
loso_s7,broad,8,4608,3.710923399994499
loso_s7,fb04_08,8,4608,3.784702999997535
loso_s7,fb08_12,8,4608,3.8529856000095606
loso_s7,fb12_16,8,4608,3.706710900005419
loso_s7,fb16_20,8,4608,3.7417961999890395
loso_s7,fb20_24,8,4608,3.792643099994166
loso_s7,fb24_28,8,4608,3.767434699999285
loso_s7,fb28_32,8,4608,3.723388400001568
loso_s7,fb32_36,8,4608,3.795068200008245
loso_s7,fb36_40,8,4608,3.7713783999934094
loso_s8,broad,8,4608,3.7693498999869917
loso_s8,fb04_08,8,4608,3.7484255000017583
loso_s8,fb08_12,8,4608,3.7689373000030173
loso_s8,fb12_16,8,4608,3.8133237000001827
loso_s8,fb16_20,8,4608,3.7865215000056196
loso_s8,fb20_24,8,4608,3.772076699999161
loso_s8,fb24_28,8,4608,3.741220500000054
loso_s8,fb28_32,8,4608,3.7535504999978
loso_s8,fb32_36,8,4608,3.7651483999943594
loso_s8,fb36_40,8,4608,3.7877812999940943
loso_s9,broad,8,4608,3.6867856000026222
loso_s9,fb04_08,8,4608,3.776847599991015
loso_s9,fb08_12,8,4608,3.809605800008285
loso_s9,fb12_16,8,4608,3.7571323000011034
loso_s9,fb16_20,8,4608,3.707009999998263
loso_s9,fb20_24,8,4608,3.71089979998942
loso_s9,fb24_28,8,4608,3.757433399994625
loso_s9,fb28_32,8,4608,3.714208999997936
loso_s9,fb32_36,8,4608,3.759875899995677
loso_s9,fb36_40,8,4608,3.7665223000076367
