fold,subject,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s1,1,BroadCSP_LDA,all,4608,576,4,0.3454861111111111,0.3454861111111111,0.2631703938936347,0.33685064935064934,0.3454861111111111,0.12731481481481477
loso_s1,1,BroadCSP_LDA,unflagged,4608,554,4,0.34775076706101227,0.35018050541516244,0.26745904492007855,0.34109614369134705,0.34775076706101227,0.13118103444520446
loso_s1,1,BroadCSP_LDA,flagged,4608,22,4,0.3,0.22727272727272727,0.15838509316770186,0.17763157894736842,0.3,0.0434782608695653
loso_s1,1,BroadCSP_SVM,all,4608,576,4,0.3194444444444444,0.3194444444444444,0.22466181785384062,0.3637690816790803,0.3194444444444444,0.09259259259259256
loso_s1,1,BroadCSP_SVM,unflagged,4608,554,4,0.3205103487595742,0.3231046931407942,0.22764591427273917,0.37361278980331836,0.3205103487595742,0.09464105949875157
loso_s1,1,BroadCSP_SVM,flagged,4608,22,4,0.3,0.22727272727272727,0.15838509316770186,0.17763157894736842,0.3,0.0434782608695653
loso_s1,1,FBCSP_LDA,all,4608,576,4,0.48263888888888884,0.4826388888888889,0.4035155625225985,0.6477603607726785,0.48263888888888884,0.31018518518518523
loso_s1,1,FBCSP_LDA,unflagged,4608,554,4,0.4850838475069335,0.48736462093862815,0.40784010567965395,0.6489623374173459,0.4850838475069335,0.31521587743732593
loso_s1,1,FBCSP_LDA,flagged,4608,22,4,0.4357142857142857,0.36363636363636365,0.2955316742081448,0.4206730769230769,0.4357142857142857,0.19999999999999996
loso_s1,1,FBCSP_MI8_LDA,all,4608,576,4,0.3506944444444445,0.3506944444444444,0.2793224333029908,0.4374130245705588,0.3506944444444445,0.1342592592592593
loso_s1,1,FBCSP_MI8_LDA,unflagged,4608,554,4,0.34799035233435416,0.35018050541516244,0.276143610457766,0.43452847439916403,0.34799035233435416,0.13138536717086147
loso_s1,1,FBCSP_MI8_LDA,flagged,4608,22,4,0.4089285714285714,0.36363636363636365,0.3245989304812834,0.34935897435897434,0.4089285714285714,0.19160104986876647
loso_s2,2,BroadCSP_LDA,all,4608,576,4,0.296875,0.296875,0.24663818613369198,0.2903200448996014,0.296875,0.0625
loso_s2,2,BroadCSP_LDA,unflagged,4608,553,4,0.2955630319760754,0.29475587703435807,0.2463793576154623,0.28991554918626844,0.2955630319760754,0.060899780541331494
loso_s2,2,BroadCSP_LDA,flagged,4608,23,4,0.29166666666666663,0.34782608695652173,0.21328671328671328,0.17094017094017094,0.29166666666666663,0.06756756756756743
