model,stratum,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,cohen_kappa_mean,cohen_kappa_std
BroadCSP_LDA,all,0.3904320987654321,0.14176823436341407,0.3904320987654321,0.14176823436341404,0.34747529719197057,0.1624220540490624,0.42685445933707994,0.19132312549994185,0.3904320987654321,0.14176823436341407,0.18724279835390945,0.18902431248455207
BroadCSP_LDA,flagged,0.34785260796888556,0.11545563277352125,0.34989509438475785,0.10529928856972236,0.29403517926189776,0.13964906629926827,0.3326932072660857,0.20608275320068048,0.34785260796888556,0.11545563277352125,0.12801597075996385,0.1453631278645914
BroadCSP_LDA,unflagged,0.39518647283924446,0.144412505423151,0.3943709056909495,0.14546892139684983,0.35181583325288074,0.16537170464759915,0.4339307430015852,0.19069605313016152,0.39518647283924446,0.144412505423151,0.19341812657754903,0.19244888480483607
BroadCSP_SVM,all,0.375,0.12656952522035536,0.375,0.12656952522035536,0.32392411805127935,0.1463841287825567,0.438479600143115,0.18048504952092906,0.375,0.12656952522035536,0.16666666666666666,0.1687593669604738
BroadCSP_SVM,flagged,0.361432321025634,0.1112199958267894,0.36155280003103174,0.10226692576853652,0.29930063792559874,0.1327949246616014,0.3524708302656169,0.20292954210398315,0.361432321025634,0.1112199958267894,0.1457151843564756,0.1411500385109323
BroadCSP_SVM,unflagged,0.3778035982147696,0.12844061050831718,0.37722723318142204,0.12987986735177884,0.32653391113443464,0.14886551420271096,0.4450765070175863,0.179889803838378,0.3778035982147696,0.12844061050831718,0.17049024795619572,0.17152301673679396
FBCSP_LDA,all,0.3811728395061728,0.07687126299229906,0.3811728395061728,0.07687126299229906,0.3329073408892148,0.0786219553498617,0.46277571035200205,0.1698299496807221,0.3811728395061728,0.07687126299229906,0.17489711934156377,0.10249501732306542
FBCSP_LDA,flagged,0.3554603499252668,0.07201236753914014,0.36246977620319587,0.04369924908600246,0.3023869663660027,0.06987201717298465,0.41281546592317064,0.16186717814104443,0.3554603499252668,0.07201236753914014,0.1390277648830536,0.08939958523667033
FBCSP_LDA,unflagged,0.3844606350191775,0.07793477393681945,0.383126706453974,0.07979037509653375,0.33524533077359153,0.08042936159371714,0.4671899035121155,0.170913001134577,0.3844606350191775,0.07793477393681945,0.17874001131490447,0.10464195735561627
FBCSP_MI8_LDA,all,0.3136574074074074,0.0426143670438666,0.3136574074074074,0.042614367043866584,0.24742741978898497,0.05401804246917432,0.3580309995326745,0.11827813597198183,0.3136574074074074,0.0426143670438666,0.08487654320987655,0.05681915605848881
FBCSP_MI8_LDA,flagged,0.30803305484005405,0.06654616877740888,0.30261400378897496,0.05618309860749109,0.246973200960027,0.0743296650732697,0.32292372471778735,0.1308956619892658,0.30803305484005405,0.06654616877740888,0.06857077242957937,0.09210060134754039
FBCSP_MI8_LDA,unflagged,0.315953391578456,0.04059999260481169,0.316519827635152,0.0416540180183481,0.2487810290687291,0.051837148390243094,0.360398036281173,0.11341277176923693,0.315953391578456,0.04059999260481169,0.08828724056880771,0.054281360300019135
