experiment,subject,seed,true_label,correct,total,recall
Q5,3,20260924,1,144,144,1.0
Q5,3,20260924,2,1,144,0.006944444444444444
Q5,3,20260924,3,0,144,0.0
Q5,3,20260924,4,0,144,0.0
Q5,3,20260925,1,143,144,0.9930555555555556
Q5,3,20260925,2,2,144,0.013888888888888888
Q5,3,20260925,3,0,144,0.0
Q5,3,20260925,4,0,144,0.0
Q5,3,20260926,1,133,144,0.9236111111111112
Q5,3,20260926,2,28,144,0.19444444444444445
Q5,3,20260926,3,0,144,0.0
Q5,3,20260926,4,0,144,0.0
Q5,8,20260924,1,65,144,0.4513888888888889
Q5,8,20260924,2,82,144,0.5694444444444444
Q5,8,20260924,3,2,144,0.013888888888888888
Q5,8,20260924,4,14,144,0.09722222222222222
Q5,8,20260925,1,125,144,0.8680555555555556
Q5,8,20260925,2,13,144,0.09027777777777778
Q5,8,20260925,3,14,144,0.09722222222222222
Q5,8,20260925,4,13,144,0.09027777777777778
Q5,8,20260926,1,77,144,0.5347222222222222
Q5,8,20260926,2,74,144,0.5138888888888888
Q5,8,20260926,3,12,144,0.08333333333333333
Q5,8,20260926,4,22,144,0.1527777777777778
Q6,3,20260924,1,104,144,0.7222222222222222
Q6,3,20260924,2,105,144,0.7291666666666666
Q6,3,20260924,3,36,144,0.25
Q6,3,20260924,4,126,144,0.875
Q6,3,20260925,1,80,144,0.5555555555555556
Q6,3,20260925,2,57,144,0.3958333333333333
Q6,3,20260925,3,57,144,0.3958333333333333
Q6,3,20260925,4,134,144,0.9305555555555556
Q6,3,20260926,1,120,144,0.8333333333333334
Q6,3,20260926,2,131,144,0.9097222222222222
Q6,3,20260926,3,83,144,0.5763888888888888
Q6,3,20260926,4,105,144,0.7291666666666666
Q6,8,20260924,1,116,144,0.8055555555555556
Q6,8,20260924,2,32,144,0.2222222222222222
Q6,8,20260924,3,0,144,0.0
Q6,8,20260924,4,0,144,0.0
Q6,8,20260925,1,141,144,0.9791666666666666
Q6,8,20260925,2,6,144,0.041666666666666664
Q6,8,20260925,3,0,144,0.0
Q6,8,20260925,4,0,144,0.0
Q6,8,20260926,1,132,144,0.9166666666666666
Q6,8,20260926,2,10,144,0.06944444444444445
Q6,8,20260926,3,0,144,0.0
Q6,8,20260926,4,0,144,0.0
