experiment,subject,seed,balanced_accuracy,macro_f1,cohen_kappa
Q5,3,20260924,0.2517361111111111,0.10370320906628,0.0023148148148147
Q5,3,20260925,0.2517361111111111,0.1071415352727811,0.0023148148148147
Q5,3,20260926,0.2795138888888889,0.1653846153846153,0.0393518518518518
Q5,8,20260924,0.2829861111111111,0.2253500681794601,0.0439814814814815
Q5,8,20260925,0.2864583333333333,0.2142523006245895,0.0486111111111111
Q5,8,20260926,0.3211805555555556,0.2862158668318772,0.0949074074074074
Q6,3,20260924,0.6440972222222222,0.6207818857240895,0.525462962962963
Q6,3,20260925,0.5694444444444444,0.5718030983626086,0.4259259259259259
Q6,3,20260926,0.7621527777777778,0.7579927473841948,0.6828703703703703
Q6,8,20260924,0.2569444444444444,0.1561667301103921,0.0092592592592593
Q6,8,20260925,0.2552083333333333,0.119514953505906,0.0069444444444444
Q6,8,20260926,0.2465277777777777,0.1243125992912135,-0.0046296296296295
