experiment,subject,seed,class_id,class_name,correct,total,recall
Q5,1,20260924,1,left_hand,129,144,0.8958333333333334
Q5,1,20260924,2,right_hand,80,144,0.5555555555555556
Q5,1,20260924,3,feet,93,144,0.6458333333333334
Q5,1,20260924,4,tongue,8,144,0.05555555555555555
Q5,1,20260925,1,left_hand,117,144,0.8125
Q5,1,20260925,2,right_hand,108,144,0.75
Q5,1,20260925,3,feet,61,144,0.4236111111111111
Q5,1,20260925,4,tongue,40,144,0.2777777777777778
Q5,1,20260926,1,left_hand,105,144,0.7291666666666666
Q5,1,20260926,2,right_hand,142,144,0.9861111111111112
Q5,1,20260926,3,feet,73,144,0.5069444444444444
Q5,1,20260926,4,tongue,29,144,0.2013888888888889
Q5,2,20260924,1,left_hand,111,144,0.7708333333333334
Q5,2,20260924,2,right_hand,27,144,0.1875
Q5,2,20260924,3,feet,0,144,0.0
Q5,2,20260924,4,tongue,0,144,0.0
Q5,2,20260925,1,left_hand,136,144,0.9444444444444444
Q5,2,20260925,2,right_hand,1,144,0.006944444444444444
Q5,2,20260925,3,feet,3,144,0.020833333333333332
Q5,2,20260925,4,tongue,0,144,0.0
Q5,2,20260926,1,left_hand,126,144,0.875
Q5,2,20260926,2,right_hand,19,144,0.13194444444444445
Q5,2,20260926,3,feet,0,144,0.0
Q5,2,20260926,4,tongue,0,144,0.0
Q5,3,20260924,1,left_hand,144,144,1.0
Q5,3,20260924,2,right_hand,1,144,0.006944444444444444
Q5,3,20260924,3,feet,0,144,0.0
Q5,3,20260924,4,tongue,0,144,0.0
Q5,3,20260925,1,left_hand,143,144,0.9930555555555556
Q5,3,20260925,2,right_hand,2,144,0.013888888888888888
Q5,3,20260925,3,feet,0,144,0.0
Q5,3,20260925,4,tongue,0,144,0.0
Q5,3,20260926,1,left_hand,133,144,0.9236111111111112
Q5,3,20260926,2,right_hand,28,144,0.19444444444444445
Q5,3,20260926,3,feet,0,144,0.0
Q5,3,20260926,4,tongue,0,144,0.0
Q5,4,20260924,1,left_hand,41,144,0.2847222222222222
Q5,4,20260924,2,right_hand,124,144,0.8611111111111112
Q5,4,20260924,3,feet,27,144,0.1875
Q5,4,20260924,4,tongue,16,144,0.1111111111111111
Q5,4,20260925,1,left_hand,15,144,0.10416666666666667
Q5,4,20260925,2,right_hand,112,144,0.7777777777777778
Q5,4,20260925,3,feet,73,144,0.5069444444444444
Q5,4,20260925,4,tongue,6,144,0.041666666666666664
Q5,4,20260926,1,left_hand,2,144,0.013888888888888888
Q5,4,20260926,2,right_hand,98,144,0.6805555555555556
Q5,4,20260926,3,feet,84,144,0.5833333333333334
Q5,4,20260926,4,tongue,40,144,0.2777777777777778
Q5,5,20260924,1,left_hand,143,144,0.9930555555555556
Q5,5,20260924,2,right_hand,0,144,0.0
Q5,5,20260924,3,feet,0,144,0.0
Q5,5,20260924,4,tongue,0,144,0.0
Q5,5,20260925,1,left_hand,14,144,0.09722222222222222
Q5,5,20260925,2,right_hand,121,144,0.8402777777777778
Q5,5,20260925,3,feet,0,144,0.0
Q5,5,20260925,4,tongue,0,144,0.0
Q5,5,20260926,1,left_hand,123,144,0.8541666666666666
Q5,5,20260926,2,right_hand,16,144,0.1111111111111111
Q5,5,20260926,3,feet,0,144,0.0
Q5,5,20260926,4,tongue,0,144,0.0
Q5,6,20260924,1,left_hand,6,144,0.041666666666666664
Q5,6,20260924,2,right_hand,34,144,0.2361111111111111
Q5,6,20260924,3,feet,46,144,0.3194444444444444
Q5,6,20260924,4,tongue,81,144,0.5625
Q5,6,20260925,1,left_hand,20,144,0.1388888888888889
Q5,6,20260925,2,right_hand,24,144,0.16666666666666666
Q5,6,20260925,3,feet,22,144,0.1527777777777778
Q5,6,20260925,4,tongue,109,144,0.7569444444444444
Q5,6,20260926,1,left_hand,7,144,0.04861111111111111
Q5,6,20260926,2,right_hand,29,144,0.2013888888888889
Q5,6,20260926,3,feet,93,144,0.6458333333333334
Q5,6,20260926,4,tongue,19,144,0.13194444444444445
Q5,7,20260924,1,left_hand,81,144,0.5625
Q5,7,20260924,2,right_hand,62,144,0.4305555555555556
Q5,7,20260924,3,feet,8,144,0.05555555555555555
Q5,7,20260924,4,tongue,18,144,0.125
Q5,7,20260925,1,left_hand,33,144,0.22916666666666666
Q5,7,20260925,2,right_hand,107,144,0.7430555555555556
Q5,7,20260925,3,feet,5,144,0.034722222222222224
Q5,7,20260925,4,tongue,15,144,0.10416666666666667
Q5,7,20260926,1,left_hand,76,144,0.5277777777777778
Q5,7,20260926,2,right_hand,69,144,0.4791666666666667
Q5,7,20260926,3,feet,5,144,0.034722222222222224
Q5,7,20260926,4,tongue,13,144,0.09027777777777778
Q5,8,20260924,1,left_hand,65,144,0.4513888888888889
Q5,8,20260924,2,right_hand,82,144,0.5694444444444444
Q5,8,20260924,3,feet,2,144,0.013888888888888888
Q5,8,20260924,4,tongue,14,144,0.09722222222222222
Q5,8,20260925,1,left_hand,125,144,0.8680555555555556
Q5,8,20260925,2,right_hand,13,144,0.09027777777777778
Q5,8,20260925,3,feet,14,144,0.09722222222222222
