fold,subject,seed,stratum,true_label,predicted_label,count,model
loso_s9,9,20260924,all,1,1,59,EEGNet
loso_s9,9,20260924,all,1,2,45,EEGNet
loso_s9,9,20260924,all,1,3,12,EEGNet
loso_s9,9,20260924,all,1,4,28,EEGNet
loso_s9,9,20260924,all,2,1,1,EEGNet
loso_s9,9,20260924,all,2,2,70,EEGNet
loso_s9,9,20260924,all,2,3,11,EEGNet
loso_s9,9,20260924,all,2,4,62,EEGNet
loso_s9,9,20260924,all,3,1,5,EEGNet
loso_s9,9,20260924,all,3,2,20,EEGNet
loso_s9,9,20260924,all,3,3,21,EEGNet
loso_s9,9,20260924,all,3,4,98,EEGNet
loso_s9,9,20260924,all,4,1,1,EEGNet
loso_s9,9,20260924,all,4,2,5,EEGNet
loso_s9,9,20260924,all,4,3,2,EEGNet
loso_s9,9,20260924,all,4,4,136,EEGNet
loso_s9,9,20260924,unflagged,1,1,52,EEGNet
loso_s9,9,20260924,unflagged,1,2,35,EEGNet
loso_s9,9,20260924,unflagged,1,3,10,EEGNet
loso_s9,9,20260924,unflagged,1,4,21,EEGNet
loso_s9,9,20260924,unflagged,2,1,1,EEGNet
loso_s9,9,20260924,unflagged,2,2,61,EEGNet
loso_s9,9,20260924,unflagged,2,3,10,EEGNet
loso_s9,9,20260924,unflagged,2,4,56,EEGNet
loso_s9,9,20260924,unflagged,3,1,5,EEGNet
loso_s9,9,20260924,unflagged,3,2,18,EEGNet
loso_s9,9,20260924,unflagged,3,3,19,EEGNet
loso_s9,9,20260924,unflagged,3,4,88,EEGNet
loso_s9,9,20260924,unflagged,4,1,1,EEGNet
loso_s9,9,20260924,unflagged,4,2,3,EEGNet
loso_s9,9,20260924,unflagged,4,3,2,EEGNet
loso_s9,9,20260924,unflagged,4,4,119,EEGNet
loso_s9,9,20260924,flagged,1,1,7,EEGNet
loso_s9,9,20260924,flagged,1,2,10,EEGNet
loso_s9,9,20260924,flagged,1,3,2,EEGNet
loso_s9,9,20260924,flagged,1,4,7,EEGNet
loso_s9,9,20260924,flagged,2,1,0,EEGNet
loso_s9,9,20260924,flagged,2,2,9,EEGNet
loso_s9,9,20260924,flagged,2,3,1,EEGNet
loso_s9,9,20260924,flagged,2,4,6,EEGNet
loso_s9,9,20260924,flagged,3,1,0,EEGNet
loso_s9,9,20260924,flagged,3,2,2,EEGNet
loso_s9,9,20260924,flagged,3,3,2,EEGNet
loso_s9,9,20260924,flagged,3,4,10,EEGNet
loso_s9,9,20260924,flagged,4,1,0,EEGNet
loso_s9,9,20260924,flagged,4,2,2,EEGNet
loso_s9,9,20260924,flagged,4,3,0,EEGNet
loso_s9,9,20260924,flagged,4,4,17,EEGNet
loso_s9,9,20260925,all,1,1,60,EEGNet
loso_s9,9,20260925,all,1,2,62,EEGNet
loso_s9,9,20260925,all,1,3,10,EEGNet
loso_s9,9,20260925,all,1,4,12,EEGNet
loso_s9,9,20260925,all,2,1,4,EEGNet
loso_s9,9,20260925,all,2,2,63,EEGNet
loso_s9,9,20260925,all,2,3,22,EEGNet
loso_s9,9,20260925,all,2,4,55,EEGNet
loso_s9,9,20260925,all,3,1,4,EEGNet
loso_s9,9,20260925,all,3,2,18,EEGNet
loso_s9,9,20260925,all,3,3,36,EEGNet
loso_s9,9,20260925,all,3,4,86,EEGNet
loso_s9,9,20260925,all,4,1,1,EEGNet
loso_s9,9,20260925,all,4,2,3,EEGNet
loso_s9,9,20260925,all,4,3,7,EEGNet
loso_s9,9,20260925,all,4,4,133,EEGNet
loso_s9,9,20260925,unflagged,1,1,51,EEGNet
loso_s9,9,20260925,unflagged,1,2,50,EEGNet
loso_s9,9,20260925,unflagged,1,3,6,EEGNet
loso_s9,9,20260925,unflagged,1,4,11,EEGNet
loso_s9,9,20260925,unflagged,2,1,3,EEGNet
loso_s9,9,20260925,unflagged,2,2,54,EEGNet
loso_s9,9,20260925,unflagged,2,3,20,EEGNet
loso_s9,9,20260925,unflagged,2,4,51,EEGNet
loso_s9,9,20260925,unflagged,3,1,4,EEGNet
loso_s9,9,20260925,unflagged,3,2,17,EEGNet
loso_s9,9,20260925,unflagged,3,3,33,EEGNet
loso_s9,9,20260925,unflagged,3,4,76,EEGNet
loso_s9,9,20260925,unflagged,4,1,1,EEGNet
loso_s9,9,20260925,unflagged,4,2,2,EEGNet
loso_s9,9,20260925,unflagged,4,3,7,EEGNet
loso_s9,9,20260925,unflagged,4,4,115,EEGNet
loso_s9,9,20260925,flagged,1,1,9,EEGNet
loso_s9,9,20260925,flagged,1,2,12,EEGNet
loso_s9,9,20260925,flagged,1,3,4,EEGNet
loso_s9,9,20260925,flagged,1,4,1,EEGNet
loso_s9,9,20260925,flagged,2,1,1,EEGNet
loso_s9,9,20260925,flagged,2,2,9,EEGNet
loso_s9,9,20260925,flagged,2,3,2,EEGNet
loso_s9,9,20260925,flagged,2,4,4,EEGNet
loso_s9,9,20260925,flagged,3,1,0,EEGNet
loso_s9,9,20260925,flagged,3,2,1,EEGNet
loso_s9,9,20260925,flagged,3,3,3,EEGNet
loso_s9,9,20260925,flagged,3,4,10,EEGNet
loso_s9,9,20260925,flagged,4,1,0,EEGNet
loso_s9,9,20260925,flagged,4,2,1,EEGNet
loso_s9,9,20260925,flagged,4,3,0,EEGNet
loso_s9,9,20260925,flagged,4,4,18,EEGNet
loso_s9,9,20260926,all,1,1,80,EEGNet
loso_s9,9,20260926,all,1,2,35,EEGNet
loso_s9,9,20260926,all,1,3,16,EEGNet
loso_s9,9,20260926,all,1,4,13,EEGNet
loso_s9,9,20260926,all,2,1,3,EEGNet
loso_s9,9,20260926,all,2,2,45,EEGNet
loso_s9,9,20260926,all,2,3,26,EEGNet
loso_s9,9,20260926,all,2,4,70,EEGNet
loso_s9,9,20260926,all,3,1,3,EEGNet
loso_s9,9,20260926,all,3,2,15,EEGNet
loso_s9,9,20260926,all,3,3,16,EEGNet
loso_s9,9,20260926,all,3,4,110,EEGNet
loso_s9,9,20260926,all,4,1,0,EEGNet
loso_s9,9,20260926,all,4,2,0,EEGNet
loso_s9,9,20260926,all,4,3,5,EEGNet
loso_s9,9,20260926,all,4,4,139,EEGNet
loso_s9,9,20260926,unflagged,1,1,72,EEGNet
loso_s9,9,20260926,unflagged,1,2,25,EEGNet
loso_s9,9,20260926,unflagged,1,3,11,EEGNet
loso_s9,9,20260926,unflagged,1,4,10,EEGNet
loso_s9,9,20260926,unflagged,2,1,2,EEGNet
loso_s9,9,20260926,unflagged,2,2,39,EEGNet
loso_s9,9,20260926,unflagged,2,3,24,EEGNet
loso_s9,9,20260926,unflagged,2,4,63,EEGNet
loso_s9,9,20260926,unflagged,3,1,3,EEGNet
loso_s9,9,20260926,unflagged,3,2,13,EEGNet
loso_s9,9,20260926,unflagged,3,3,14,EEGNet
loso_s9,9,20260926,unflagged,3,4,100,EEGNet
loso_s9,9,20260926,unflagged,4,1,0,EEGNet
loso_s9,9,20260926,unflagged,4,2,0,EEGNet
loso_s9,9,20260926,unflagged,4,3,4,EEGNet
loso_s9,9,20260926,unflagged,4,4,121,EEGNet
loso_s9,9,20260926,flagged,1,1,8,EEGNet
loso_s9,9,20260926,flagged,1,2,10,EEGNet
loso_s9,9,20260926,flagged,1,3,5,EEGNet
loso_s9,9,20260926,flagged,1,4,3,EEGNet
loso_s9,9,20260926,flagged,2,1,1,EEGNet
loso_s9,9,20260926,flagged,2,2,6,EEGNet
loso_s9,9,20260926,flagged,2,3,2,EEGNet
loso_s9,9,20260926,flagged,2,4,7,EEGNet
loso_s9,9,20260926,flagged,3,1,0,EEGNet
loso_s9,9,20260926,flagged,3,2,2,EEGNet
loso_s9,9,20260926,flagged,3,3,2,EEGNet
loso_s9,9,20260926,flagged,3,4,10,EEGNet
loso_s9,9,20260926,flagged,4,1,0,EEGNet
loso_s9,9,20260926,flagged,4,2,0,EEGNet
loso_s9,9,20260926,flagged,4,3,1,EEGNet
loso_s9,9,20260926,flagged,4,4,18,EEGNet
