subject,seed,EEGNet
1,20260924,0.517361111111111
1,20260925,0.5850694444444444
1,20260926,0.6041666666666666
2,20260924,0.2413194444444444
2,20260925,0.25
2,20260926,0.25
3,20260924,0.6440972222222222
3,20260925,0.5694444444444444
3,20260926,0.7621527777777778
4,20260924,0.3732638888888889
4,20260925,0.3559027777777778
4,20260926,0.3923611111111111
5,20260924,0.2413194444444444
5,20260925,0.2395833333333333
5,20260926,0.2586805555555555
6,20260924,0.2795138888888889
6,20260925,0.296875
6,20260926,0.2725694444444444
7,20260924,0.2986111111111111
7,20260925,0.2795138888888888
7,20260926,0.28125
8,20260924,0.2569444444444444
8,20260925,0.2552083333333333
8,20260926,0.2465277777777777
9,20260924,0.4965277777777777
9,20260925,0.5069444444444444
9,20260926,0.4861111111111111
