condition,seed,class_id,correct,total,recall
A,20260924,1,144,144,1.0
A,20260924,2,1,144,0.006944444444444444
A,20260924,3,0,144,0.0
A,20260924,4,0,144,0.0
A,20260925,1,143,144,0.9930555555555556
A,20260925,2,2,144,0.013888888888888888
A,20260925,3,0,144,0.0
A,20260925,4,0,144,0.0
A,20260926,1,133,144,0.9236111111111112
A,20260926,2,28,144,0.19444444444444445
A,20260926,3,0,144,0.0
A,20260926,4,0,144,0.0
B,20260924,1,144,144,1.0
B,20260924,2,8,144,0.05555555555555555
B,20260924,3,0,144,0.0
B,20260924,4,0,144,0.0
B,20260925,1,143,144,0.9930555555555556
B,20260925,2,3,144,0.020833333333333332
B,20260925,3,0,144,0.0
B,20260925,4,0,144,0.0
B,20260926,1,142,144,0.9861111111111112
B,20260926,2,4,144,0.027777777777777776
B,20260926,3,0,144,0.0
B,20260926,4,0,144,0.0
C,20260924,1,102,144,0.7083333333333334
C,20260924,2,115,144,0.7986111111111112
C,20260924,3,57,144,0.3958333333333333
C,20260924,4,114,144,0.7916666666666666
C,20260925,1,83,144,0.5763888888888888
C,20260925,2,87,144,0.6041666666666666
C,20260925,3,56,144,0.3888888888888889
C,20260925,4,134,144,0.9305555555555556
C,20260926,1,120,144,0.8333333333333334
C,20260926,2,121,144,0.8402777777777778
C,20260926,3,83,144,0.5763888888888888
C,20260926,4,98,144,0.6805555555555556
D,20260924,1,104,144,0.7222222222222222
D,20260924,2,105,144,0.7291666666666666
D,20260924,3,36,144,0.25
D,20260924,4,126,144,0.875
D,20260925,1,80,144,0.5555555555555556
D,20260925,2,57,144,0.3958333333333333
D,20260925,3,57,144,0.3958333333333333
D,20260925,4,134,144,0.9305555555555556
D,20260926,1,120,144,0.8333333333333334
D,20260926,2,131,144,0.9097222222222222
D,20260926,3,83,144,0.5763888888888888
D,20260926,4,105,144,0.7291666666666666
