condition,condition_name,source_experiment,normalization,fixed_epochs,seed,balanced_accuracy,macro_f1,cohen_kappa,prediction_entropy,dominant_prediction_share
A,Raw_plus_2epochs,Q5-E001,False,2,20260924,0.2517361111111111,0.10370320906628,0.0023148148148147,0.01668422301990201,0.9965277777777778
A,Raw_plus_2epochs,Q5-E001,False,2,20260925,0.2517361111111111,0.1071415352727811,0.0023148148148147,0.061989243392819596,0.984375
A,Raw_plus_2epochs,Q5-E001,False,2,20260926,0.2795138888888889,0.1653846153846153,0.0393518518518518,0.31263120261171157,0.84375
B,SourceNorm_plus_2epochs,Q7-E001,True,2,20260924,0.2638888888888889,0.12733594089526293,0.01851851851851849,0.07304712506006815,0.9791666666666666
B,SourceNorm_plus_2epochs,Q7-E001,True,2,20260925,0.2534722222222222,0.11036650947298751,0.00462962962962965,0.058057537652384854,0.984375
B,SourceNorm_plus_2epochs,Q7-E001,True,2,20260926,0.2534722222222222,0.11376739047882073,0.00462962962962965,0.11697582051171965,0.9618055555555556
C,Raw_plus_16epochs,Q7-E001,False,16,20260924,0.6736111111111112,0.6635963199287311,0.5648148148148149,0.9752944400748981,0.3298611111111111
C,Raw_plus_16epochs,Q7-E001,False,16,20260925,0.625,0.6213694309174213,0.5,0.89541942623101,0.4947916666666667
C,Raw_plus_16epochs,Q7-E001,False,16,20260926,0.7326388888888888,0.7296302953991879,0.6435185185185186,0.9975962163369448,0.2760416666666667
D,SourceNorm_plus_16epochs,Q6-E001,True,16,20260924,0.6440972222222222,0.6207818857240895,0.525462962962963,0.9103960237771934,0.4184027777777778
D,SourceNorm_plus_16epochs,Q6-E001,True,16,20260925,0.5694444444444444,0.5718030983626086,0.4259259259259259,0.8073730540576759,0.5920138888888888
D,SourceNorm_plus_16epochs,Q6-E001,True,16,20260926,0.7621527777777778,0.7579927473841948,0.6828703703703703,0.993322780718945,0.3055555555555556
