fold,subject,seed,stratum,true_label,predicted_label,count,condition,condition_name,fixed_epochs,normalization,model
loso_s3,3,20260924,all,1,1,144,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,1,2,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,1,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,1,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,2,1,136,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,2,2,8,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,2,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,2,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,3,1,142,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,3,2,2,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,3,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,3,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,4,1,142,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,4,2,2,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,4,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,4,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,1,1,136,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,1,2,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,1,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,1,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,2,1,131,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,2,2,7,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,2,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,2,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,3,1,132,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,3,2,2,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,3,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,3,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,4,1,133,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,4,2,2,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,4,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,unflagged,4,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,flagged,1,1,8,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,flagged,1,2,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,flagged,1,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,flagged,1,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,flagged,2,1,5,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,flagged,2,2,1,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,flagged,2,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,flagged,2,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
