condition,condition_name,fold,subject,seed,fixed_epochs,epoch,train_ce,val_ce
B,SourceNorm_plus_2epochs,loso_s3,3,20260924,2,1,1.3758388310670853,
B,SourceNorm_plus_2epochs,loso_s3,3,20260924,2,2,1.3324003318945568,
B,SourceNorm_plus_2epochs,loso_s3,3,20260925,2,1,1.3816552493307326,
B,SourceNorm_plus_2epochs,loso_s3,3,20260925,2,2,1.3385752985874813,
B,SourceNorm_plus_2epochs,loso_s3,3,20260926,2,1,1.3833685368299484,
B,SourceNorm_plus_2epochs,loso_s3,3,20260926,2,2,1.3475392013788223,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,1,1.3764075140158336,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,2,1.3293685449494257,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,3,1.256012616886033,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,4,1.218011811375618,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,5,1.19303497672081,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,6,1.177628431055281,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,7,1.145614390571912,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,8,1.1477204047971301,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,9,1.1308785908752017,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,10,1.1123449206352234,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,11,1.1093406710359786,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,12,1.0953139811754227,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,13,1.091520394715998,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,14,1.0945608028107219,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,15,1.0865928182999294,
C,Raw_plus_16epochs,loso_s3,3,20260924,16,16,1.0733917239639494,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,1,1.379951195584403,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,2,1.3358286718527477,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,3,1.2931169735060797,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,4,1.2386132429043453,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,5,1.212510335776541,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,6,1.187013515167766,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,7,1.170056790113449,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,8,1.1517990943458345,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,9,1.1369266327884462,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,10,1.1344283256265852,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,11,1.1109891525573201,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,12,1.1088605639007356,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,13,1.1046986199087567,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,14,1.0949398966299162,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,15,1.0918386553724606,
C,Raw_plus_16epochs,loso_s3,3,20260925,16,16,1.080980767806371,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,1,1.3827444911003113,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,2,1.3450617111391492,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,3,1.2903298685948055,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,4,1.2347600294484034,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,5,1.2035206158955891,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,6,1.1826672322220273,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,7,1.1463070048226252,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,8,1.1331565057237942,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,9,1.1161437349187002,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,10,1.1115122321579192,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,11,1.098091549343533,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,12,1.0931467480129666,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,13,1.0882480798496141,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,14,1.078018752237161,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,15,1.076350602010886,
C,Raw_plus_16epochs,loso_s3,3,20260926,16,16,1.059973367386394,
