fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,condition_name,fixed_epochs,normalization
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.2638888888888889,0.2638888888888889,0.12733594089526293,0.23049645390070922,0.2638888888888889,0.01851851851851849,B,SourceNorm_plus_2epochs,2,True
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.26268115942028986,0.26335174953959484,0.12528634007153477,0.2230006835269993,0.26268115942028986,0.017101172509605078,B,SourceNorm_plus_2epochs,2,True
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.2916666666666667,0.2727272727272727,0.17142857142857143,0.3125,0.2916666666666667,0.042321644498186095,B,SourceNorm_plus_2epochs,2,True
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.2534722222222222,0.2534722222222222,0.11036650947298751,0.14638447971781304,0.2534722222222222,0.00462962962962965,B,SourceNorm_plus_2epochs,2,True
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.2517849531116795,0.2523020257826888,0.1073429802955665,0.13439498933901917,0.2517849531116795,0.002393805970487106,B,SourceNorm_plus_2epochs,2,True
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.2916666666666667,0.2727272727272727,0.16506410256410256,0.18951612903225806,0.2916666666666667,0.04463208685162856,B,SourceNorm_plus_2epochs,2,True
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.2534722222222222,0.2534722222222222,0.11376739047882073,0.10953396783721693,0.2534722222222222,0.00462962962962965,B,SourceNorm_plus_2epochs,2,True
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.2535699062233589,0.2541436464088398,0.11432742359923935,0.11405353728489484,0.2535699062233589,0.0047338670625132195,B,SourceNorm_plus_2epochs,2,True
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.25,0.24242424242424243,0.10256410256410256,0.06451612903225806,0.25,0.004825090470446436,B,SourceNorm_plus_2epochs,2,True
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.6736111111111112,0.6736111111111112,0.6635963199287311,0.675712578309107,0.6736111111111112,0.5648148148148149,C,Raw_plus_16epochs,16,False
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.6709494849565755,0.6721915285451197,0.6617752442224067,0.6742812742066873,0.6709494849565755,0.5627465527849156,C,Raw_plus_16epochs,16,False
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.7284722222222222,0.696969696969697,0.6910714285714286,0.7068181818181818,0.7284722222222222,0.5985401459854014,C,Raw_plus_16epochs,16,False
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.625,0.625,0.6213694309174213,0.6978485268302369,0.625,0.5,C,Raw_plus_16epochs,16,False
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.6277291434275059,0.6279926335174953,0.6243562840865317,0.6987698398056834,0.6277291434275059,0.5041432155692684,C,Raw_plus_16epochs,16,False
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.56875,0.5757575757575758,0.5553196803196804,0.668421052631579,0.56875,0.42821782178217815,C,Raw_plus_16epochs,16,False
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.7326388888888888,0.7326388888888888,0.7296302953991879,0.7290274893924348,0.7326388888888888,0.6435185185185186,C,Raw_plus_16epochs,16,False
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.739381726985985,0.7403314917127072,0.7372860842751497,0.7366428594287177,0.739381726985985,0.6536911476685228,C,Raw_plus_16epochs,16,False
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.6548611111111111,0.6060606060606061,0.6116071428571428,0.6375,0.6548611111111111,0.4818840579710145,C,Raw_plus_16epochs,16,False
