experiment,subject,selected_epoch,early_selection_le_2,early_selection_le_5,inner_optimum_epoch_range,inner_optimum_epoch_std,near_min_001_count,near_min_005_count,near_min_005_span,margin_to_second_best,inner_optima_within_selected_pm2,inner_optima_within_selected_pm5,wide_inner_optimum_range_ge_10,flat_minimum_many_epochs_005
Q5,1,27,False,False,29,15.110702608857515,1,1,0,0.009137007925245522,1,2,True,False
Q5,2,1,True,True,23,10.04572877727976,1,1,0,0.008571179376708038,1,2,True,False
Q5,3,2,True,True,19,8.180260794538684,1,2,1,0.002219604121314278,1,2,True,False
Q5,4,10,False,False,30,12.816005617976296,1,1,0,0.01683408435848044,1,2,True,False
Q5,5,13,False,False,35,15.435349040433131,1,1,0,0.007589861750602722,0,0,True,False
Q5,6,7,False,False,15,7.41057802513857,1,1,0,0.03089626299010395,1,1,True,False
Q5,7,6,False,False,34,14.27118308573843,1,2,1,0.004004468520482307,0,1,True,False
Q5,8,1,True,True,25,11.615363389350618,2,2,1,0.0004571874936420972,1,1,True,False
Q5,9,7,False,False,22,9.092121131323903,1,1,0,0.0252635147836473,0,0,True,False
Q6,1,27,False,False,26,12.922847983320086,1,1,0,0.011621716121832382,1,2,True,False
Q6,2,1,True,True,23,10.04572877727976,1,1,0,0.012357499864366295,1,2,True,False
Q6,3,16,False,False,23,10.785793124908958,2,4,15,0.000731538567278367,0,1,True,False
Q6,4,10,False,False,29,12.516655570345725,1,1,0,0.012488659057352303,1,3,True,False
Q6,5,12,False,False,35,15.435349040433131,1,1,0,0.020131287475426918,0,1,True,False
Q6,6,7,False,False,27,12.12435565298214,1,1,0,0.030744349790944092,1,1,True,False
Q6,7,6,False,False,22,9.215023964519391,1,2,1,0.0029372498393058777,0,1,True,False
Q6,8,1,True,True,27,12.30176139149729,1,1,0,0.006776149074236404,1,1,True,False
Q6,9,7,False,False,22,9.092121131323903,1,1,0,0.029230014317565667,0,0,True,False
