experiment,subject,fold,inner_fold,optimum_epoch,optimum_val_ce,val_ce_at_group_selected,epoch_distance_from_group_selected
Q5,1,loso_s1,1,30,1.1518690652317471,1.200239360332489,3
Q5,1,loso_s1,2,1,1.385324246353573,1.5141707592540317,-26
Q5,1,loso_s1,3,4,1.376064466105567,1.5350888437694974,-23
Q5,1,loso_s1,4,27,1.218050393793318,1.218050393793318,0
Q5,2,loso_s2,1,24,1.0020639664596982,1.3786632882224188,23
Q5,2,loso_s2,2,1,1.3858393828074138,1.3858393828074138,0
Q5,2,loso_s2,3,5,1.3695306380589802,1.3836912380324469,4
Q5,2,loso_s2,4,9,1.03930581940545,1.3639189004898071,8
Q5,3,loso_s3,1,12,1.2621965010960896,1.386856072478824,10
Q5,3,loso_s3,2,1,1.3850501378377278,1.4034674366315203,-1
Q5,3,loso_s3,3,6,1.3617512120140924,1.3894677758216858,4
Q5,3,loso_s3,4,20,1.2100550267431471,1.3423018919097052,18
Q5,4,loso_s4,1,13,1.17325621843338,1.207814835839801,3
Q5,4,loso_s4,2,34,1.273199650976393,1.3220106528864966,24
Q5,4,loso_s4,3,4,1.373935686217414,1.465283135573069,-6
Q5,4,loso_s4,4,12,1.1233506898085277,1.158353288968404,2
Q5,5,loso_s5,1,19,1.1896445486280651,1.2678088115321264,6
Q5,5,loso_s5,2,36,0.9857748481962416,1.065374665790134,23
Q5,5,loso_s5,3,1,1.3838354878955417,1.6272453798188105,-12
Q5,5,loso_s5,4,7,1.1150221559736464,1.1996325883600447,-6
Q5,6,loso_s6,1,16,1.1913742025693257,1.2500844167338476,9
Q5,6,loso_s6,2,15,1.0861031446192,1.1591523157225714,8
Q5,6,loso_s6,3,1,1.38752814133962,1.6666402485635543,-6
Q5,6,loso_s6,4,5,1.2463969389597576,1.273725022872289,-2
Q5,7,loso_s7,1,15,1.1844684647189243,1.2471388578414917,9
Q5,7,loso_s7,2,35,1.0707993143134646,1.2757122781541612,29
Q5,7,loso_s7,3,1,1.3855853875478108,1.5928215781847637,-5
Q5,7,loso_s7,4,23,1.127912614080641,1.1598111589749651,17
Q5,8,loso_s8,1,22,1.199099212884903,1.3861684931649103,21
Q5,8,loso_s8,2,24,1.0927678909566667,1.3797773255242245,23
Q5,8,loso_s8,3,1,1.3851133121384516,1.3851133121384516,0
Q5,8,loso_s8,4,26,1.276620825131734,1.3730312983194988,25
Q5,9,loso_s9,1,13,1.2291659580336676,1.2781502670711942,6
Q5,9,loso_s9,2,15,1.1065695484479268,1.2169161571396725,8
Q5,9,loso_s9,3,1,1.3849357962608335,1.6510681245062089,-6
Q5,9,loso_s9,4,23,1.1619708240032196,1.1921467781066897,16
Q6,1,loso_s1,1,24,1.1504855586422815,1.2228010098139446,-3
Q6,1,loso_s1,2,1,1.3888169195916915,1.510369857152303,-26
Q6,1,loso_s1,3,6,1.3828500310579936,1.5108508070309956,-21
Q6,1,loso_s1,4,27,1.235763857762019,1.235763857762019,0
Q6,2,loso_s2,1,24,0.97346787320243,1.3856594098938837,23
Q6,2,loso_s2,2,1,1.3923220766915216,1.3923220766915216,0
Q6,2,loso_s2,3,5,1.3698543707529705,1.3889348308245342,4
Q6,2,loso_s2,4,9,1.040079865190718,1.377407623661889,8
Q6,3,loso_s3,1,24,1.2297981215847864,1.305940369764964,8
Q6,3,loso_s3,2,1,1.388418091668023,1.5401302576065063,-15
Q6,3,loso_s3,3,6,1.3598904410998027,1.3894191980361938,-10
Q6,3,loso_s3,4,19,1.224524004591836,1.308057450585895,3
Q6,4,loso_s4,1,13,1.1716934674315982,1.2077041533258226,3
Q6,4,loso_s4,2,34,1.2583949565887451,1.3462929195827908,24
Q6,4,loso_s4,3,5,1.3759310046831768,1.47825249698427,-5
Q6,4,loso_s4,4,12,1.1351228422588773,1.1545334325896368,2
Q6,5,loso_s5,1,19,1.2306060658560858,1.2509226732783847,7
Q6,5,loso_s5,2,36,0.9796929922368792,1.082108222775989,24
Q6,5,loso_s5,3,1,1.3898876905441284,1.6186915636062622,-11
Q6,5,loso_s5,4,7,1.112698836459054,1.1965918242931366,-5
Q6,6,loso_s6,1,16,1.1937367452515495,1.2749044001102448,9
Q6,6,loso_s6,2,28,1.0519884957207577,1.1673613323105707,21
Q6,6,loso_s6,3,1,1.391672948996226,1.6800509889920552,-6
Q6,6,loso_s6,4,5,1.2265634139378865,1.2671447263823614,-2
Q6,7,loso_s7,1,15,1.1864854991436005,1.256261620256636,9
Q6,7,loso_s7,2,16,1.0907188057899475,1.2818296684159174,10
Q6,7,loso_s7,3,1,1.3903065456284418,1.5724793473879497,-5
Q6,7,loso_s7,4,23,1.143187337451511,1.156440943479538,17
Q6,8,loso_s8,1,17,1.2110462288061778,1.3886762261390686,16
Q6,8,loso_s8,2,28,1.0759821269247267,1.3851865662468803,27
Q6,8,loso_s8,3,1,1.3888289663526747,1.3888289663526747,0
Q6,8,loso_s8,4,26,1.2831083238124847,1.382158637046814,25
Q6,9,loso_s9,1,13,1.21863282389111,1.2882639368375142,6
Q6,9,loso_s9,2,15,1.1222342981232538,1.2206907802157931,8
Q6,9,loso_s9,3,1,1.388227230972714,1.629810591538747,-6
Q6,9,loso_s9,4,23,1.1651493906974792,1.1912985013590918,16
