experiment,target_subject,original_selected_epoch,omitted_inner_fold,omitted_validation_subject_1,omitted_validation_subject_2,omitted_validation_pair,selected_epoch_after_omission,epoch_shift,absolute_epoch_shift,selected_score_after_omission,original_epoch_score_after_omission
Q5,2,1,1,1,3,S1+S3,1,0,0,1.3778165071098893,1.3778165071098893
Q5,2,1,2,4,5,S4+S5,9,8,8,1.2272836753615628,1.3754244755815577
Q5,2,1,3,6,7,S6+S7,13,12,12,1.3709964685969884,1.37614052383988
Q5,2,1,4,8,9,S8+S9,1,0,0,1.38273130302076,1.38273130302076
Q5,3,2,1,1,2,S1+S2,2,0,0,1.3784123681209703,1.3784123681209703
Q5,3,2,2,4,5,S4+S5,19,17,17,1.3341430966500882,1.3728752467367382
Q5,3,2,3,6,7,S6+S7,2,0,0,1.3775418003400164,1.3775418003400164
Q5,3,2,4,8,9,S8+S9,1,-1,1,1.3850793286606118,1.39326376164401
Q5,8,1,1,1,2,S1+S2,1,0,0,1.3793073119940582,1.3793073119940582
Q5,8,1,2,3,4,S3+S4,2,1,1,1.3813107190308749,1.3814377012076202
Q5,8,1,3,5,6,S5+S6,23,22,22,1.2074750087879322,1.3796590390028778
Q5,8,1,4,7,9,S7+S9,1,0,0,1.3836863769425287,1.3836863769425287
Q6,2,1,1,1,3,S1+S3,1,0,0,1.3862215103926483,1.3862215103926483
Q6,2,1,2,4,5,S4+S5,13,12,12,1.2207281898569178,1.3840006214601024
Q6,2,1,3,6,7,S6+S7,19,18,18,1.340370190364343,1.3851297034157648
Q6,2,1,4,8,9,S8+S9,1,0,0,1.3889721058033133,1.3889721058033133
Q6,3,16,1,1,2,S1+S2,1,-15,15,1.386277622646756,1.412535635409532
Q6,3,16,2,4,5,S4+S5,19,3,3,1.3157566951380837,1.3344723394623508
Q6,3,16,3,6,7,S6+S7,16,0,0,1.3847093593191218,1.3847093593191218
Q6,3,16,4,8,9,S8+S9,1,-15,15,1.387812309794956,1.4118299418025548
Q6,8,1,1,1,2,S1+S2,1,0,0,1.385391389882123,1.385391389882123
Q6,8,1,2,3,4,S3+S4,1,0,0,1.3865546098461856,1.3865546098461856
Q6,8,1,3,5,6,S5+S6,23,22,22,1.2153666460955586,1.3853404764775876
Q6,8,1,4,7,9,S7+S9,1,0,0,1.3875639195795413,1.3875639195795413
