experiment,target_subject,original_selected_epoch,omitted_inner_fold,omitted_validation_subject_1,omitted_validation_subject_2,omitted_validation_pair,selected_epoch_after_omission,epoch_shift,absolute_epoch_shift,selected_score_after_omission,original_epoch_score_after_omission
Q5,1,27,1,2,3,S2+S3,2,-25,25,1.378419076954877,1.4224366656056155
Q5,1,27,2,4,5,S4+S5,18,-9,9,1.3158715864022572,1.3177928659651015
Q5,1,27,3,6,7,S6+S7,27,0,0,1.310820171126613,1.310820171126613
Q5,1,27,4,8,9,S8+S9,1,-26,26,1.3842874478410792,1.416499654452006
Q5,2,1,1,1,3,S1+S3,1,0,0,1.3778165071098893,1.3778165071098893
Q5,2,1,2,4,5,S4+S5,9,8,8,1.2272836753615628,1.3754244755815577
Q5,2,1,3,6,7,S6+S7,13,12,12,1.3709964685969884,1.37614052383988
Q5,2,1,4,8,9,S8+S9,1,0,0,1.38273130302076,1.38273130302076
Q5,3,2,1,1,2,S1+S2,2,0,0,1.3784123681209703,1.3784123681209703
Q5,3,2,2,4,5,S4+S5,19,17,17,1.3341430966500882,1.3728752467367382
Q5,3,2,3,6,7,S6+S7,2,0,0,1.3775418003400164,1.3775418003400164
Q5,3,2,4,8,9,S8+S9,1,-1,1,1.3850793286606118,1.39326376164401
Q5,4,10,1,1,2,S1+S2,10,0,0,1.31521569247599,1.31521569247599
Q5,4,10,2,3,5,S3+S5,10,0,0,1.2771504201270913,1.2771504201270913
Q5,4,10,3,6,7,S6+S7,10,0,0,1.2293929258982337,1.2293929258982337
Q5,4,10,4,8,9,S8+S9,10,0,0,1.3317028747664554,1.3317028747664554
Q5,5,13,1,1,2,S1+S2,7,-6,6,1.2718852206512734,1.2974175446563299
Q5,5,13,2,3,4,S3+S4,12,-1,1,1.3614306184980605,1.3648955932369937
Q5,5,13,3,6,7,S6+S7,13,0,0,1.177605355227435,1.177605355227435
Q5,5,13,4,8,9,S8+S9,19,6,6,1.317688023602521,1.320142952380357
Q5,6,7,1,1,2,S1+S2,7,0,0,1.3665058623861384,1.3665058623861384
Q5,6,7,2,3,4,S3+S4,2,-5,5,1.3756460746129353,1.3968165627232303
Q5,6,7,3,5,7,S5+S7,7,0,0,1.2276539184429025,1.2276539184429025
Q5,6,7,4,8,9,S8+S9,7,0,0,1.3586256603399913,1.3586256603399913
Q5,7,6,1,1,2,S1+S2,5,-1,1,1.3381875554720561,1.3427816717712968
Q5,7,6,2,3,4,S3+S4,6,0,0,1.3332571983337402,1.3332571983337402
Q5,7,6,3,5,6,S5+S6,16,10,10,1.140983365200184,1.2275540983235393
Q5,7,6,4,8,9,S8+S9,6,0,0,1.3718909047268057,1.3718909047268057
Q5,8,1,1,1,2,S1+S2,1,0,0,1.3793073119940582,1.3793073119940582
Q5,8,1,2,3,4,S3+S4,2,1,1,1.3813107190308749,1.3814377012076202
Q5,8,1,3,5,6,S5+S6,23,22,22,1.2074750087879322,1.3796590390028778
Q5,8,1,4,7,9,S7+S9,1,0,0,1.3836863769425287,1.3836863769425287
Q5,9,7,1,1,2,S1+S2,7,0,0,1.3533770199175237,1.3533770199175237
Q5,9,7,2,3,4,S3+S4,7,0,0,1.3737883898946974,1.3737883898946974
Q5,9,7,3,5,6,S5+S6,13,6,6,1.1798255741596222,1.2290710674391854
Q5,9,7,4,7,8,S7+S8,7,0,0,1.3820448495723585,1.3820448495723585
Q6,1,27,1,2,3,S2+S3,1,-26,26,1.386125968562232,1.4189948406484392
Q6,1,27,2,4,5,S4+S5,18,-9,9,1.320662083449187,1.3231385582023198
Q6,1,27,3,6,7,S6+S7,27,0,0,1.322978241576089,1.322978241576089
Q6,1,27,4,8,9,S8+S9,1,-26,26,1.3876105613178675,1.4146738913324144
Q6,2,1,1,1,3,S1+S3,1,0,0,1.3862215103926483,1.3862215103926483
Q6,2,1,2,4,5,S4+S5,13,12,12,1.2207281898569178,1.3840006214601024
Q6,2,1,3,6,7,S6+S7,19,18,18,1.340370190364343,1.3851297034157648
Q6,2,1,4,8,9,S8+S9,1,0,0,1.3889721058033133,1.3889721058033133
Q6,3,16,1,1,2,S1+S2,1,-15,15,1.386277622646756,1.412535635409532
Q6,3,16,2,4,5,S4+S5,19,3,3,1.3157566951380837,1.3344723394623508
Q6,3,16,3,6,7,S6+S7,16,0,0,1.3847093593191218,1.3847093593191218
Q6,3,16,4,8,9,S8+S9,1,-15,15,1.387812309794956,1.4118299418025548
Q6,4,10,1,1,2,S1+S2,10,0,0,1.326359616385566,1.326359616385566
Q6,4,10,2,3,5,S3+S5,10,0,0,1.2801633609665766,1.2801633609665766
Q6,4,10,3,6,7,S6+S7,10,0,0,1.2361768351660833,1.2361768351660833
Q6,4,10,4,8,9,S8+S9,16,6,6,1.3372557803436562,1.3440831899642944
Q6,5,12,1,1,2,S1+S2,7,-5,5,1.2690037632430042,1.299130536891796
Q6,5,12,2,3,4,S3+S4,12,0,0,1.3554020203925947,1.3554020203925947
Q6,5,12,3,6,7,S6+S7,12,0,0,1.1765409067825034,1.1765409067825034
Q6,5,12,4,8,9,S8+S9,13,1,1,1.3083310546698395,1.3172408198868786
Q6,6,7,1,1,2,S1+S2,7,0,0,1.3715190158949957,1.3715190158949957
Q6,6,7,2,3,4,S3+S4,1,-6,6,1.3852657300454598,1.4073667051615537
Q6,6,7,3,5,7,S5+S7,7,0,0,1.2364701529343922,1.2364701529343922
Q6,6,7,4,8,9,S8+S9,35,28,28,1.3428835901949139,1.3741055738042902
Q6,7,6,1,1,2,S1+S2,6,0,0,1.3369166530944685,1.3369166530944685
Q6,7,6,2,3,4,S3+S4,6,0,0,1.3283939703747079,1.3283939703747079
Q6,7,6,3,5,6,S5+S6,16,10,10,1.146243942004663,1.231510744050697
Q6,7,6,4,8,9,S8+S9,6,0,0,1.3701902120201677,1.3701902120201677
Q6,8,1,1,1,2,S1+S2,1,0,0,1.385391389882123,1.385391389882123
Q6,8,1,2,3,4,S3+S4,1,0,0,1.3865546098461856,1.3865546098461856
Q6,8,1,3,5,6,S5+S6,23,22,22,1.2153666460955586,1.3853404764775876
Q6,8,1,4,7,9,S7+S9,1,0,0,1.3875639195795413,1.3875639195795413
Q6,9,7,1,1,2,S1+S2,7,0,0,1.3472666243712108,1.3472666243712108
