target_subject,rule,Q5_selected_epoch,Q6_selected_epoch,Q6_minus_Q5_epoch,absolute_Q5_Q6_epoch_difference
1,mean_ce,27,27,0,0
1,median_ce,9,7,-2,2
1,trimmed_mean_ce,9,7,-2,2
1,worst_fold_ce,1,1,0,0
1,mean_rank,27,27,0,0
1,median_rank,6,4,-2,2
2,mean_ce,1,1,0,0
2,median_ce,11,11,0,0
2,trimmed_mean_ce,11,11,0,0
2,worst_fold_ce,1,1,0,0
2,mean_rank,13,19,6,6
2,median_rank,13,19,6,6
3,mean_ce,2,16,14,14
3,median_ce,9,16,7,7
3,trimmed_mean_ce,9,16,7,7
3,worst_fold_ce,1,1,0,0
3,mean_rank,10,12,2,2
3,median_rank,10,17,7,7
4,mean_ce,10,10,0,0
4,median_ce,10,10,0,0
4,trimmed_mean_ce,10,10,0,0
4,worst_fold_ce,1,1,0,0
4,mean_rank,10,10,0,0
4,median_rank,10,10,0,0
5,mean_ce,13,12,-1,1
5,median_ce,12,12,0,0
5,trimmed_mean_ce,12,12,0,0
5,worst_fold_ce,1,1,0,0
5,mean_rank,17,16,-1,1
5,median_rank,13,12,-1,1
6,mean_ce,7,7,0,0
6,median_ce,7,7,0,0
6,trimmed_mean_ce,7,7,0,0
6,worst_fold_ce,1,1,0,0
6,mean_rank,15,15,0,0
6,median_rank,15,21,6,6
7,mean_ce,6,6,0,0
7,median_ce,16,16,0,0
7,trimmed_mean_ce,16,16,0,0
7,worst_fold_ce,1,1,0,0
7,mean_rank,16,16,0,0
7,median_rank,16,16,0,0
8,mean_ce,1,1,0,0
8,median_ce,23,23,0,0
8,trimmed_mean_ce,23,23,0,0
8,worst_fold_ce,1,1,0,0
8,mean_rank,23,23,0,0
8,median_rank,26,23,-3,3
9,mean_ce,7,7,0,0
9,median_ce,13,13,0,0
9,trimmed_mean_ce,13,13,0,0
9,worst_fold_ce,1,1,0,0
9,mean_rank,9,12,3,3
9,median_rank,9,12,3,3
