experiment,rule,mean_selected_epoch,median_selected_epoch,mean_LOIFO_epoch_range,median_LOIFO_epoch_range,mean_LOIFO_absolute_shift,max_LOIFO_absolute_shift,mean_LOIFO_unique_selections
Q5,mean_ce,8.222222222222221,7.0,12.444444444444445,12.0,4.333333333333333,26,2.7777777777777777
Q5,mean_rank,15.555555555555555,15.0,10.555555555555555,8.0,3.8055555555555554,21,2.6666666666666665
Q5,median_ce,12.222222222222221,11.0,11.555555555555555,9.0,5.25,24,2.4444444444444446
Q5,median_rank,13.11111111111111,13.0,14.11111111111111,12.0,5.611111111111111,21,2.6666666666666665
Q5,trimmed_mean_ce,12.222222222222221,11.0,11.555555555555555,9.0,5.25,24,2.4444444444444446
Q5,worst_fold_ce,1.0,1.0,11.0,11.0,2.8333333333333335,25,2.111111111111111
Q6,mean_ce,9.666666666666666,7.0,16.22222222222222,18.0,5.777777777777778,28,2.5555555555555554
Q6,mean_rank,16.666666666666668,16.0,11.0,9.0,3.4166666666666665,23,2.888888888888889
Q6,median_ce,12.777777777777779,12.0,12.222222222222221,9.0,6.027777777777778,25,2.5555555555555554
Q6,median_rank,14.88888888888889,16.0,12.11111111111111,11.0,5.583333333333333,18,2.3333333333333335
Q6,trimmed_mean_ce,12.777777777777779,12.0,12.222222222222221,9.0,6.027777777777778,25,2.5555555555555554
Q6,worst_fold_ce,1.0,1.0,11.333333333333334,11.0,2.9444444444444446,25,2.111111111111111
