experiment,target_subject,rule,selected_epoch,selected_source_score,LOIFO_min_epoch,LOIFO_max_epoch,LOIFO_epoch_range,LOIFO_mean_absolute_shift,LOIFO_max_absolute_shift,LOIFO_n_unique
Q5,1,mean_ce,27,1.366887339287334,1,27,26,15.0,26,4
Q5,1,median_ce,9,1.3540141665273242,4,27,23,11.0,18,3
Q5,1,trimmed_mean_ce,9,1.3540141665273242,4,27,23,11.0,18,3
Q5,1,worst_fold_ce,1,1.385324246353573,1,6,5,1.25,5,2
Q5,1,mean_rank,27,10.75,6,27,21,9.5,21,4
Q5,1,median_rank,6,9.0,1,27,26,7.75,21,3
Q5,2,mean_ce,1,1.3780282023880217,1,13,12,5.0,12,3
Q5,2,median_ce,11,1.3199204107125602,5,11,6,3.0,6,2
Q5,2,trimmed_mean_ce,11,1.3199204107125602,5,11,6,3.0,6,2
Q5,2,worst_fold_ce,1,1.3858393828074138,1,5,4,1.0,4,2
Q5,2,mean_rank,13,7.25,5,13,8,2.25,8,3
Q5,2,median_rank,13,7.0,1,13,12,6.0,12,2
Q5,3,mean_ce,2,1.3805232942104337,1,19,18,4.5,17,3
Q5,3,median_ce,9,1.364206999540329,6,25,19,9.5,16,2
Q5,3,trimmed_mean_ce,9,1.364206999540329,6,25,19,9.5,16,2
Q5,3,worst_fold_ce,1,1.3852741056018405,1,6,5,1.25,5,2
Q5,3,mean_rank,10,10.5,5,30,25,6.75,20,4
Q5,3,median_rank,10,6.5,1,17,16,6.25,9,3
Q5,4,mean_ce,10,1.2883654783169427,10,10,0,0.0,0,1
Q5,4,median_ce,10,1.2649127443631487,12,34,22,8.75,24,3
Q5,4,trimmed_mean_ce,10,1.2649127443631487,12,34,22,8.75,24,3
Q5,4,worst_fold_ce,1,1.3856406675444708,1,17,16,4.75,16,3
Q5,4,mean_rank,10,6.0,10,10,0,0.0,0,1
Q5,4,median_rank,10,6.0,10,17,7,4.0,7,3
Q5,5,mean_ce,13,1.290015361375279,7,19,12,3.25,6,4
Q5,5,median_ce,12,1.2327335609330072,10,19,9,2.75,7,3
Q5,5,trimmed_mean_ce,12,1.2327335609330072,10,19,9,2.75,7,3
Q5,5,worst_fold_ce,1,1.3855198687977262,1,12,11,2.75,11,2
Q5,5,mean_rank,17,11.5,7,17,10,3.75,10,3
Q5,5,median_rank,13,9.0,6,17,11,4.5,7,3
Q5,6,mean_ce,7,1.3374005009730656,2,7,5,1.25,5,2
Q5,6,median_ce,7,1.2619047198030682,6,16,10,4.75,9,3
Q5,6,trimmed_mean_ce,7,1.2619047198030682,6,16,10,4.75,9,3
Q5,6,worst_fold_ce,1,1.38752814133962,1,7,6,1.5,6,2
Q5,6,mean_rank,15,7.5,7,15,8,2.0,8,2
Q5,6,median_rank,15,8.0,4,15,11,5.5,11,2
Q5,7,mean_ce,6,1.3188709682888455,5,16,11,2.75,10,3
Q5,7,median_ce,16,1.1718045787678824,16,23,7,3.5,7,2
Q5,7,trimmed_mean_ce,16,1.1718045787678824,16,23,7,3.5,7,2
Q5,7,worst_fold_ce,1,1.385715140236749,1,16,15,3.75,15,2
Q5,7,mean_rank,16,7.5,10,16,6,1.5,6,2
Q5,7,median_rank,16,4.5,5,16,11,5.5,11,2
Q5,8,mean_ce,1,1.3810226072867713,1,23,22,5.75,22,3
Q5,8,median_ce,23,1.2548339631822374,22,26,4,2.0,3,2
Q5,8,trimmed_mean_ce,23,1.2548339631822374,22,26,4,2.0,3,2
Q5,8,worst_fold_ce,1,1.3861684931649103,1,26,25,6.25,25,2
Q5,8,mean_rank,23,10.25,9,26,17,8.5,14,4
Q5,8,median_rank,26,5.5,5,26,21,6.0,21,3
Q5,9,mean_ce,7,1.3345703317059412,7,13,6,1.5,6,2
Q5,9,median_ce,13,1.213688434826003,9,13,4,2.0,4,2
Q5,9,trimmed_mean_ce,13,1.213688434826003,9,13,4,2.0,4,2
Q5,9,worst_fold_ce,1,1.3852179315355089,1,13,12,3.0,12,2
Q5,9,mean_rank,9,5.5,9,9,0,0.0,0,1
Q5,9,median_rank,9,5.0,9,21,12,5.0,12,3
Q6,1,mean_ce,27,1.3699463829398155,1,27,26,15.25,26,3
Q6,1,median_ce,7,1.3571372893121507,6,27,21,10.5,20,2
Q6,1,trimmed_mean_ce,7,1.3571372893121507,6,27,21,10.5,20,2
Q6,1,worst_fold_ce,1,1.3888169195916915,1,6,5,1.25,5,2
Q6,1,mean_rank,27,11.25,4,27,23,10.0,23,4
Q6,1,median_rank,4,10.0,1,18,17,5.5,14,3
Q6,2,mean_ce,1,1.3860809852679572,1,19,18,7.5,18,3
Q6,2,median_ce,11,1.3084050913651786,5,36,31,15.5,25,2
Q6,2,trimmed_mean_ce,11,1.3084050913651786,5,36,31,15.5,25,2
Q6,2,worst_fold_ce,1,1.3923220766915216,1,5,4,1.0,4,2
Q6,2,mean_rank,19,8.75,12,19,7,1.75,7,2
Q6,2,median_rank,19,7.0,1,23,22,11.0,18,2
Q6,3,mean_ce,16,1.3858868189983897,1,19,18,8.25,15,3
Q6,3,median_ce,16,1.3487383243110445,6,19,13,6.25,10,3
Q6,3,trimmed_mean_ce,16,1.3487383243110445,6,19,13,6.25,10,3
Q6,3,worst_fold_ce,1,1.388418091668023,1,10,9,2.25,9,2
Q6,3,mean_rank,12,9.25,5,17,12,3.0,7,3
Q6,3,median_rank,17,6.5,17,17,0,0.0,0,1
Q6,4,mean_ce,10,1.29669575062063,10,16,6,1.5,6,2
Q6,4,median_ce,10,1.2769985364543066,12,17,5,4.25,7,3
Q6,4,trimmed_mean_ce,10,1.2769985364543066,12,17,5,4.25,7,3
Q6,4,worst_fold_ce,1,1.3890091710620456,1,16,15,4.75,15,3
Q6,4,mean_rank,10,5.25,10,10,0,0.0,0,1
Q6,4,median_rank,10,4.5,10,17,7,4.0,7,3
Q6,5,mean_ce,12,1.2870785709884431,7,13,6,1.5,5,3
Q6,5,median_ce,12,1.2237572487857606,10,19,9,2.75,7,3
Q6,5,trimmed_mean_ce,12,1.2237572487857606,10,19,9,2.75,7,3
Q6,5,worst_fold_ce,1,1.3906347420480516,1,12,11,2.75,11,2
Q6,5,mean_rank,16,10.25,12,18,6,1.75,4,4
Q6,5,median_rank,12,8.5,6,17,11,4.25,6,3
Q6,6,mean_ce,7,1.347365361948808,1,35,34,8.5,28,3
Q6,6,median_ce,7,1.271024563246303,6,16,10,4.75,9,3
Q6,6,trimmed_mean_ce,7,1.271024563246303,6,16,10,4.75,9,3
Q6,6,worst_fold_ce,1,1.391672948996226,1,7,6,1.5,6,2
Q6,6,mean_rank,15,10.75,7,35,28,7.0,20,3
Q6,6,median_rank,21,10.0,4,24,20,10.0,17,2
Q6,7,mean_ce,6,1.3167528948850102,6,16,10,2.5,10,2
Q6,7,median_ce,16,1.1740065101120207,15,23,8,3.75,7,3
Q6,7,trimmed_mean_ce,16,1.1740065101120207,15,23,8,3.75,7,3
Q6,7,worst_fold_ce,1,1.3903065456284418,1,16,15,3.75,15,2
Q6,7,mean_rank,16,7.0,7,16,9,2.25,9,2
Q6,7,median_rank,16,3.5,16,23,7,1.75,7,2
Q6,8,mean_ce,1,1.3862125989463594,1,23,22,5.5,22,2
Q6,8,median_ce,23,1.2713501221603818,17,26,9,4.5,6,2
Q6,8,trimmed_mean_ce,23,1.2713501221603818,17,26,9,4.5,6,2
Q6,8,worst_fold_ce,1,1.3888289663526747,1,26,25,6.25,25,2
Q6,8,mean_rank,23,10.75,16,26,10,2.75,7,4
Q6,8,median_rank,23,7.0,5,22,17,9.5,18,2
Q6,9,mean_ce,7,1.3325159524877865,7,13,6,1.5,6,2
Q6,9,median_ce,13,1.2091452760828867,9,13,4,2.0,4,2
Q6,9,trimmed_mean_ce,13,1.2091452760828867,9,13,4,2.0,4,2
Q6,9,worst_fold_ce,1,1.388227230972714,1,13,12,3.0,12,2
Q6,9,mean_rank,12,7.5,9,13,4,2.25,3,3
Q6,9,median_rank,12,8.0,13,21,8,4.25,9,3
