subject,seed,class_id,correct,total,recall
1,20260924,1,129,144,0.8958333333333334
1,20260924,2,80,144,0.5555555555555556
1,20260924,3,93,144,0.6458333333333334
1,20260924,4,8,144,0.05555555555555555
1,20260925,1,117,144,0.8125
1,20260925,2,108,144,0.75
1,20260925,3,61,144,0.4236111111111111
1,20260925,4,40,144,0.2777777777777778
1,20260926,1,105,144,0.7291666666666666
1,20260926,2,142,144,0.9861111111111112
1,20260926,3,73,144,0.5069444444444444
1,20260926,4,29,144,0.2013888888888889
2,20260924,1,129,144,0.8958333333333334
2,20260924,2,21,144,0.14583333333333334
2,20260924,3,6,144,0.041666666666666664
2,20260924,4,1,144,0.006944444444444444
2,20260925,1,23,144,0.1597222222222222
2,20260925,2,11,144,0.0763888888888889
2,20260925,3,113,144,0.7847222222222222
2,20260925,4,5,144,0.034722222222222224
2,20260926,1,93,144,0.6458333333333334
2,20260926,2,22,144,0.1527777777777778
2,20260926,3,56,144,0.3888888888888889
2,20260926,4,1,144,0.006944444444444444
3,20260924,1,87,144,0.6041666666666666
3,20260924,2,78,144,0.5416666666666666
3,20260924,3,111,144,0.7708333333333334
3,20260924,4,82,144,0.5694444444444444
3,20260925,1,83,144,0.5763888888888888
3,20260925,2,76,144,0.5277777777777778
3,20260925,3,46,144,0.3194444444444444
3,20260925,4,140,144,0.9722222222222222
3,20260926,1,51,144,0.3541666666666667
3,20260926,2,87,144,0.6041666666666666
3,20260926,3,92,144,0.6388888888888888
3,20260926,4,119,144,0.8263888888888888
4,20260924,1,41,144,0.2847222222222222
4,20260924,2,124,144,0.8611111111111112
4,20260924,3,27,144,0.1875
4,20260924,4,16,144,0.1111111111111111
4,20260925,1,15,144,0.10416666666666667
4,20260925,2,112,144,0.7777777777777778
4,20260925,3,73,144,0.5069444444444444
4,20260925,4,6,144,0.041666666666666664
4,20260926,1,2,144,0.013888888888888888
4,20260926,2,98,144,0.6805555555555556
4,20260926,3,84,144,0.5833333333333334
4,20260926,4,40,144,0.2777777777777778
5,20260924,1,86,144,0.5972222222222222
5,20260924,2,56,144,0.3888888888888889
5,20260924,3,0,144,0.0
5,20260924,4,0,144,0.0
5,20260925,1,64,144,0.4444444444444444
5,20260925,2,82,144,0.5694444444444444
5,20260925,3,0,144,0.0
5,20260925,4,0,144,0.0
5,20260926,1,135,144,0.9375
5,20260926,2,10,144,0.06944444444444445
5,20260926,3,0,144,0.0
5,20260926,4,0,144,0.0
6,20260924,1,5,144,0.034722222222222224
6,20260924,2,24,144,0.16666666666666666
6,20260924,3,62,144,0.4305555555555556
6,20260924,4,62,144,0.4305555555555556
6,20260925,1,9,144,0.0625
6,20260925,2,14,144,0.09722222222222222
6,20260925,3,19,144,0.13194444444444445
6,20260925,4,119,144,0.8263888888888888
6,20260926,1,23,144,0.1597222222222222
6,20260926,2,29,144,0.2013888888888889
6,20260926,3,90,144,0.625
6,20260926,4,37,144,0.2569444444444444
7,20260924,1,85,144,0.5902777777777778
7,20260924,2,69,144,0.4791666666666667
7,20260924,3,2,144,0.013888888888888888
7,20260924,4,7,144,0.04861111111111111
7,20260925,1,55,144,0.3819444444444444
7,20260925,2,67,144,0.4652777777777778
7,20260925,3,10,144,0.06944444444444445
7,20260925,4,48,144,0.3333333333333333
7,20260926,1,77,144,0.5347222222222222
7,20260926,2,61,144,0.4236111111111111
7,20260926,3,6,144,0.041666666666666664
7,20260926,4,37,144,0.2569444444444444
8,20260924,1,94,144,0.6527777777777778
8,20260924,2,131,144,0.9097222222222222
8,20260924,3,47,144,0.3263888888888889
8,20260924,4,79,144,0.5486111111111112
8,20260925,1,78,144,0.5416666666666666
8,20260925,2,128,144,0.8888888888888888
8,20260925,3,78,144,0.5416666666666666
8,20260925,4,86,144,0.5972222222222222
8,20260926,1,97,144,0.6736111111111112
8,20260926,2,121,144,0.8402777777777778
8,20260926,3,92,144,0.6388888888888888
8,20260926,4,100,144,0.6944444444444444
9,20260924,1,80,144,0.5555555555555556
9,20260924,2,78,144,0.5416666666666666
9,20260924,3,59,144,0.4097222222222222
9,20260924,4,93,144,0.6458333333333334
9,20260925,1,80,144,0.5555555555555556
9,20260925,2,50,144,0.3472222222222222
9,20260925,3,43,144,0.2986111111111111
9,20260925,4,129,144,0.8958333333333334
9,20260926,1,59,144,0.4097222222222222
9,20260926,2,58,144,0.4027777777777778
9,20260926,3,30,144,0.20833333333333334
9,20260926,4,140,144,0.9722222222222222
