fold,subject,seed,selected_epochs,checkpoint,sha256
loso_s1,1,20260924,27,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s1/seed_20260924.pt,5c12114996dee9947966e7601eaa1f685691d3c74c6b1ef3797ef69d2e351e0b
loso_s1,1,20260925,27,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s1/seed_20260925.pt,c53647013ca6c0a3518e1f8158c6ba868777ee4ce1f2ffdff38c667ca7e9bf6e
loso_s1,1,20260926,27,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s1/seed_20260926.pt,a3391cc43b7a4c7715a0c02004592791c76a7349997be223b9292d98159bc5f5
loso_s2,2,20260924,13,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s2/seed_20260924.pt,77f991c9f283d9641983d2cc315ef1a697a571d5809b2edb82d13d856f745596
loso_s2,2,20260925,13,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s2/seed_20260925.pt,39800799238ed854d487f9730fd577a872507e35ebb9edda4e63fe14e2ba354d
loso_s2,2,20260926,13,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s2/seed_20260926.pt,e20457017f47a554cfa3e5ed171b09ada202b4a7d473872214735a00bd39e423
loso_s3,3,20260924,10,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s3/seed_20260924.pt,0b7562c6963f7509156a90830e40a6e39140a2e2601365eecc50fb1985fc0697
loso_s3,3,20260925,10,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s3/seed_20260925.pt,5e96a64761d19d0b1025fb7cf9778307e1694dc1725110a1a432e864311619d4
loso_s3,3,20260926,10,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s3/seed_20260926.pt,aa64cd3daa27970ad9fa0303e61c1fee4a4952e519a6662aa4b13b5146bf60c0
loso_s4,4,20260924,10,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s4/seed_20260924.pt,c5a2251196010af13211b5ceabdc4124e35ad9767d9ef48e7ef7dfa232347dd3
loso_s4,4,20260925,10,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s4/seed_20260925.pt,0c98b9158b8a2c7446a95e2e3ddc03ed5f88e407156e61a8dacae0e9682f1de1
loso_s4,4,20260926,10,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s4/seed_20260926.pt,6d3803d0bee18c65f5dbdfcc5ab78ecd6986f455c0e61a354d0b0ed790d4045d
loso_s5,5,20260924,17,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s5/seed_20260924.pt,ae6e6f54d0616bf065972a1db49ff80ad185c78610eddc1b20bc3e1a48942483
loso_s5,5,20260925,17,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s5/seed_20260925.pt,9c4cf4313fa02c210abe0ec88eab57231608d1e27299d4e9848ddf44302d8c02
loso_s5,5,20260926,17,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s5/seed_20260926.pt,d14105a5aac97f3412e1ab29b3f5b679b7e2e63dd29d39ab22524b3ff0439d28
loso_s6,6,20260924,15,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s6/seed_20260924.pt,24ea3363dd64f48a0e6e9af54d2dcfb82b2d82c766fc224a89e6a2578099fed5
loso_s6,6,20260925,15,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s6/seed_20260925.pt,98163c6d587abf228f603262b1dfc59ac20a25d7dde4e4db3a8029d8e070c21a
loso_s6,6,20260926,15,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s6/seed_20260926.pt,9d94db5acbc5e261eaf673c31e20c0ca6bbac836a607996fb8fe3ab6e65c9c7b
loso_s7,7,20260924,16,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s7/seed_20260924.pt,6b318bbe4cc006a7a1cb5680d9e3e11448ed23738bfe44a5984dae4bd04101db
loso_s7,7,20260925,16,/workspace/Q8_MeanRank_Selection/results/Q8-E001/folds/loso_s7/seed_20260925.pt,f96c9d66ad17f2524b603c48554fe5e37cd8e82dc59c750c1bd66fab072dcb72
