fold,subject,seed,stratum,true_label,predicted_label,count,selection_rule,selected_epochs,model
loso_s1,1,20260924,all,1,1,129,mean_rank,27,EEGNet
loso_s1,1,20260924,all,1,2,10,mean_rank,27,EEGNet
loso_s1,1,20260924,all,1,3,4,mean_rank,27,EEGNet
loso_s1,1,20260924,all,1,4,1,mean_rank,27,EEGNet
loso_s1,1,20260924,all,2,1,60,mean_rank,27,EEGNet
loso_s1,1,20260924,all,2,2,80,mean_rank,27,EEGNet
loso_s1,1,20260924,all,2,3,4,mean_rank,27,EEGNet
loso_s1,1,20260924,all,2,4,0,mean_rank,27,EEGNet
loso_s1,1,20260924,all,3,1,36,mean_rank,27,EEGNet
loso_s1,1,20260924,all,3,2,8,mean_rank,27,EEGNet
loso_s1,1,20260924,all,3,3,93,mean_rank,27,EEGNet
loso_s1,1,20260924,all,3,4,7,mean_rank,27,EEGNet
loso_s1,1,20260924,all,4,1,43,mean_rank,27,EEGNet
loso_s1,1,20260924,all,4,2,3,mean_rank,27,EEGNet
loso_s1,1,20260924,all,4,3,90,mean_rank,27,EEGNet
loso_s1,1,20260924,all,4,4,8,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,1,1,126,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,1,2,10,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,1,3,3,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,1,4,1,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,2,1,57,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,2,2,79,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,2,3,3,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,2,4,0,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,3,1,33,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,3,2,8,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,3,3,89,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,3,4,7,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,4,1,40,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,4,2,3,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,4,3,88,mean_rank,27,EEGNet
loso_s1,1,20260924,unflagged,4,4,7,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,1,1,3,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,1,2,0,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,1,3,1,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,1,4,0,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,2,1,3,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,2,2,1,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,2,3,1,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,2,4,0,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,3,1,3,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,3,2,0,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,3,3,4,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,3,4,0,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,4,1,3,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,4,2,0,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,4,3,2,mean_rank,27,EEGNet
loso_s1,1,20260924,flagged,4,4,1,mean_rank,27,EEGNet
loso_s1,1,20260925,all,1,1,117,mean_rank,27,EEGNet
loso_s1,1,20260925,all,1,2,21,mean_rank,27,EEGNet
loso_s1,1,20260925,all,1,3,2,mean_rank,27,EEGNet
loso_s1,1,20260925,all,1,4,4,mean_rank,27,EEGNet
loso_s1,1,20260925,all,2,1,32,mean_rank,27,EEGNet
loso_s1,1,20260925,all,2,2,108,mean_rank,27,EEGNet
loso_s1,1,20260925,all,2,3,3,mean_rank,27,EEGNet
loso_s1,1,20260925,all,2,4,1,mean_rank,27,EEGNet
loso_s1,1,20260925,all,3,1,38,mean_rank,27,EEGNet
loso_s1,1,20260925,all,3,2,8,mean_rank,27,EEGNet
loso_s1,1,20260925,all,3,3,61,mean_rank,27,EEGNet
loso_s1,1,20260925,all,3,4,37,mean_rank,27,EEGNet
loso_s1,1,20260925,all,4,1,41,mean_rank,27,EEGNet
loso_s1,1,20260925,all,4,2,2,mean_rank,27,EEGNet
loso_s1,1,20260925,all,4,3,61,mean_rank,27,EEGNet
loso_s1,1,20260925,all,4,4,40,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,1,1,114,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,1,2,21,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,1,3,1,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,1,4,4,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,2,1,30,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,2,2,106,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,2,3,3,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,2,4,0,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,3,1,35,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,3,2,7,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,3,3,60,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,3,4,35,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,4,1,38,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,4,2,2,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,4,3,60,mean_rank,27,EEGNet
loso_s1,1,20260925,unflagged,4,4,38,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,1,1,3,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,1,2,0,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,1,3,1,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,1,4,0,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,2,1,2,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,2,2,2,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,2,3,0,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,2,4,1,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,3,1,3,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,3,2,1,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,3,3,1,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,3,4,2,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,4,1,3,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,4,2,0,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,4,3,1,mean_rank,27,EEGNet
loso_s1,1,20260925,flagged,4,4,2,mean_rank,27,EEGNet
loso_s1,1,20260926,all,1,1,105,mean_rank,27,EEGNet
loso_s1,1,20260926,all,1,2,36,mean_rank,27,EEGNet
loso_s1,1,20260926,all,1,3,3,mean_rank,27,EEGNet
loso_s1,1,20260926,all,1,4,0,mean_rank,27,EEGNet
loso_s1,1,20260926,all,2,1,2,mean_rank,27,EEGNet
loso_s1,1,20260926,all,2,2,142,mean_rank,27,EEGNet
loso_s1,1,20260926,all,2,3,0,mean_rank,27,EEGNet
