fold,subject,stage,inner_fold,seed,selected_epochs,selection_rule,epoch,train_ce,val_ce
loso_s1,1,full,,20260924,27,mean_rank,1,1.3805016179879506,
loso_s1,1,full,,20260924,27,mean_rank,2,1.3510885106192694,
loso_s1,1,full,,20260924,27,mean_rank,3,1.3089900099568896,
loso_s1,1,full,,20260924,27,mean_rank,4,1.2512631664673488,
loso_s1,1,full,,20260924,27,mean_rank,5,1.2042457825607724,
loso_s1,1,full,,20260924,27,mean_rank,6,1.1797719879282846,
loso_s1,1,full,,20260924,27,mean_rank,7,1.1523049175739288,
loso_s1,1,full,,20260924,27,mean_rank,8,1.144212432205677,
loso_s1,1,full,,20260924,27,mean_rank,9,1.12232113795148,
loso_s1,1,full,,20260924,27,mean_rank,10,1.1198777912391558,
loso_s1,1,full,,20260924,27,mean_rank,11,1.099584667219056,
loso_s1,1,full,,20260924,27,mean_rank,12,1.092525963154104,
loso_s1,1,full,,20260924,27,mean_rank,13,1.078984125620789,
loso_s1,1,full,,20260924,27,mean_rank,14,1.0839325280653105,
loso_s1,1,full,,20260924,27,mean_rank,15,1.0815728786918852,
loso_s1,1,full,,20260924,27,mean_rank,16,1.076413717534807,
loso_s1,1,full,,20260924,27,mean_rank,17,1.0678312737080786,
loso_s1,1,full,,20260924,27,mean_rank,18,1.0601917861236467,
loso_s1,1,full,,20260924,27,mean_rank,19,1.0464919929703076,
loso_s1,1,full,,20260924,27,mean_rank,20,1.0338582206103537,
loso_s1,1,full,,20260924,27,mean_rank,21,1.0479861655169065,
loso_s1,1,full,,20260924,27,mean_rank,22,1.0401611030101776,
loso_s1,1,full,,20260924,27,mean_rank,23,1.045762951175372,
loso_s1,1,full,,20260924,27,mean_rank,24,1.0351937330431409,
loso_s1,1,full,,20260924,27,mean_rank,25,1.0195339620113373,
loso_s1,1,full,,20260924,27,mean_rank,26,1.0134643101029923,
loso_s1,1,full,,20260924,27,mean_rank,27,1.0159351378679276,
