fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,35.0,1.0,3.0,25.0,16.0,False
loso_s1,1,2,36.0,2.0,5.0,22.0,16.25,False
loso_s1,1,3,37.0,3.0,6.0,18.0,16.0,False
loso_s1,1,4,39.0,4.0,1.0,16.0,15.0,False
loso_s1,1,5,38.0,13.0,4.0,14.0,17.25,False
loso_s1,1,6,33.0,12.0,2.0,6.0,13.25,False
loso_s1,1,7,28.0,21.0,7.0,4.0,15.0,False
loso_s1,1,8,20.0,37.0,11.0,11.0,19.75,False
loso_s1,1,9,26.0,25.0,8.0,5.0,16.0,False
loso_s1,1,10,14.0,20.0,12.0,40.0,21.5,False
loso_s1,1,11,19.0,34.0,17.0,20.0,22.5,False
loso_s1,1,12,3.0,11.0,19.0,23.0,14.0,False
loso_s1,1,13,18.0,16.0,14.0,19.0,16.75,False
loso_s1,1,14,27.0,28.0,22.0,37.0,28.5,False
loso_s1,1,15,21.0,5.0,16.0,35.0,19.25,False
loso_s1,1,16,22.0,15.0,9.0,34.0,20.0,False
loso_s1,1,17,10.0,7.0,28.0,15.0,15.0,False
loso_s1,1,18,11.0,31.0,13.0,8.0,15.75,False
loso_s1,1,19,15.0,6.0,10.0,38.0,17.25,False
loso_s1,1,20,40.0,30.0,25.0,39.0,33.5,False
loso_s1,1,21,13.0,18.0,29.0,24.0,21.0,False
loso_s1,1,22,32.0,22.0,15.0,12.0,20.25,False
loso_s1,1,23,16.0,26.0,18.0,17.0,19.25,False
loso_s1,1,24,2.0,35.0,21.0,27.0,21.25,False
loso_s1,1,25,5.0,36.0,26.0,30.0,24.25,False
loso_s1,1,26,30.0,19.0,20.0,2.0,17.75,False
loso_s1,1,27,8.0,10.0,24.0,1.0,10.75,True
loso_s1,1,28,6.0,32.0,23.0,26.0,21.75,False
loso_s1,1,29,23.0,29.0,27.0,13.0,23.0,False
