fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,selection_rule,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5381944444444444,0.5381944444444444,0.4836246743299551,0.5650833715668199,0.5381944444444444,0.3842592592592593,mean_rank,27
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5421762494796292,0.5433212996389891,0.4863011926115697,0.5587982411202186,0.5421762494796292,0.390692720672941,mean_rank,27
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.4220238095238095,0.4090909090909091,0.381845238095238,0.6875,0.4220238095238095,0.2249322493224932,mean_rank,27
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5659722222222222,0.5659722222222222,0.5491124860466792,0.5645640376704327,0.5659722222222222,0.4212962962962963,mean_rank,27
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.5725485413908524,0.5740072202166066,0.5557057600323791,0.5705337120185318,0.5725485413908524,0.4315923101670303,mean_rank,27
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.406547619047619,0.3636363636363636,0.3659090909090909,0.4181818181818182,0.406547619047619,0.1764705882352941,mean_rank,27
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.6059027777777778,0.6059027777777778,0.5673682194178891,0.6237026983666963,0.6059027777777778,0.4745370370370371,mean_rank,27
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.6088061599503097,0.6101083032490975,0.5707803071527743,0.6248765647503524,0.6088061599503097,0.4797669767846274,mean_rank,27
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.5363095238095238,0.5,0.4784798534798534,0.6261904761904762,0.5363095238095238,0.3494623655913978,mean_rank,27
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.2725694444444445,0.2725694444444444,0.1754739807574582,0.2892081189251,0.2725694444444445,0.0300925925925925,mean_rank,13
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2695853462157809,0.2694394213381555,0.1718053867085984,0.2802088700772911,0.2695853462157809,0.0263108577505239,mean_rank,13
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.3402777777777778,0.3478260869565217,0.2608391608391608,0.45,0.3402777777777778,0.1085271317829457,mean_rank,13
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.2638888888888889,0.2638888888888889,0.194513872213338,0.3383237827980317,0.2638888888888889,0.0185185185185184,mean_rank,13
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.2611111111111111,0.2567811934900542,0.1898723100115796,0.3284072698135198,0.2611111111111111,0.0150718708967285,mean_rank,13
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.3472222222222222,0.4347826086956521,0.3148148148148147,0.3611111111111111,0.3472222222222222,0.12316715542522,mean_rank,13
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.2986111111111111,0.2986111111111111,0.2406335868567787,0.3474928782497455,0.2986111111111111,0.0648148148148147,mean_rank,13
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2932165861513687,0.2911392405063291,0.2343777554059835,0.3400326797385621,0.2932165861513687,0.0568846774649665,mean_rank,13
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.4444444444444445,0.4782608695652174,0.3994360902255639,0.4056776556776557,0.4444444444444445,0.2659574468085107,mean_rank,13
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.6215277777777777,0.6215277777777778,0.6289731735003485,0.681319762639756,0.6215277777777777,0.4953703703703703,mean_rank,10
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.6269576474688224,0.6261510128913443,0.6326999740765564,0.68294382069908,0.6269576474688224,0.5021341174238831,mean_rank,10
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.5499999999999999,0.5454545454545454,0.5772257834757835,0.6600840336134454,0.5499999999999999,0.375,mean_rank,10
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.5989583333333333,0.5989583333333334,0.589772215838833,0.7060481024099136,0.5989583333333333,0.4652777777777778,mean_rank,10
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.6003375156753883,0.6003683241252302,0.5915871751780367,0.7048651836213412,0.6003375156753883,0.4673799547075654,mean_rank,10
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.5916666666666666,0.5757575757575758,0.5718390804597702,0.7553571428571428,0.5916666666666666,0.4289245982694685,mean_rank,10
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.6059027777777777,0.6059027777777778,0.6029473267889349,0.697797135375682,0.6059027777777777,0.4745370370370371,mean_rank,10
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.6137926982026497,0.6132596685082873,0.6104963108007068,0.7014367435192834,0.6137926982026497,0.4848546452531003,mean_rank,10
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.4729166666666666,0.4848484848484848,0.4609903381642511,0.6528846153846154,0.4729166666666666,0.2916666666666666,mean_rank,10
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3611111111111111,0.3611111111111111,0.3107494449065087,0.3753741906427481,0.3611111111111111,0.1481481481481481,mean_rank,10
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.3692876110721548,0.3714285714285714,0.3234735437300038,0.3867539944530747,0.3692876110721548,0.1598986890812435,mean_rank,10
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.3201449275362319,0.3023255813953488,0.2389182168593933,0.3209134615384615,0.3201449275362319,0.0867256637168141,mean_rank,10
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.3576388888888889,0.3576388888888889,0.2860416832175012,0.3661098987185944,0.3576388888888889,0.1435185185185185,mean_rank,10
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.3580949219641647,0.363265306122449,0.2935634244847014,0.3805034752179976,0.3580949219641647,0.1467131040487593,mean_rank,10
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.3636473429951691,0.3255813953488372,0.2466707021791767,0.2196372732958099,0.3636473429951691,0.1307075636110143,mean_rank,10
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.3888888888888888,0.3888888888888889,0.3310431674836284,0.3819476638506359,0.3888888888888888,0.1851851851851852,mean_rank,10
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.3919744650726193,0.3959183673469387,0.3373474815782508,0.4001596906655851,0.3919744650726193,0.1914191419141915,mean_rank,10
loso_s4,4,20260926,EEGNet,flagged,4608,86,4,0.3816666666666666,0.3488372093023256,0.2973119384305008,0.3019652305366591,0.3816666666666666,0.158924205378973,mean_rank,10
loso_s5,5,20260924,EEGNet,all,4608,576,4,0.2465277777777778,0.2465277777777778,0.1633526107529262,0.125254820489515,0.2465277777777778,-0.0046296296296295,mean_rank,17
loso_s5,5,20260924,EEGNet,unflagged,4608,538,4,0.2439447856281926,0.2397769516728624,0.1600223834516826,0.1219055629158789,0.2439447856281926,-0.00805372817064,mean_rank,17
loso_s5,5,20260924,EEGNet,flagged,4608,38,4,0.2779720279720279,0.3421052631578947,0.2068783068783068,0.1726190476190476,0.2779720279720279,0.0480961923847695,mean_rank,17
loso_s5,5,20260925,EEGNet,all,4608,576,4,0.2534722222222222,0.2534722222222222,0.1684149184149184,0.1267636684303351,0.2534722222222222,0.0046296296296296,mean_rank,17
loso_s5,5,20260925,EEGNet,unflagged,4608,538,4,0.2502439304367789,0.2453531598513011,0.1640411323281824,0.122698956111797,0.2502439304367789,0.0003020677913352,mean_rank,17
loso_s5,5,20260925,EEGNet,flagged,4608,38,4,0.2902097902097902,0.3684210526315789,0.2253968253968253,0.1846590909090909,0.2902097902097902,0.0712830957230142,mean_rank,17
loso_s5,5,20260926,EEGNet,all,4608,576,4,0.2517361111111111,0.2517361111111111,0.1264425469395493,0.1214603603996684,0.2517361111111111,0.0023148148148147,mean_rank,17
loso_s5,5,20260926,EEGNet,unflagged,4608,538,4,0.2502582792860012,0.2472118959107806,0.1245725248144132,0.1184989959839357,0.2502582792860012,0.0003670229848143,mean_rank,17
loso_s5,5,20260926,EEGNet,flagged,4608,38,4,0.2692307692307692,0.3157894736842105,0.1508152173913043,0.1619047619047618,0.2692307692307692,0.0313725490196078,mean_rank,17
loso_s6,6,20260924,EEGNet,all,4608,576,4,0.265625,0.265625,0.2333499842555392,0.3620237029341607,0.265625,0.0208333333333333,mean_rank,15
loso_s6,6,20260924,EEGNet,unflagged,4608,434,4,0.2838039298814662,0.2811059907834101,0.2487245242932968,0.4625868124977543,0.2838039298814662,0.0466977844425202,mean_rank,15
loso_s6,6,20260924,EEGNet,flagged,4608,142,4,0.2107386247181799,0.2183098591549295,0.1867729159838304,0.2161495271867612,0.2107386247181799,-0.0604857700329677,mean_rank,15
loso_s6,6,20260925,EEGNet,all,4608,576,4,0.2795138888888888,0.2795138888888889,0.2116764194614259,0.3680790043290043,0.2795138888888888,0.0393518518518518,mean_rank,15
loso_s6,6,20260925,EEGNet,unflagged,4608,434,4,0.2877216074653057,0.2903225806451613,0.2155818443931334,0.4311889389902302,0.2877216074653057,0.0528650280232121,mean_rank,15
loso_s6,6,20260925,EEGNet,flagged,4608,142,4,0.2478088491494158,0.2464788732394366,0.1940608968064462,0.272373588610702,0.2478088491494158,-0.0036992997753997,mean_rank,15
loso_s6,6,20260926,EEGNet,all,4608,576,4,0.3107638888888889,0.3107638888888889,0.2955240629905808,0.4240557605812478,0.3107638888888889,0.0810185185185184,mean_rank,15
loso_s6,6,20260926,EEGNet,unflagged,4608,434,4,0.318100128805905,0.3133640552995391,0.3050549507488306,0.4783740942028985,0.318100128805905,0.092362431838757,mean_rank,15
loso_s6,6,20260926,EEGNet,flagged,4608,142,4,0.282189293400287,0.3028169014084507,0.2577003405950774,0.3090030493802872,0.282189293400287,0.0437385211890346,mean_rank,15
loso_s7,7,20260924,EEGNet,all,4608,576,4,0.2829861111111111,0.2829861111111111,0.2100912574085504,0.4785580404685836,0.2829861111111111,0.0439814814814815,mean_rank,16
loso_s7,7,20260924,EEGNet,unflagged,4608,548,4,0.2798165191532377,0.2791970802919708,0.2039810246128895,0.4588195891285169,0.2798165191532377,0.0396457789845428,mean_rank,16
loso_s7,7,20260924,EEGNet,flagged,4608,28,4,0.3353174603174603,0.3571428571428571,0.3031400966183575,0.4017857142857143,0.3353174603174603,0.1188811188811189,mean_rank,16
loso_s7,7,20260925,EEGNet,all,4608,576,4,0.3125,0.3125,0.2978311054110749,0.3551199646350299,0.3125,0.0833333333333333,mean_rank,16
loso_s7,7,20260925,EEGNet,unflagged,4608,548,4,0.307412402882095,0.3065693430656934,0.2930260141553324,0.3584647165849212,0.307412402882095,0.0763935705922009,mean_rank,16
loso_s7,7,20260925,EEGNet,flagged,4608,28,4,0.4007936507936508,0.4285714285714285,0.364752024291498,0.3353174603174603,0.4007936507936508,0.2235701906412477,mean_rank,16
loso_s7,7,20260926,EEGNet,all,4608,576,4,0.314236111111111,0.3142361111111111,0.2813081149619611,0.4153525575222536,0.314236111111111,0.0856481481481481,mean_rank,16
loso_s7,7,20260926,EEGNet,unflagged,4608,548,4,0.307038623834879,0.3065693430656934,0.2743602486441717,0.4095014564472616,0.307038623834879,0.0757376699925432,mean_rank,16
loso_s7,7,20260926,EEGNet,flagged,4608,28,4,0.4484126984126984,0.4642857142857143,0.3928571428571428,0.365079365079365,0.4484126984126984,0.2783505154639175,mean_rank,16
loso_s8,8,20260924,EEGNet,all,4608,576,4,0.609375,0.609375,0.6014493621494321,0.6694800069307869,0.609375,0.4791666666666666,mean_rank,23
loso_s8,8,20260924,EEGNet,unflagged,4608,535,4,0.6148664296826349,0.6149532710280374,0.6064782786144216,0.6744650513510182,0.6148664296826349,0.4862986562009127,mean_rank,23
loso_s8,8,20260924,EEGNet,flagged,4608,41,4,0.5471590909090909,0.5365853658536586,0.536557740505109,0.6198145604395605,0.5471590909090909,0.3904538341158059,mean_rank,23
loso_s8,8,20260925,EEGNet,all,4608,576,4,0.642361111111111,0.6423611111111112,0.6395793977895422,0.6792032141323683,0.642361111111111,0.5231481481481481,mean_rank,23
loso_s8,8,20260925,EEGNet,unflagged,4608,535,4,0.6445079058189012,0.6448598130841121,0.6423581958674843,0.680047931763285,0.6445079058189012,0.5262375383927032,mean_rank,23
loso_s8,8,20260925,EEGNet,flagged,4608,41,4,0.6217803030303031,0.6097560975609756,0.603641456582633,0.6712418300653595,0.6217803030303031,0.483057525610717,mean_rank,23
loso_s8,8,20260926,EEGNet,all,4608,576,4,0.7118055555555556,0.7118055555555556,0.7124993794376466,0.7239708376673974,0.7118055555555556,0.6157407407407407,mean_rank,23
loso_s8,8,20260926,EEGNet,unflagged,4608,535,4,0.7176036057499484,0.7177570093457943,0.7183131858426488,0.7286009307080961,0.7176036057499484,0.6235765008480421,mean_rank,23
loso_s8,8,20260926,EEGNet,flagged,4608,41,4,0.6465909090909091,0.6341463414634146,0.6352813852813852,0.6835664335664335,0.6465909090909091,0.5172684458398744,mean_rank,23
