subject,seed,balanced_accuracy,macro_f1,cohen_kappa
1,20260924,0.5381944444444444,0.4836246743299551,0.3842592592592593
1,20260925,0.5659722222222222,0.5491124860466792,0.4212962962962963
1,20260926,0.6059027777777778,0.5673682194178891,0.4745370370370371
2,20260924,0.2725694444444445,0.1754739807574582,0.0300925925925925
2,20260925,0.2638888888888889,0.194513872213338,0.0185185185185184
2,20260926,0.2986111111111111,0.2406335868567787,0.0648148148148147
3,20260924,0.6215277777777777,0.6289731735003485,0.4953703703703703
3,20260925,0.5989583333333333,0.589772215838833,0.4652777777777778
3,20260926,0.6059027777777777,0.6029473267889349,0.4745370370370371
4,20260924,0.3611111111111111,0.3107494449065087,0.1481481481481481
4,20260925,0.3576388888888889,0.2860416832175012,0.1435185185185185
4,20260926,0.3888888888888888,0.3310431674836284,0.1851851851851852
5,20260924,0.2465277777777778,0.1633526107529262,-0.0046296296296295
5,20260925,0.2534722222222222,0.1684149184149184,0.0046296296296296
5,20260926,0.2517361111111111,0.1264425469395493,0.0023148148148147
6,20260924,0.265625,0.2333499842555392,0.0208333333333333
6,20260925,0.2795138888888888,0.2116764194614259,0.0393518518518518
6,20260926,0.3107638888888889,0.2955240629905808,0.0810185185185184
7,20260924,0.2829861111111111,0.2100912574085504,0.0439814814814815
7,20260925,0.3125,0.2978311054110749,0.0833333333333333
7,20260926,0.314236111111111,0.2813081149619611,0.0856481481481481
8,20260924,0.609375,0.6014493621494321,0.4791666666666666
8,20260925,0.642361111111111,0.6395793977895422,0.5231481481481481
8,20260926,0.7118055555555556,0.7124993794376466,0.6157407407407407
9,20260924,0.5381944444444445,0.5372289855659534,0.3842592592592593
9,20260925,0.5243055555555556,0.5083428025657414,0.3657407407407407
9,20260926,0.4982638888888888,0.4726313514792127,0.3310185185185185
