condition,subject,true_class,predicted_class,count
BROAD_LOGE_MDM,1,1,1,141
BROAD_LOGE_MDM,1,1,2,1
BROAD_LOGE_MDM,1,1,3,1
BROAD_LOGE_MDM,1,1,4,1
BROAD_LOGE_MDM,1,2,1,132
BROAD_LOGE_MDM,1,2,2,11
BROAD_LOGE_MDM,1,2,3,1
BROAD_LOGE_MDM,1,2,4,0
BROAD_LOGE_MDM,1,3,1,70
BROAD_LOGE_MDM,1,3,2,30
BROAD_LOGE_MDM,1,3,3,36
BROAD_LOGE_MDM,1,3,4,8
BROAD_LOGE_MDM,1,4,1,51
BROAD_LOGE_MDM,1,4,2,31
BROAD_LOGE_MDM,1,4,3,49
BROAD_LOGE_MDM,1,4,4,13
BROAD_LOGE_MDM,2,1,1,109
BROAD_LOGE_MDM,2,1,2,13
BROAD_LOGE_MDM,2,1,3,6
BROAD_LOGE_MDM,2,1,4,16
BROAD_LOGE_MDM,2,2,1,113
BROAD_LOGE_MDM,2,2,2,15
BROAD_LOGE_MDM,2,2,3,5
BROAD_LOGE_MDM,2,2,4,11
BROAD_LOGE_MDM,2,3,1,114
BROAD_LOGE_MDM,2,3,2,8
BROAD_LOGE_MDM,2,3,3,11
BROAD_LOGE_MDM,2,3,4,11
BROAD_LOGE_MDM,2,4,1,124
BROAD_LOGE_MDM,2,4,2,5
BROAD_LOGE_MDM,2,4,3,4
BROAD_LOGE_MDM,2,4,4,11
BROAD_LOGE_MDM,3,1,1,96
BROAD_LOGE_MDM,3,1,2,1
BROAD_LOGE_MDM,3,1,3,11
BROAD_LOGE_MDM,3,1,4,36
BROAD_LOGE_MDM,3,2,1,52
BROAD_LOGE_MDM,3,2,2,44
BROAD_LOGE_MDM,3,2,3,1
BROAD_LOGE_MDM,3,2,4,47
BROAD_LOGE_MDM,3,3,1,29
BROAD_LOGE_MDM,3,3,2,2
BROAD_LOGE_MDM,3,3,3,28
BROAD_LOGE_MDM,3,3,4,85
BROAD_LOGE_MDM,3,4,1,4
BROAD_LOGE_MDM,3,4,2,2
BROAD_LOGE_MDM,3,4,3,11
BROAD_LOGE_MDM,3,4,4,127
BROAD_LOGE_MDM,4,1,1,144
BROAD_LOGE_MDM,4,1,2,0
BROAD_LOGE_MDM,4,1,3,0
BROAD_LOGE_MDM,4,1,4,0
BROAD_LOGE_MDM,4,2,1,142
BROAD_LOGE_MDM,4,2,2,2
BROAD_LOGE_MDM,4,2,3,0
BROAD_LOGE_MDM,4,2,4,0
BROAD_LOGE_MDM,4,3,1,128
BROAD_LOGE_MDM,4,3,2,15
BROAD_LOGE_MDM,4,3,3,0
BROAD_LOGE_MDM,4,3,4,1
BROAD_LOGE_MDM,4,4,1,121
BROAD_LOGE_MDM,4,4,2,21
BROAD_LOGE_MDM,4,4,3,0
BROAD_LOGE_MDM,4,4,4,2
BROAD_LOGE_MDM,5,1,1,144
BROAD_LOGE_MDM,5,1,2,0
BROAD_LOGE_MDM,5,1,3,0
BROAD_LOGE_MDM,5,1,4,0
BROAD_LOGE_MDM,5,2,1,144
BROAD_LOGE_MDM,5,2,2,0
BROAD_LOGE_MDM,5,2,3,0
BROAD_LOGE_MDM,5,2,4,0
BROAD_LOGE_MDM,5,3,1,144
BROAD_LOGE_MDM,5,3,2,0
BROAD_LOGE_MDM,5,3,3,0
BROAD_LOGE_MDM,5,3,4,0
BROAD_LOGE_MDM,5,4,1,144
BROAD_LOGE_MDM,5,4,2,0
BROAD_LOGE_MDM,5,4,3,0
BROAD_LOGE_MDM,5,4,4,0
BROAD_LOGE_MDM,6,1,1,0
BROAD_LOGE_MDM,6,1,2,0
BROAD_LOGE_MDM,6,1,3,2
BROAD_LOGE_MDM,6,1,4,142
BROAD_LOGE_MDM,6,2,1,0
BROAD_LOGE_MDM,6,2,2,0
BROAD_LOGE_MDM,6,2,3,2
BROAD_LOGE_MDM,6,2,4,142
BROAD_LOGE_MDM,6,3,1,0
BROAD_LOGE_MDM,6,3,2,0
BROAD_LOGE_MDM,6,3,3,0
BROAD_LOGE_MDM,6,3,4,144
BROAD_LOGE_MDM,6,4,1,0
BROAD_LOGE_MDM,6,4,2,0
BROAD_LOGE_MDM,6,4,3,0
BROAD_LOGE_MDM,6,4,4,144
BROAD_LOGE_MDM,7,1,1,140
BROAD_LOGE_MDM,7,1,2,3
BROAD_LOGE_MDM,7,1,3,0
BROAD_LOGE_MDM,7,1,4,1
BROAD_LOGE_MDM,7,2,1,140
BROAD_LOGE_MDM,7,2,2,3
BROAD_LOGE_MDM,7,2,3,0
BROAD_LOGE_MDM,7,2,4,1
BROAD_LOGE_MDM,7,3,1,129
BROAD_LOGE_MDM,7,3,2,8
BROAD_LOGE_MDM,7,3,3,5
BROAD_LOGE_MDM,7,3,4,2
BROAD_LOGE_MDM,7,4,1,112
BROAD_LOGE_MDM,7,4,2,13
BROAD_LOGE_MDM,7,4,3,10
BROAD_LOGE_MDM,7,4,4,9
BROAD_LOGE_MDM,8,1,1,1
BROAD_LOGE_MDM,8,1,2,1
BROAD_LOGE_MDM,8,1,3,1
BROAD_LOGE_MDM,8,1,4,141
BROAD_LOGE_MDM,8,2,1,0
BROAD_LOGE_MDM,8,2,2,0
BROAD_LOGE_MDM,8,2,3,0
BROAD_LOGE_MDM,8,2,4,144
BROAD_LOGE_MDM,8,3,1,0
BROAD_LOGE_MDM,8,3,2,0
BROAD_LOGE_MDM,8,3,3,5
BROAD_LOGE_MDM,8,3,4,139
BROAD_LOGE_MDM,8,4,1,0
BROAD_LOGE_MDM,8,4,2,0
BROAD_LOGE_MDM,8,4,3,0
BROAD_LOGE_MDM,8,4,4,144
BROAD_LOGE_MDM,9,1,1,0
BROAD_LOGE_MDM,9,1,2,0
BROAD_LOGE_MDM,9,1,3,1
BROAD_LOGE_MDM,9,1,4,143
BROAD_LOGE_MDM,9,2,1,0
BROAD_LOGE_MDM,9,2,2,0
BROAD_LOGE_MDM,9,2,3,0
BROAD_LOGE_MDM,9,2,4,144
BROAD_LOGE_MDM,9,3,1,0
BROAD_LOGE_MDM,9,3,2,0
BROAD_LOGE_MDM,9,3,3,0
BROAD_LOGE_MDM,9,3,4,144
BROAD_LOGE_MDM,9,4,1,0
BROAD_LOGE_MDM,9,4,2,0
BROAD_LOGE_MDM,9,4,3,0
BROAD_LOGE_MDM,9,4,4,144
BROAD_LOGE_LOGREG,1,1,1,101
BROAD_LOGE_LOGREG,1,1,2,43
BROAD_LOGE_LOGREG,1,1,3,0
