fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s9,9,20260924,all,1,1,98,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,1,2,30,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,1,3,13,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,1,4,3,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,2,1,11,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,2,2,52,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,2,3,70,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,2,4,11,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,3,1,4,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,3,2,11,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,3,3,127,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,3,4,2,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,4,1,10,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,4,2,3,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,4,3,65,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,all,4,4,66,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,1,1,83,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,1,2,22,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,1,3,10,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,1,4,3,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,2,1,10,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,2,2,45,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,2,3,62,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,2,4,11,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,3,1,4,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,3,2,11,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,3,3,114,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,3,4,1,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,4,1,9,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,4,2,2,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,4,3,58,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,unflagged,4,4,56,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,1,1,15,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,1,2,8,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,1,3,3,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,1,4,0,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,2,1,1,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,2,2,7,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,2,3,8,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,2,4,0,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,3,1,0,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,3,2,0,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,3,3,13,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,3,4,1,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,4,1,1,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,4,2,1,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,4,3,7,MU_BETA_CSP8_EEGNET
loso_s9,9,20260924,flagged,4,4,10,MU_BETA_CSP8_EEGNET
