fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,38.0,1.0,3.0,16.0,14.5,False
loso_s1,1,2,40.0,2.0,2.0,12.0,14.0,False
loso_s1,1,3,39.0,3.0,1.0,5.0,12.0,False
loso_s1,1,4,37.0,4.0,4.0,4.0,12.25,False
loso_s1,1,5,36.0,5.0,5.0,3.0,12.25,False
loso_s1,1,6,35.0,9.0,6.0,29.0,19.75,False
loso_s1,1,7,34.0,22.0,7.0,31.0,23.5,False
loso_s1,1,8,19.0,26.0,8.0,1.0,13.5,False
loso_s1,1,9,4.0,14.0,9.0,8.0,8.75,True
loso_s1,1,10,7.0,7.0,10.0,38.0,15.5,False
loso_s1,1,11,2.0,28.0,14.0,40.0,21.0,False
loso_s1,1,12,1.0,25.0,16.0,2.0,11.0,False
loso_s1,1,13,10.0,20.0,15.0,23.0,17.0,False
loso_s1,1,14,8.0,13.0,21.0,17.0,14.75,False
loso_s1,1,15,3.0,21.0,23.0,7.0,13.5,False
loso_s1,1,16,6.0,23.0,17.0,6.0,13.0,False
loso_s1,1,17,5.0,12.0,18.0,28.0,15.75,False
loso_s1,1,18,25.0,34.0,13.0,11.0,20.75,False
loso_s1,1,19,16.0,6.0,11.0,14.0,11.75,False
loso_s1,1,20,17.0,15.0,12.0,10.0,13.5,False
loso_s1,1,21,13.0,10.0,19.0,22.0,16.0,False
loso_s1,1,22,18.0,18.0,20.0,9.0,16.25,False
loso_s1,1,23,12.0,31.0,26.0,35.0,26.0,False
loso_s1,1,24,14.0,36.0,27.0,15.0,23.0,False
loso_s1,1,25,11.0,37.0,29.0,26.0,25.75,False
loso_s1,1,26,9.0,8.0,24.0,19.0,15.0,False
loso_s1,1,27,20.0,11.0,25.0,34.0,22.5,False
loso_s1,1,28,15.0,32.0,28.0,24.0,24.75,False
loso_s1,1,29,26.0,16.0,22.0,32.0,24.0,False
loso_s1,1,30,28.0,27.0,31.0,36.0,30.5,False
loso_s1,1,31,32.0,29.0,33.0,33.0,31.75,False
loso_s1,1,32,22.0,30.0,40.0,39.0,32.75,False
loso_s1,1,33,30.0,17.0,35.0,18.0,25.0,False
loso_s1,1,34,29.0,19.0,30.0,37.0,28.75,False
loso_s1,1,35,27.0,24.0,38.0,21.0,27.5,False
loso_s1,1,36,31.0,35.0,32.0,27.0,31.25,False
loso_s1,1,37,21.0,33.0,37.0,30.0,30.25,False
loso_s1,1,38,24.0,38.0,34.0,20.0,29.0,False
loso_s1,1,39,23.0,39.0,36.0,25.0,30.75,False
loso_s1,1,40,33.0,40.0,39.0,13.0,31.25,False
loso_s2,2,1,39.0,1.0,1.0,4.0,11.25,True
loso_s2,2,2,40.0,2.0,2.0,3.0,11.75,False
