fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5503472222222222,0.5503472222222222,0.4869794417455871,0.6012896152127873,0.5503472222222222,0.4004629629629629,MU_BETA_CSP8_EEGNET,9
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5558416502958489,0.5577617328519856,0.4940864118126902,0.6205567098575573,0.5558416502958489,0.4097104436848194,MU_BETA_CSP8_EEGNET,9
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.4232142857142857,0.3636363636363636,0.3133116883116883,0.2673611111111111,0.4232142857142857,0.1742627345844503,MU_BETA_CSP8_EEGNET,9
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5243055555555556,0.5243055555555556,0.4710663818583073,0.5755804915327126,0.5243055555555556,0.3657407407407407,MU_BETA_CSP8_EEGNET,9
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.5292187241275574,0.5306859205776173,0.4770212630506747,0.5917231168589865,0.5292187241275574,0.3736792214907514,MU_BETA_CSP8_EEGNET,9
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.4089285714285714,0.3636363636363636,0.3327922077922077,0.2857142857142857,0.4089285714285714,0.1584699453551913,MU_BETA_CSP8_EEGNET,9
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.5451388888888888,0.5451388888888888,0.518440044037669,0.5775693199389093,0.5451388888888888,0.3935185185185185,MU_BETA_CSP8_EEGNET,9
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.5508254352223892,0.5523465703971119,0.5263985382444274,0.5837624174338171,0.5508254352223892,0.4024122377789666,MU_BETA_CSP8_EEGNET,9
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.4232142857142857,0.3636363636363636,0.3064435564435565,0.2625,0.4232142857142857,0.1808510638297873,MU_BETA_CSP8_EEGNET,9
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.25,0.25,0.1,0.0625,0.25,0.0,MU_BETA_CSP8_EEGNET,1
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.25,0.2495479204339963,0.0998552821997105,0.062386980108499,0.25,0.0,MU_BETA_CSP8_EEGNET,1
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.25,0.2608695652173913,0.1034482758620689,0.0652173913043478,0.25,0.0,MU_BETA_CSP8_EEGNET,1
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.25,0.25,0.1,0.0625,0.25,0.0,MU_BETA_CSP8_EEGNET,1
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.25,0.2495479204339963,0.0998552821997105,0.062386980108499,0.25,0.0,MU_BETA_CSP8_EEGNET,1
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.25,0.2608695652173913,0.1034482758620689,0.0652173913043478,0.25,0.0,MU_BETA_CSP8_EEGNET,1
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.25,0.25,0.1,0.0625,0.25,0.0,MU_BETA_CSP8_EEGNET,1
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.25,0.2495479204339963,0.0998552821997105,0.062386980108499,0.25,0.0,MU_BETA_CSP8_EEGNET,1
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.25,0.2608695652173913,0.1034482758620689,0.0652173913043478,0.25,0.0,MU_BETA_CSP8_EEGNET,1
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.5520833333333334,0.5520833333333334,0.5092756154396063,0.694984109783638,0.5520833333333334,0.4027777777777778,MU_BETA_CSP8_EEGNET,6
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.5517828589363498,0.5524861878453039,0.5100002950407403,0.7084495488105004,0.5517828589363498,0.4034666558164137,MU_BETA_CSP8_EEGNET,6
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.5833333333333334,0.5454545454545454,0.5115864527629234,0.4861111111111111,0.5833333333333334,0.3926380368098159,MU_BETA_CSP8_EEGNET,6
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.5625,0.5625,0.5314561955202471,0.6325232826991138,0.5625,0.4166666666666666,MU_BETA_CSP8_EEGNET,6
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.5670183025622103,0.567219152854512,0.5373031091501762,0.640088070531619,0.5670183025622103,0.4231421247971357,MU_BETA_CSP8_EEGNET,6
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.5034722222222222,0.4848484848484848,0.4516666666666666,0.4791666666666667,0.5034722222222222,0.3082614056720099,MU_BETA_CSP8_EEGNET,6
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.5555555555555556,0.5555555555555556,0.5268469285315104,0.6477785728734579,0.5555555555555556,0.4074074074074074,MU_BETA_CSP8_EEGNET,6
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.5562316207397228,0.5561694290976059,0.5262790534923304,0.6525655248773528,0.5562316207397228,0.408480689954437,MU_BETA_CSP8_EEGNET,6
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.5472222222222223,0.5454545454545454,0.5278202189966896,0.5819444444444444,0.5472222222222223,0.3903940886699507,MU_BETA_CSP8_EEGNET,6
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3402777777777778,0.3402777777777778,0.3199705193710604,0.3922272799183098,0.3402777777777778,0.1203703703703703,MU_BETA_CSP8_EEGNET,6
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.3476226912163604,0.3510204081632653,0.3346167557932263,0.4046151300635929,0.3476226912163604,0.1305609338295604,MU_BETA_CSP8_EEGNET,6
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.3111473429951691,0.2790697674418604,0.2343738844863282,0.2846907993966817,0.3111473429951691,0.0718885987815491,MU_BETA_CSP8_EEGNET,6
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.3524305555555555,0.3524305555555556,0.3224186894882352,0.3704894737293808,0.3524305555555555,0.136574074074074,MU_BETA_CSP8_EEGNET,6
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.3582805556240091,0.3612244897959183,0.3299243121196004,0.3741320468668574,0.3582805556240091,0.1455472297278475,MU_BETA_CSP8_EEGNET,6
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.3147705314009662,0.3023255813953488,0.279810853634383,0.3616883116883116,0.3147705314009662,0.0897865584759217,MU_BETA_CSP8_EEGNET,6
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.3559027777777778,0.3559027777777778,0.3554765781448309,0.3799854702094236,0.3559027777777778,0.1412037037037037,MU_BETA_CSP8_EEGNET,6
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.3644306585159612,0.3653061224489796,0.3656862876809925,0.3864665459623987,0.3644306585159612,0.1516356024673212,MU_BETA_CSP8_EEGNET,6
