fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s3,3,20260924,all,1,1,108,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,1,2,9,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,1,3,4,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,1,4,23,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,2,1,2,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,2,2,128,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,2,3,1,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,2,4,13,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,3,1,22,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,3,2,64,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,3,3,22,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,3,4,36,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,4,1,3,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,4,2,28,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,4,3,10,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,all,4,4,103,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,1,1,101,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,1,2,9,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,1,3,4,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,1,4,22,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,2,1,2,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,2,2,122,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,2,3,1,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,2,4,13,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,3,1,20,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,3,2,61,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,3,3,19,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,3,4,34,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,4,1,3,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,4,2,26,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,4,3,9,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,unflagged,4,4,97,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,1,1,7,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,1,2,0,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,1,3,0,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,1,4,1,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,2,1,0,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,2,2,6,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,2,3,0,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,2,4,0,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,3,1,2,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,3,2,3,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,3,3,3,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,3,4,2,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,4,1,0,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,4,2,2,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,4,3,1,MU_BETA_PCA8_EEGNET
loso_s3,3,20260924,flagged,4,4,6,MU_BETA_PCA8_EEGNET
