fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,39.0,1.0,4.0,37.0,20.25,False
loso_s1,1,2,40.0,2.0,3.0,34.0,19.75,False
loso_s1,1,3,38.0,3.0,1.0,19.0,15.25,False
loso_s1,1,4,37.0,8.0,2.0,9.0,14.0,False
loso_s1,1,5,36.0,18.0,5.0,5.0,16.0,False
loso_s1,1,6,35.0,19.0,6.0,8.0,17.0,False
loso_s1,1,7,24.0,27.0,7.0,1.0,14.75,False
loso_s1,1,8,17.0,12.0,8.0,11.0,12.0,False
loso_s1,1,9,1.0,30.0,10.0,3.0,11.0,False
loso_s1,1,10,4.0,24.0,11.0,7.0,11.5,False
loso_s1,1,11,5.0,29.0,19.0,13.0,16.5,False
loso_s1,1,12,2.0,28.0,9.0,6.0,11.25,False
loso_s1,1,13,8.0,11.0,12.0,12.0,10.75,True
loso_s1,1,14,3.0,21.0,13.0,16.0,13.25,False
loso_s1,1,15,6.0,20.0,14.0,25.0,16.25,False
loso_s1,1,16,14.0,22.0,26.0,30.0,23.0,False
loso_s1,1,17,10.0,33.0,23.0,40.0,26.5,False
loso_s1,1,18,15.0,34.0,15.0,17.0,20.25,False
loso_s1,1,19,7.0,26.0,18.0,39.0,22.5,False
loso_s1,1,20,25.0,6.0,16.0,2.0,12.25,False
loso_s1,1,21,13.0,25.0,20.0,10.0,17.0,False
loso_s1,1,22,12.0,16.0,21.0,4.0,13.25,False
loso_s1,1,23,9.0,36.0,25.0,31.0,25.25,False
loso_s1,1,24,11.0,39.0,17.0,18.0,21.25,False
loso_s1,1,25,30.0,35.0,29.0,15.0,27.25,False
loso_s1,1,26,18.0,10.0,28.0,28.0,21.0,False
loso_s1,1,27,28.0,9.0,24.0,14.0,18.75,False
loso_s1,1,28,21.0,23.0,27.0,20.0,22.75,False
loso_s1,1,29,31.0,32.0,39.0,26.0,32.0,False
loso_s1,1,30,19.0,40.0,38.0,24.0,30.25,False
loso_s1,1,31,29.0,37.0,30.0,32.0,32.0,False
loso_s1,1,32,22.0,15.0,36.0,38.0,27.75,False
loso_s1,1,33,16.0,4.0,22.0,21.0,15.75,False
loso_s1,1,34,34.0,14.0,32.0,35.0,28.75,False
loso_s1,1,35,20.0,7.0,34.0,22.0,20.75,False
loso_s1,1,36,23.0,5.0,40.0,33.0,25.25,False
loso_s1,1,37,27.0,13.0,33.0,27.0,25.0,False
loso_s1,1,38,32.0,17.0,35.0,36.0,30.0,False
loso_s1,1,39,26.0,31.0,31.0,23.0,27.75,False
loso_s1,1,40,33.0,38.0,37.0,29.0,34.25,False
loso_s2,2,1,39.0,1.0,3.0,34.0,19.25,False
loso_s2,2,2,40.0,2.0,4.0,29.0,18.75,False
loso_s2,2,3,38.0,3.0,2.0,22.0,16.25,False
loso_s2,2,4,37.0,4.0,1.0,9.0,12.75,False
loso_s2,2,5,36.0,10.0,5.0,2.0,13.25,False
loso_s2,2,6,35.0,5.0,6.0,28.0,18.5,False
loso_s2,2,7,31.0,16.0,7.0,26.0,20.0,False
loso_s2,2,8,23.0,6.0,8.0,15.0,13.0,False
loso_s2,2,9,2.0,18.0,10.0,1.0,7.75,True
loso_s2,2,10,13.0,9.0,9.0,39.0,17.5,False
loso_s2,2,11,10.0,30.0,13.0,14.0,16.75,False
loso_s2,2,12,3.0,19.0,11.0,16.0,12.25,False
loso_s2,2,13,5.0,20.0,14.0,20.0,14.75,False
loso_s2,2,14,8.0,33.0,15.0,32.0,22.0,False
loso_s2,2,15,1.0,15.0,12.0,40.0,17.0,False
loso_s2,2,16,14.0,26.0,16.0,18.0,18.5,False
loso_s2,2,17,12.0,23.0,17.0,36.0,22.0,False
loso_s2,2,18,4.0,21.0,18.0,31.0,18.5,False
loso_s2,2,19,11.0,28.0,20.0,37.0,24.0,False
loso_s2,2,20,28.0,27.0,19.0,35.0,27.25,False
loso_s2,2,21,18.0,34.0,23.0,38.0,28.25,False
loso_s2,2,22,9.0,39.0,22.0,25.0,23.75,False
loso_s2,2,23,7.0,40.0,25.0,12.0,21.0,False
loso_s2,2,24,6.0,35.0,21.0,33.0,23.75,False
loso_s2,2,25,27.0,37.0,29.0,27.0,30.0,False
loso_s2,2,26,22.0,11.0,31.0,10.0,18.5,False
loso_s2,2,27,33.0,8.0,28.0,21.0,22.5,False
loso_s2,2,28,19.0,31.0,24.0,5.0,19.75,False
loso_s2,2,29,29.0,7.0,26.0,3.0,16.25,False
loso_s2,2,30,16.0,36.0,35.0,8.0,23.75,False
loso_s2,2,31,25.0,13.0,33.0,30.0,25.25,False
loso_s2,2,32,15.0,32.0,40.0,23.0,27.5,False
loso_s2,2,33,20.0,22.0,32.0,17.0,22.75,False
loso_s2,2,34,30.0,17.0,27.0,11.0,21.25,False
loso_s2,2,35,21.0,14.0,36.0,24.0,23.75,False
loso_s2,2,36,17.0,12.0,38.0,7.0,18.5,False
loso_s2,2,37,24.0,24.0,37.0,6.0,22.75,False
loso_s2,2,38,34.0,29.0,30.0,13.0,26.5,False
loso_s2,2,39,32.0,25.0,34.0,4.0,23.75,False
loso_s2,2,40,26.0,38.0,39.0,19.0,30.5,False
loso_s3,3,1,37.0,1.0,5.0,15.0,14.5,False
loso_s3,3,2,40.0,2.0,4.0,9.0,13.75,False
loso_s3,3,3,39.0,3.0,2.0,4.0,12.0,False
loso_s3,3,4,36.0,4.0,1.0,10.0,12.75,False
loso_s3,3,5,34.0,7.0,3.0,12.0,14.0,False
loso_s3,3,6,32.0,5.0,6.0,1.0,11.0,True
loso_s3,3,7,13.0,12.0,7.0,30.0,15.5,False
loso_s3,3,8,8.0,18.0,8.0,39.0,18.25,False
loso_s3,3,9,1.0,15.0,9.0,25.0,12.5,False
loso_s3,3,10,2.0,14.0,10.0,36.0,15.5,False
loso_s3,3,11,7.0,21.0,12.0,24.0,16.0,False
loso_s3,3,12,5.0,22.0,15.0,37.0,19.75,False
loso_s3,3,13,9.0,30.0,11.0,40.0,22.5,False
loso_s3,3,14,3.0,24.0,17.0,38.0,20.5,False
loso_s3,3,15,4.0,11.0,13.0,21.0,12.25,False
loso_s3,3,16,11.0,19.0,19.0,23.0,18.0,False
loso_s3,3,17,15.0,20.0,14.0,20.0,17.25,False
loso_s3,3,18,16.0,28.0,16.0,6.0,16.5,False
loso_s3,3,19,14.0,10.0,22.0,22.0,17.0,False
loso_s3,3,20,21.0,9.0,20.0,2.0,13.0,False
loso_s3,3,21,10.0,27.0,21.0,7.0,16.25,False
loso_s3,3,22,12.0,36.0,24.0,35.0,26.75,False
loso_s3,3,23,6.0,37.0,28.0,26.0,24.25,False
loso_s3,3,24,18.0,39.0,30.0,3.0,22.5,False
loso_s3,3,25,35.0,38.0,39.0,13.0,31.25,False
loso_s3,3,26,29.0,16.0,35.0,29.0,27.25,False
loso_s3,3,27,26.0,17.0,25.0,32.0,25.0,False
loso_s3,3,28,23.0,34.0,26.0,18.0,25.25,False
loso_s3,3,29,30.0,25.0,18.0,11.0,21.0,False
loso_s3,3,30,17.0,40.0,29.0,5.0,22.75,False
