condition,subject,mean_ba,seed_sd_ba,mean_dominant_prediction_share,zero_recall_seed_count
MU_BETA_CSP8_EEGNET,1,0.5399305555555555,0.013779954745128038,0.4259259259259259,0
MU_BETA_CSP8_EEGNET,2,0.25,0.0,1.0,3
MU_BETA_CSP8_EEGNET,3,0.5567129629629629,0.005303907054346997,0.5069444444444444,0
MU_BETA_CSP8_EEGNET,4,0.34953703703703703,0.008204541017799676,0.4265046296296296,0
MU_BETA_CSP8_EEGNET,5,0.2569444444444445,0.0195649785930289,0.8327546296296297,3
MU_BETA_CSP8_EEGNET,6,0.25752314814814814,0.016037507477489596,0.6221064814814815,0
MU_BETA_CSP8_EEGNET,7,0.30324074074074076,0.04568095109228213,0.4328703703703704,0
MU_BETA_CSP8_EEGNET,8,0.625,0.010842010413886114,0.4328703703703704,0
MU_BETA_CSP8_EEGNET,9,0.5943287037037037,0.031266070970463196,0.4554398148148148,0
MU_BETA_PCA8_EEGNET,1,0.5133101851851852,0.024077134331845752,0.4884259259259259,0
MU_BETA_PCA8_EEGNET,2,0.32060185185185186,0.010464780856496029,0.5792824074074073,0
MU_BETA_PCA8_EEGNET,3,0.5584490740740741,0.11978327936284638,0.5098379629629629,0
MU_BETA_PCA8_EEGNET,4,0.3489583333333333,0.04067838372868048,0.585648148148148,0
MU_BETA_PCA8_EEGNET,5,0.2523148148148148,0.0010023442173430887,0.8917824074074074,3
MU_BETA_PCA8_EEGNET,6,0.28009259259259256,0.006097021847715698,0.6938657407407408,0
MU_BETA_PCA8_EEGNET,7,0.27662037037037035,0.03618171072301062,0.5625,0
MU_BETA_PCA8_EEGNET,8,0.6579861111111112,0.009666257574357549,0.4039351851851852,0
MU_BETA_PCA8_EEGNET,9,0.5769675925925926,0.00782855859865086,0.3263888888888889,0
