subject,seed,balanced_accuracy,class_recall,zero_recall_classes,dominant_prediction_share,n_trials,condition,selected_epochs
1,20260924,0.5503472222222222,"[0.8819444444444444, 0.8263888888888888, 0.4097222222222222, 0.08333333333333333]",0,0.3993055555555556,576,MU_BETA_CSP8_EEGNET,9
1,20260925,0.5243055555555556,"[0.9097222222222222, 0.5763888888888888, 0.5208333333333334, 0.09027777777777778]",0,0.4184027777777778,576,MU_BETA_CSP8_EEGNET,9
1,20260926,0.5451388888888888,"[0.9027777777777778, 0.5972222222222222, 0.4444444444444444, 0.2361111111111111]",0,0.4600694444444444,576,MU_BETA_CSP8_EEGNET,9
2,20260924,0.25,"[1.0, 0.0, 0.0, 0.0]",3,1.0,576,MU_BETA_CSP8_EEGNET,1
2,20260925,0.25,"[1.0, 0.0, 0.0, 0.0]",3,1.0,576,MU_BETA_CSP8_EEGNET,1
2,20260926,0.25,"[1.0, 0.0, 0.0, 0.0]",3,1.0,576,MU_BETA_CSP8_EEGNET,1
3,20260924,0.5520833333333334,"[0.75, 0.4722222222222222, 0.09027777777777778, 0.8958333333333334]",0,0.5520833333333334,576,MU_BETA_CSP8_EEGNET,6
3,20260925,0.5625,"[0.8194444444444444, 0.4027777777777778, 0.2013888888888889, 0.8263888888888888]",0,0.4583333333333333,576,MU_BETA_CSP8_EEGNET,6
3,20260926,0.5555555555555556,"[0.7291666666666666, 0.375, 0.2222222222222222, 0.8958333333333334]",0,0.5104166666666666,576,MU_BETA_CSP8_EEGNET,6
4,20260924,0.3402777777777778,"[0.16666666666666666, 0.5138888888888888, 0.5277777777777778, 0.1527777777777778]",0,0.5208333333333334,576,MU_BETA_CSP8_EEGNET,6
4,20260925,0.3524305555555555,"[0.3680555555555556, 0.6041666666666666, 0.3680555555555556, 0.06944444444444445]",0,0.3541666666666667,576,MU_BETA_CSP8_EEGNET,6
4,20260926,0.3559027777777778,"[0.19444444444444445, 0.4652777777777778, 0.4027777777777778, 0.3611111111111111]",0,0.4045138888888889,576,MU_BETA_CSP8_EEGNET,6
5,20260924,0.2465277777777778,"[0.020833333333333332, 0.9652777777777778, 0.0, 0.0]",2,0.9166666666666666,576,MU_BETA_CSP8_EEGNET,20
5,20260925,0.2795138888888889,"[0.7013888888888888, 0.4166666666666667, 0.0, 0.0]",2,0.6493055555555556,576,MU_BETA_CSP8_EEGNET,20
5,20260926,0.24479166666666666,"[0.0, 0.9791666666666666, 0.0, 0.0]",3,0.9322916666666666,576,MU_BETA_CSP8_EEGNET,20
6,20260924,0.27604166666666663,"[0.041666666666666664, 0.11805555555555555, 0.3194444444444444, 0.625]",0,0.5121527777777778,576,MU_BETA_CSP8_EEGNET,5
6,20260925,0.2482638888888889,"[0.013888888888888888, 0.013888888888888888, 0.4375, 0.5277777777777778]",0,0.5104166666666666,576,MU_BETA_CSP8_EEGNET,5
6,20260926,0.2482638888888889,"[0.020833333333333332, 0.027777777777777776, 0.06944444444444445, 0.875]",0,0.84375,576,MU_BETA_CSP8_EEGNET,5
7,20260924,0.2795138888888889,"[0.3888888888888889, 0.4236111111111111, 0.2708333333333333, 0.034722222222222224]",0,0.421875,576,MU_BETA_CSP8_EEGNET,7
7,20260925,0.2743055555555556,"[0.4791666666666667, 0.4861111111111111, 0.0763888888888889, 0.05555555555555555]",0,0.4097222222222222,576,MU_BETA_CSP8_EEGNET,7
7,20260926,0.35590277777777773,"[0.625, 0.4375, 0.2777777777777778, 0.08333333333333333]",0,0.4670138888888889,576,MU_BETA_CSP8_EEGNET,7
8,20260924,0.6215277777777778,"[0.6736111111111112, 0.8819444444444444, 0.1597222222222222, 0.7708333333333334]",0,0.3802083333333333,576,MU_BETA_CSP8_EEGNET,7
8,20260925,0.6163194444444444,"[0.7083333333333334, 0.9444444444444444, 0.2569444444444444, 0.5555555555555556]",0,0.4583333333333333,576,MU_BETA_CSP8_EEGNET,7
8,20260926,0.6371527777777778,"[0.8055555555555556, 0.9375, 0.4027777777777778, 0.4027777777777778]",0,0.4600694444444444,576,MU_BETA_CSP8_EEGNET,7
9,20260924,0.5954861111111112,"[0.6805555555555556, 0.3611111111111111, 0.8819444444444444, 0.4583333333333333]",0,0.4774305555555556,576,MU_BETA_CSP8_EEGNET,8
