condition,n_subjects,n_fits,mean_equal_subject_ba,subject_sd_ba,median_subject_ba,n_zero_recall_fold_seeds,estimand
Q5-E001,9,27,0.33719135802469136,0.11583871721119611,0.2847222222222222,9,nine_subject_exploratory_LOSO
Q6-E001,9,27,0.37930812757201643,0.15679376167236175,0.2864583333333333,9,nine_subject_exploratory_LOSO
Q7-E001/B,1,3,0.2569444444444444,,0.2569444444444444,3,single_subject_descriptive_only
Q7-E001/C,1,3,0.6770833333333334,,0.6770833333333334,0,single_subject_descriptive_only
Q8-E001,9,27,0.42669753086419754,0.16043588257056188,0.36921296296296297,3,nine_subject_exploratory_LOSO
Q9-E001/BETA_13_30,9,27,0.3153292181069959,0.10046279813746412,0.27372685185185186,15,nine_subject_exploratory_LOSO
Q9-E001/MID_8_30,9,27,0.4455375514403292,0.17171574481304575,0.3524305555555556,5,nine_subject_exploratory_LOSO
Q9-E001/MU_8_13,9,27,0.4329989711934156,0.16222520742026794,0.3883101851851852,3,nine_subject_exploratory_LOSO
Q9-E001/MU_BETA_SHARED,9,27,0.421875,0.14095445138249613,0.3819444444444444,3,nine_subject_exploratory_LOSO
Q9-E002/MID_8_30_Q8_EPOCHS,9,27,0.42727623456790126,0.15732414353825766,0.3819444444444444,4,nine_subject_exploratory_LOSO
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,9,27,0.4349922839506173,0.15821594156390179,0.3819444444444444,3,nine_subject_exploratory_LOSO
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,9,27,0.4211033950617284,0.1523271931182635,0.35127314814814814,4,nine_subject_exploratory_LOSO
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,9,27,0.41525205761316875,0.13879666085427145,0.3616898148148148,4,nine_subject_exploratory_LOSO
Q9-A001/PSD44_LDA,9,9,0.3628472222222222,0.08165722527860358,0.3663194444444444,1,nine_subject_exploratory_LOSO
Q9-A001/PSD44_LINEAR_SVM,9,9,0.3578317901234568,0.0838761098056224,0.3663194444444444,1,nine_subject_exploratory_LOSO
Q4-E001/BroadCSP_LDA,9,9,0.3904320987654321,0.14176823436341404,0.3454861111111111,3,nine_subject_exploratory_LOSO
Q4-E001/BroadCSP_SVM,9,9,0.375,0.12656952522035536,0.3194444444444444,3,nine_subject_exploratory_LOSO
Q4-E001/FBCSP_LDA,9,9,0.3811728395061728,0.07687126299229906,0.3940972222222222,1,nine_subject_exploratory_LOSO
Q4-E001/FBCSP_MI8_LDA,9,9,0.3136574074074074,0.04261436704386659,0.3090277777777778,3,nine_subject_exploratory_LOSO
