condition,subject,seed,true_class,predicted_class,n_trials
Q5-E001,1,20260924,1,1,129
Q5-E001,1,20260924,1,2,10
Q5-E001,1,20260924,1,3,4
Q5-E001,1,20260924,1,4,1
Q5-E001,1,20260924,2,1,60
Q5-E001,1,20260924,2,2,80
Q5-E001,1,20260924,2,3,4
Q5-E001,1,20260924,2,4,0
Q5-E001,1,20260924,3,1,36
Q5-E001,1,20260924,3,2,8
Q5-E001,1,20260924,3,3,93
Q5-E001,1,20260924,3,4,7
Q5-E001,1,20260924,4,1,43
Q5-E001,1,20260924,4,2,3
Q5-E001,1,20260924,4,3,90
Q5-E001,1,20260924,4,4,8
Q5-E001,1,20260925,1,1,117
Q5-E001,1,20260925,1,2,21
Q5-E001,1,20260925,1,3,2
Q5-E001,1,20260925,1,4,4
Q5-E001,1,20260925,2,1,32
Q5-E001,1,20260925,2,2,108
Q5-E001,1,20260925,2,3,3
Q5-E001,1,20260925,2,4,1
Q5-E001,1,20260925,3,1,38
Q5-E001,1,20260925,3,2,8
Q5-E001,1,20260925,3,3,61
Q5-E001,1,20260925,3,4,37
Q5-E001,1,20260925,4,1,41
Q5-E001,1,20260925,4,2,2
Q5-E001,1,20260925,4,3,61
Q5-E001,1,20260925,4,4,40
Q5-E001,1,20260926,1,1,105
Q5-E001,1,20260926,1,2,36
Q5-E001,1,20260926,1,3,3
Q5-E001,1,20260926,1,4,0
Q5-E001,1,20260926,2,1,2
Q5-E001,1,20260926,2,2,142
Q5-E001,1,20260926,2,3,0
Q5-E001,1,20260926,2,4,0
Q5-E001,1,20260926,3,1,40
Q5-E001,1,20260926,3,2,20
Q5-E001,1,20260926,3,3,73
Q5-E001,1,20260926,3,4,11
Q5-E001,1,20260926,4,1,49
Q5-E001,1,20260926,4,2,8
Q5-E001,1,20260926,4,3,58
Q5-E001,1,20260926,4,4,29
Q5-E001,2,20260924,1,1,111
Q5-E001,2,20260924,1,2,33
Q5-E001,2,20260924,1,3,0
Q5-E001,2,20260924,1,4,0
Q5-E001,2,20260924,2,1,117
Q5-E001,2,20260924,2,2,27
Q5-E001,2,20260924,2,3,0
Q5-E001,2,20260924,2,4,0
Q5-E001,2,20260924,3,1,117
Q5-E001,2,20260924,3,2,27
Q5-E001,2,20260924,3,3,0
Q5-E001,2,20260924,3,4,0
Q5-E001,2,20260924,4,1,119
Q5-E001,2,20260924,4,2,25
Q5-E001,2,20260924,4,3,0
Q5-E001,2,20260924,4,4,0
Q5-E001,2,20260925,1,1,136
Q5-E001,2,20260925,1,2,3
Q5-E001,2,20260925,1,3,5
Q5-E001,2,20260925,1,4,0
Q5-E001,2,20260925,2,1,142
Q5-E001,2,20260925,2,2,1
Q5-E001,2,20260925,2,3,1
Q5-E001,2,20260925,2,4,0
Q5-E001,2,20260925,3,1,135
Q5-E001,2,20260925,3,2,6
Q5-E001,2,20260925,3,3,3
Q5-E001,2,20260925,3,4,0
Q5-E001,2,20260925,4,1,137
Q5-E001,2,20260925,4,2,5
Q5-E001,2,20260925,4,3,2
Q5-E001,2,20260925,4,4,0
Q5-E001,2,20260926,1,1,126
Q5-E001,2,20260926,1,2,18
Q5-E001,2,20260926,1,3,0
Q5-E001,2,20260926,1,4,0
Q5-E001,2,20260926,2,1,125
Q5-E001,2,20260926,2,2,19
Q5-E001,2,20260926,2,3,0
Q5-E001,2,20260926,2,4,0
Q5-E001,2,20260926,3,1,121
Q5-E001,2,20260926,3,2,23
Q5-E001,2,20260926,3,3,0
Q5-E001,2,20260926,3,4,0
Q5-E001,2,20260926,4,1,133
Q5-E001,2,20260926,4,2,11
Q5-E001,2,20260926,4,3,0
Q5-E001,2,20260926,4,4,0
Q5-E001,3,20260924,1,1,144
Q5-E001,3,20260924,1,2,0
Q5-E001,3,20260924,1,3,0
Q5-E001,3,20260924,1,4,0
Q5-E001,3,20260924,2,1,143
Q5-E001,3,20260924,2,2,1
Q5-E001,3,20260924,2,3,0
Q5-E001,3,20260924,2,4,0
Q5-E001,3,20260924,3,1,144
Q5-E001,3,20260924,3,2,0
Q5-E001,3,20260924,3,3,0
Q5-E001,3,20260924,3,4,0
Q5-E001,3,20260924,4,1,143
Q5-E001,3,20260924,4,2,1
Q5-E001,3,20260924,4,3,0
Q5-E001,3,20260924,4,4,0
Q5-E001,3,20260925,1,1,143
Q5-E001,3,20260925,1,2,1
Q5-E001,3,20260925,1,3,0
Q5-E001,3,20260925,1,4,0
Q5-E001,3,20260925,2,1,142
Q5-E001,3,20260925,2,2,2
Q5-E001,3,20260925,2,3,0
Q5-E001,3,20260925,2,4,0
Q5-E001,3,20260925,3,1,143
Q5-E001,3,20260925,3,2,1
Q5-E001,3,20260925,3,3,0
Q5-E001,3,20260925,3,4,0
Q5-E001,3,20260925,4,1,139
Q5-E001,3,20260925,4,2,4
Q5-E001,3,20260925,4,3,1
Q5-E001,3,20260925,4,4,0
Q5-E001,3,20260926,1,1,133
Q5-E001,3,20260926,1,2,11
Q5-E001,3,20260926,1,3,0
Q5-E001,3,20260926,1,4,0
Q5-E001,3,20260926,2,1,116
Q5-E001,3,20260926,2,2,28
Q5-E001,3,20260926,2,3,0
Q5-E001,3,20260926,2,4,0
Q5-E001,3,20260926,3,1,118
Q5-E001,3,20260926,3,2,26
Q5-E001,3,20260926,3,3,0
Q5-E001,3,20260926,3,4,0
Q5-E001,3,20260926,4,1,119
Q5-E001,3,20260926,4,2,25
Q5-E001,3,20260926,4,3,0
Q5-E001,3,20260926,4,4,0
Q5-E001,4,20260924,1,1,41
Q5-E001,4,20260924,1,2,71
Q5-E001,4,20260924,1,3,32
Q5-E001,4,20260924,1,4,0
Q5-E001,4,20260924,2,1,12
Q5-E001,4,20260924,2,2,124
Q5-E001,4,20260924,2,3,8
Q5-E001,4,20260924,2,4,0
Q5-E001,4,20260924,3,1,43
Q5-E001,4,20260924,3,2,56
Q5-E001,4,20260924,3,3,27
Q5-E001,4,20260924,3,4,18
Q5-E001,4,20260924,4,1,17
Q5-E001,4,20260924,4,2,89
Q5-E001,4,20260924,4,3,22
Q5-E001,4,20260924,4,4,16
Q5-E001,4,20260925,1,1,15
Q5-E001,4,20260925,1,2,78
Q5-E001,4,20260925,1,3,51
Q5-E001,4,20260925,1,4,0
Q5-E001,4,20260925,2,1,5
Q5-E001,4,20260925,2,2,112
Q5-E001,4,20260925,2,3,27
Q5-E001,4,20260925,2,4,0
Q5-E001,4,20260925,3,1,20
Q5-E001,4,20260925,3,2,43
Q5-E001,4,20260925,3,3,73
Q5-E001,4,20260925,3,4,8
Q5-E001,4,20260925,4,1,6
Q5-E001,4,20260925,4,2,61
Q5-E001,4,20260925,4,3,71
Q5-E001,4,20260925,4,4,6
Q5-E001,4,20260926,1,1,2
Q5-E001,4,20260926,1,2,64
Q5-E001,4,20260926,1,3,64
Q5-E001,4,20260926,1,4,14
Q5-E001,4,20260926,2,1,0
Q5-E001,4,20260926,2,2,98
Q5-E001,4,20260926,2,3,42
Q5-E001,4,20260926,2,4,4
Q5-E001,4,20260926,3,1,3
Q5-E001,4,20260926,3,2,17
Q5-E001,4,20260926,3,3,84
Q5-E001,4,20260926,3,4,40
Q5-E001,4,20260926,4,1,1
Q5-E001,4,20260926,4,2,32
Q5-E001,4,20260926,4,3,71
Q5-E001,4,20260926,4,4,40
Q5-E001,5,20260924,1,1,143
