contrast,n_subjects,mean_subject_paired_delta_ba,median_subject_paired_delta_ba,subject_bootstrap_95ci_low,subject_bootstrap_95ci_high,exact_two_sided_sign_flip_p,mean_excluding_s3_s8,mean_excluding_s3_s9,status
Q9-E001/BETA_13_30 minus Q8-E001,9,-0.11136831275720165,-0.04224537037037037,-0.19888117283950615,-0.03594393004115227,0.015625,-0.06994047619047619,-0.08597883597883597,exploratory_same_dataset_not_confirmatory
Q9-E001/MID_8_30 minus Q8-E001,9,0.018840020576131676,0.01851851851851849,-0.013631687242798361,0.05041152263374484,0.328125,0.024388227513227504,-0.0009920634920634994,exploratory_same_dataset_not_confirmatory
Q9-E001/MU_8_13 minus Q8-E001,9,0.0063014403292181095,0.0034722222222222467,-0.013567386831275714,0.029063786008230452,0.64453125,0.014219576719576722,-0.0040509259259259205,exploratory_same_dataset_not_confirmatory
Q9-E001/MU_BETA_SHARED minus Q8-E001,9,-0.004822530864197529,0.006365740740740737,-0.03208590534979424,0.014146090534979434,0.9140625,0.0075231481481481495,-0.008184523809523808,exploratory_same_dataset_not_confirmatory
Q9-E002/MID_8_30_Q8_EPOCHS minus Q8-E001,9,0.000578703703703694,0.0005787037037036832,-0.014081790123456799,0.014917695473251011,0.9453125,0.010003306878306865,0.0015707671957671775,exploratory_same_dataset_not_confirmatory
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q8-E001,9,0.008294753086419759,0.007523148148148158,-0.002957818930041141,0.019547325102880667,0.21875,0.01264880952380953,0.008680555555555563,exploratory_same_dataset_not_confirmatory
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q8-E001,9,-0.005594135802469144,-0.00868055555555558,-0.02051183127572017,0.010030864197530858,0.5078125,-0.0005787037037037121,-0.008680555555555565,exploratory_same_dataset_not_confirmatory
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q8-E001,9,-0.011445473251028798,-0.0005787037037037016,-0.03620113168724279,0.009002057613168725,0.4375,0.006200396825396828,-0.0052910052910052855,exploratory_same_dataset_not_confirmatory
Q9-E001/MID_8_30 minus Q9-E001/MU_BETA_SHARED,9,0.023662551440329208,0.01041666666666663,0.0013503086419753023,0.04854681069958846,0.109375,0.016865079365079357,0.007192460317460309,exploratory_same_dataset_not_confirmatory
Q9-E002/MID_8_30_Q8_EPOCHS minus Q9-E001/MID_8_30,9,-0.018261316872427984,-0.00810185185185186,-0.0491898148148148,0.009130658436213985,0.28515625,-0.014384920634920641,0.002562830687830676,exploratory_same_dataset_not_confirmatory
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q9-E001/MU_BETA_SHARED,9,0.013117283950617287,0.0,-0.0015432098765432065,0.03240740740740741,0.375,0.00512566137566138,0.01686507936507937,exploratory_same_dataset_not_confirmatory
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q9-E001/MU_BETA_SHARED,9,-0.0007716049382716157,-0.0017361111111111234,-0.013117283950617299,0.01478909465020575,0.93359375,-0.008101851851851862,-0.0004960317460317564,exploratory_same_dataset_not_confirmatory
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q9-E001/MU_BETA_SHARED,9,-0.00662294238683127,-0.00810185185185186,-0.026170267489711924,0.009837962962962968,0.62109375,-0.0013227513227513218,0.0028935185185185227,exploratory_same_dataset_not_confirmatory
