contrast,subject,mean_seed_paired_delta_ba,delta_seed_20260924,delta_seed_20260925,delta_seed_20260926
Q9-E001/BETA_13_30 minus Q8-E001,1,-0.28935185185185186,-0.2534722222222222,-0.3142361111111111,-0.3003472222222222
Q9-E001/BETA_13_30 minus Q8-E001,2,-0.03125000000000001,-0.022569444444444475,-0.013888888888888895,-0.05729166666666666
Q9-E001/BETA_13_30 minus Q8-E001,3,-0.35821759259259256,-0.3715277777777778,-0.34722222222222215,-0.3559027777777778
Q9-E001/BETA_13_30 minus Q8-E001,4,-0.11863425925925926,-0.1111111111111111,-0.109375,-0.13541666666666669
Q9-E001/BETA_13_30 minus Q8-E001,5,0.0005787037037037016,0.00347222222222221,0.0,-0.001736111111111105
Q9-E001/BETA_13_30 minus Q8-E001,6,0.020833333333333353,0.02430555555555558,0.02777777777777779,0.010416666666666685
Q9-E001/BETA_13_30 minus Q8-E001,7,-0.029513888888888885,0.036458333333333315,-0.08506944444444445,-0.039930555555555525
Q9-E001/BETA_13_30 minus Q8-E001,8,-0.15451388888888887,-0.1267361111111111,-0.13020833333333326,-0.2065972222222222
Q9-E001/BETA_13_30 minus Q8-E001,9,-0.04224537037037037,-0.09201388888888884,-0.015625,-0.019097222222222265
Q9-E001/MID_8_30 minus Q8-E001,1,0.03240740740740744,0.05208333333333337,0.03645833333333337,0.00868055555555558
Q9-E001/MID_8_30 minus Q8-E001,2,0.01851851851851849,0.00694444444444442,0.027777777777777735,0.020833333333333315
Q9-E001/MID_8_30 minus Q8-E001,3,0.07754629629629628,0.11111111111111105,-0.02083333333333326,0.14236111111111105
Q9-E001/MID_8_30 minus Q8-E001,4,-0.016782407407407402,-0.04166666666666663,0.02256944444444442,-0.03125
Q9-E001/MID_8_30 minus Q8-E001,5,-0.0017361111111111234,0.005208333333333315,-0.01909722222222221,0.008680555555555525
Q9-E001/MID_8_30 minus Q8-E001,6,-0.0034722222222222285,0.017361111111111105,-0.001736111111111105,-0.026041666666666685
Q9-E001/MID_8_30 minus Q8-E001,7,0.04282407407407405,0.06597222222222221,0.03819444444444442,0.024305555555555525
Q9-E001/MID_8_30 minus Q8-E001,8,-0.07870370370370372,-0.02083333333333337,-0.01041666666666663,-0.20486111111111116
Q9-E001/MID_8_30 minus Q8-E001,9,0.09895833333333331,0.10069444444444442,0.09201388888888884,0.10416666666666669
Q9-E001/MU_8_13 minus Q8-E001,1,0.0034722222222222467,0.00520833333333337,0.02777777777777779,-0.02256944444444442
Q9-E001/MU_8_13 minus Q8-E001,2,0.02719907407407407,0.059027777777777735,0.04340277777777779,-0.020833333333333315
Q9-E001/MU_8_13 minus Q8-E001,3,0.00405092592592593,-0.0017361111111111605,0.02083333333333348,-0.006944444444444531
Q9-E001/MU_8_13 minus Q8-E001,4,0.019097222222222227,0.015625,0.01215277777777779,0.029513888888888895
Q9-E001/MU_8_13 minus Q8-E001,5,-0.0069444444444444475,0.00694444444444442,-0.024305555555555552,-0.00347222222222221
Q9-E001/MU_8_13 minus Q8-E001,6,-0.005208333333333315,0.02777777777777779,-0.00347222222222221,-0.039930555555555525
Q9-E001/MU_8_13 minus Q8-E001,7,-0.019097222222222227,0.015625,-0.03472222222222221,-0.038194444444444475
Q9-E001/MU_8_13 minus Q8-E001,8,-0.046875,0.015625,-0.05555555555555547,-0.10069444444444453
Q9-E001/MU_8_13 minus Q8-E001,9,0.0810185185185185,0.05729166666666674,0.05208333333333326,0.13368055555555552
Q9-E001/MU_BETA_SHARED minus Q8-E001,1,-0.01157407407407407,0.06597222222222221,0.015625,-0.11631944444444442
Q9-E001/MU_BETA_SHARED minus Q8-E001,2,0.00810185185185186,0.03819444444444442,0.00868055555555558,-0.02256944444444442
Q9-E001/MU_BETA_SHARED minus Q8-E001,3,0.006365740740740737,0.00868055555555558,0.05555555555555558,-0.04513888888888895
Q9-E001/MU_BETA_SHARED minus Q8-E001,4,0.012731481481481474,0.01909722222222221,0.032986111111111105,-0.013888888888888895
Q9-E001/MU_BETA_SHARED minus Q8-E001,5,0.00347222222222221,0.005208333333333315,-0.00347222222222221,0.008680555555555525
Q9-E001/MU_BETA_SHARED minus Q8-E001,6,-0.005208333333333343,0.02777777777777779,0.01909722222222221,-0.06250000000000003
Q9-E001/MU_BETA_SHARED minus Q8-E001,7,0.037615740740740755,0.08506944444444448,0.0,0.02777777777777779
Q9-E001/MU_BETA_SHARED minus Q8-E001,8,-0.10243055555555554,-0.07638888888888884,-0.08680555555555547,-0.14409722222222232
Q9-E001/MU_BETA_SHARED minus Q8-E001,9,0.007523148148148158,-0.02951388888888884,0.03298611111111105,0.019097222222222265
Q9-E002/MID_8_30_Q8_EPOCHS minus Q8-E001,1,0.039351851851851825,0.05381944444444442,0.04340277777777779,0.02083333333333326
Q9-E002/MID_8_30_Q8_EPOCHS minus Q8-E001,2,0.008680555555555525,-0.0017361111111111605,0.04166666666666663,-0.013888888888888895
Q9-E002/MID_8_30_Q8_EPOCHS minus Q8-E001,3,-0.02719907407407407,-0.02256944444444453,1.1102230246251565e-16,-0.05902777777777779
Q9-E002/MID_8_30_Q8_EPOCHS minus Q8-E001,4,0.012731481481481455,0.00347222222222221,0.043402777777777735,-0.00868055555555558
Q9-E002/MID_8_30_Q8_EPOCHS minus Q8-E001,5,0.0005787037037036832,0.01388888888888884,-0.013888888888888895,0.001736111111111105
Q9-E002/MID_8_30_Q8_EPOCHS minus Q8-E001,6,-0.011574074074074089,0.0,0.00347222222222221,-0.038194444444444475
Q9-E002/MID_8_30_Q8_EPOCHS minus Q8-E001,7,-0.0011574074074074219,0.005208333333333315,0.00347222222222221,-0.01215277777777779
Q9-E002/MID_8_30_Q8_EPOCHS minus Q8-E001,8,-0.037615740740740734,-0.02951388888888884,0.00868055555555558,-0.09201388888888895
Q9-E002/MID_8_30_Q8_EPOCHS minus Q8-E001,9,0.021412037037037073,-0.01388888888888884,0.0625,0.015625000000000056
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q8-E001,1,0.030092592592592598,0.046875,0.04861111111111116,-0.00520833333333337
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q8-E001,2,0.00810185185185186,0.03819444444444442,0.00868055555555558,-0.02256944444444442
