condition,subject,selected_epochs,recomputed_mean_rank_epoch,source_only_status_lists_valid
Q9-E001/BETA_13_30,1,4,4,True
Q9-E001/BETA_13_30,2,1,1,True
Q9-E001/BETA_13_30,3,1,1,True
Q9-E001/BETA_13_30,4,1,1,True
Q9-E001/BETA_13_30,5,1,1,True
Q9-E001/BETA_13_30,6,19,19,True
Q9-E001/BETA_13_30,7,23,23,True
Q9-E001/BETA_13_30,8,16,16,True
Q9-E001/BETA_13_30,9,24,24,True
Q9-E001/MID_8_30,1,7,7,True
Q9-E001/MID_8_30,2,15,15,True
Q9-E001/MID_8_30,3,16,16,True
Q9-E001/MID_8_30,4,9,9,True
Q9-E001/MID_8_30,5,12,12,True
Q9-E001/MID_8_30,6,7,7,True
Q9-E001/MID_8_30,7,10,10,True
Q9-E001/MID_8_30,8,21,21,True
Q9-E001/MID_8_30,9,34,34,True
Q9-E001/MU_8_13,1,15,15,True
Q9-E001/MU_8_13,2,13,13,True
Q9-E001/MU_8_13,3,9,9,True
Q9-E001/MU_8_13,4,14,14,True
Q9-E001/MU_8_13,5,21,21,True
Q9-E001/MU_8_13,6,26,26,True
Q9-E001/MU_8_13,7,17,17,True
Q9-E001/MU_8_13,8,14,14,True
Q9-E001/MU_8_13,9,17,17,True
Q9-E001/MU_BETA_SHARED,1,5,5,True
Q9-E001/MU_BETA_SHARED,2,13,13,True
Q9-E001/MU_BETA_SHARED,3,10,10,True
Q9-E001/MU_BETA_SHARED,4,10,10,True
Q9-E001/MU_BETA_SHARED,5,13,13,True
Q9-E001/MU_BETA_SHARED,6,21,21,True
Q9-E001/MU_BETA_SHARED,7,16,16,True
Q9-E001/MU_BETA_SHARED,8,9,9,True
Q9-E001/MU_BETA_SHARED,9,9,9,True
Q9-E002/MID_8_30_Q8_EPOCHS,1,27,,True
Q9-E002/MID_8_30_Q8_EPOCHS,2,13,,True
Q9-E002/MID_8_30_Q8_EPOCHS,3,10,,True
Q9-E002/MID_8_30_Q8_EPOCHS,4,10,,True
Q9-E002/MID_8_30_Q8_EPOCHS,5,17,,True
Q9-E002/MID_8_30_Q8_EPOCHS,6,15,,True
Q9-E002/MID_8_30_Q8_EPOCHS,7,16,,True
Q9-E002/MID_8_30_Q8_EPOCHS,8,23,,True
Q9-E002/MID_8_30_Q8_EPOCHS,9,9,,True
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,1,27,,True
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,2,13,,True
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,3,10,,True
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,4,10,,True
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,5,17,,True
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,6,15,,True
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,7,16,,True
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,8,23,,True
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,9,9,,True
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,1,12,12,True
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,2,14,14,True
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,3,7,7,True
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,4,9,9,True
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,5,10,10,True
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,6,15,15,True
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,7,9,9,True
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,8,11,11,True
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,9,8,8,True
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,1,26,26,True
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,2,13,13,True
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,3,6,6,True
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,4,10,10,True
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,5,10,10,True
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,6,21,21,True
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,7,16,16,True
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,8,9,9,True
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,9,9,9,True
Q8-E001/from_Q5_source_curves,1,27,27,True
Q8-E001/from_Q5_source_curves,2,13,13,True
Q8-E001/from_Q5_source_curves,3,10,10,True
Q8-E001/from_Q5_source_curves,4,10,10,True
Q8-E001/from_Q5_source_curves,5,17,17,True
Q8-E001/from_Q5_source_curves,6,15,15,True
Q8-E001/from_Q5_source_curves,7,16,16,True
Q8-E001/from_Q5_source_curves,8,23,23,True
Q8-E001/from_Q5_source_curves,9,9,9,True
