condition,subject,seed,dimension,stratum,n_trials,n_classes_present,balanced_accuracy_observed_classes,accuracy,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q5-E001,1,20260924,artifact,False,554,4,0.5421762494796293,0.5433212996389891,0.9,0.5683453237410072,0.6496350364963503,0.050724637681159424
Q5-E001,1,20260924,artifact,True,22,4,0.4220238095238095,0.4090909090909091,0.75,0.2,0.5714285714285714,0.16666666666666666
Q5-E001,1,20260924,session,0train,288,4,0.5277777777777778,0.5277777777777778,0.875,0.4722222222222222,0.6666666666666666,0.09722222222222222
Q5-E001,1,20260924,session,1test,288,4,0.548611111111111,0.5486111111111112,0.9166666666666666,0.6388888888888888,0.625,0.013888888888888888
Q5-E001,1,20260925,artifact,False,554,4,0.5725485413908525,0.5740072202166066,0.8142857142857143,0.762589928057554,0.43795620437956206,0.2753623188405797
Q5-E001,1,20260925,artifact,True,22,4,0.40654761904761905,0.36363636363636365,0.75,0.4,0.14285714285714285,0.3333333333333333
Q5-E001,1,20260925,session,0train,288,4,0.5381944444444444,0.5381944444444444,0.7638888888888888,0.6805555555555556,0.4305555555555556,0.2777777777777778
Q5-E001,1,20260925,session,1test,288,4,0.59375,0.59375,0.8611111111111112,0.8194444444444444,0.4166666666666667,0.2777777777777778
Q5-E001,1,20260926,artifact,False,554,4,0.6088061599503097,0.6101083032490975,0.7285714285714285,0.9928057553956835,0.5109489051094891,0.2028985507246377
Q5-E001,1,20260926,artifact,True,22,4,0.5363095238095238,0.5,0.75,0.8,0.42857142857142855,0.16666666666666666
Q5-E001,1,20260926,session,0train,288,4,0.6145833333333334,0.6145833333333334,0.7083333333333334,1.0,0.5,0.25
Q5-E001,1,20260926,session,1test,288,4,0.5972222222222222,0.5972222222222222,0.75,0.9722222222222222,0.5138888888888888,0.1527777777777778
Q5-E001,2,20260924,artifact,False,553,4,0.24205486542443064,0.2423146473779385,0.7753623188405797,0.19285714285714287,0.0,0.0
Q5-E001,2,20260924,artifact,True,23,4,0.16666666666666666,0.17391304347826086,0.6666666666666666,0.0,0.0,0.0
Q5-E001,2,20260924,session,0train,288,4,0.24652777777777776,0.2465277777777778,0.9166666666666666,0.06944444444444445,0.0,0.0
Q5-E001,2,20260924,session,1test,288,4,0.2326388888888889,0.2326388888888889,0.625,0.3055555555555556,0.0,0.0
Q5-E001,2,20260925,artifact,False,553,4,0.24466011042098,0.244122965641953,0.9492753623188406,0.007142857142857143,0.022222222222222223,0.0
Q5-E001,2,20260925,artifact,True,23,4,0.20833333333333334,0.21739130434782608,0.8333333333333334,0.0,0.0,0.0
