condition,subject,n_seeds,mean_seed_ba,seed_ba_range
Q5-E001,1,3,0.5700231481481481,0.06770833333333337
Q5-E001,2,3,0.24479166666666666,0.012152777777777762
Q5-E001,3,3,0.26099537037037035,0.02777777777777779
Q5-E001,4,3,0.36921296296296297,0.03125
Q5-E001,5,3,0.24131944444444445,0.013888888888888895
Q5-E001,6,3,0.2835648148148148,0.046874999999999944
Q5-E001,7,3,0.2847222222222222,0.015625
Q5-E001,8,3,0.296875,0.03819444444444442
Q5-E001,9,3,0.4832175925925926,0.03993055555555558
Q6-E001,1,3,0.5688657407407407,0.08680555555555547
Q6-E001,2,3,0.24710648148148148,0.008680555555555552
Q6-E001,3,3,0.6585648148148148,0.19270833333333337
Q6-E001,4,3,0.3738425925925926,0.036458333333333315
Q6-E001,5,3,0.24652777777777776,0.019097222222222182
Q6-E001,6,3,0.2829861111111111,0.02430555555555558
Q6-E001,7,3,0.2864583333333333,0.01909722222222221
Q6-E001,8,3,0.2528935185185185,0.010416666666666657
Q6-E001,9,3,0.4965277777777778,0.020833333333333315
Q7-E001/B,3,3,0.2569444444444444,0.010416666666666685
Q7-E001/C,3,3,0.6770833333333334,0.10763888888888884
Q8-E001,1,3,0.5700231481481481,0.06770833333333337
Q8-E001,2,3,0.2783564814814815,0.03472222222222221
Q8-E001,3,3,0.6087962962962963,0.02256944444444453
Q8-E001,4,3,0.36921296296296297,0.03125
Q8-E001,5,3,0.2505787037037037,0.00694444444444442
Q8-E001,6,3,0.28530092592592593,0.045138888888888895
Q8-E001,7,3,0.30324074074074076,0.03125
Q8-E001,8,3,0.6545138888888888,0.10243055555555558
Q8-E001,9,3,0.5202546296296297,0.039930555555555525
Q9-E001/BETA_13_30,1,3,0.2806712962962963,0.053819444444444475
Q9-E001/BETA_13_30,2,3,0.24710648148148148,0.008680555555555552
Q9-E001/BETA_13_30,3,3,0.2505787037037037,0.001736111111111105
Q9-E001/BETA_13_30,4,3,0.2505787037037037,0.005208333333333315
Q9-E001/BETA_13_30,5,3,0.2511574074074074,0.00347222222222221
Q9-E001/BETA_13_30,6,3,0.3061342592592593,0.03125
Q9-E001/BETA_13_30,7,3,0.27372685185185186,0.09201388888888887
Q9-E001/BETA_13_30,8,3,0.5,0.029513888888888895
Q9-E001/BETA_13_30,9,3,0.47800925925925924,0.0625
Q9-E001/MID_8_30,1,3,0.6024305555555556,0.02430555555555558
Q9-E001/MID_8_30,2,3,0.296875,0.039930555555555525
Q9-E001/MID_8_30,3,3,0.6863425925925926,0.17013888888888884
Q9-E001/MID_8_30,4,3,0.3524305555555556,0.06076388888888884
Q9-E001/MID_8_30,5,3,0.2488425925925926,0.02604166666666663
Q9-E001/MID_8_30,6,3,0.2818287037037037,0.00694444444444442
Q9-E001/MID_8_30,7,3,0.34606481481481477,0.01215277777777779
Q9-E001/MID_8_30,8,3,0.5758101851851851,0.125
Q9-E001/MID_8_30,9,3,0.6192129629629629,0.03645833333333326
Q9-E001/MU_8_13,1,3,0.5734953703703703,0.05034722222222221
Q9-E001/MU_8_13,2,3,0.3055555555555556,0.05381944444444442
Q9-E001/MU_8_13,3,3,0.6128472222222222,0.02083333333333348
Q9-E001/MU_8_13,4,3,0.3883101851851852,0.048611111111111105
Q9-E001/MU_8_13,5,3,0.24363425925925924,0.024305555555555552
Q9-E001/MU_8_13,6,3,0.2800925925925926,0.02256944444444442
Q9-E001/MU_8_13,7,3,0.2841435185185185,0.022569444444444475
Q9-E001/MU_8_13,8,3,0.6076388888888888,0.03819444444444442
Q9-E001/MU_8_13,9,3,0.6012731481481481,0.05555555555555558
Q9-E001/MU_BETA_SHARED,1,3,0.5584490740740741,0.11458333333333326
Q9-E001/MU_BETA_SHARED,2,3,0.28645833333333337,0.03819444444444442
Q9-E001/MU_BETA_SHARED,3,3,0.615162037037037,0.09375
Q9-E001/MU_BETA_SHARED,4,3,0.3819444444444444,0.015625
Q9-E001/MU_BETA_SHARED,5,3,0.25405092592592593,0.01041666666666663
Q9-E001/MU_BETA_SHARED,6,3,0.28009259259259256,0.05034722222222224
Q9-E001/MU_BETA_SHARED,7,3,0.3408564814814815,0.05555555555555558
Q9-E001/MU_BETA_SHARED,8,3,0.5520833333333334,0.0347222222222221
Q9-E001/MU_BETA_SHARED,9,3,0.5277777777777778,0.04861111111111105
Q9-E002/MID_8_30_Q8_EPOCHS,1,3,0.609375,0.03472222222222221
Q9-E002/MID_8_30_Q8_EPOCHS,2,3,0.28703703703703703,0.03472222222222221
Q9-E002/MID_8_30_Q8_EPOCHS,3,3,0.5815972222222222,0.05208333333333337
Q9-E002/MID_8_30_Q8_EPOCHS,4,3,0.3819444444444444,0.036458333333333315
Q9-E002/MID_8_30_Q8_EPOCHS,5,3,0.2511574074074074,0.020833333333333315
Q9-E002/MID_8_30_Q8_EPOCHS,6,3,0.27372685185185186,0.017361111111111105
Q9-E002/MID_8_30_Q8_EPOCHS,7,3,0.3020833333333333,0.02777777777777779
Q9-E002/MID_8_30_Q8_EPOCHS,8,3,0.6168981481481481,0.07118055555555547
Q9-E002/MID_8_30_Q8_EPOCHS,9,3,0.5416666666666667,0.07291666666666663
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,1,3,0.6001157407407407,0.02951388888888895
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,2,3,0.28645833333333337,0.03819444444444442
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,3,3,0.615162037037037,0.09375
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,4,3,0.3819444444444444,0.015625
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,5,3,0.25636574074074076,0.010416666666666685
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,6,3,0.27199074074074076,0.010416666666666685
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,7,3,0.3408564814814815,0.05555555555555558
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,8,3,0.6342592592592593,0.10416666666666663
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS,9,3,0.5277777777777778,0.04861111111111105
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,1,3,0.5567129629629629,0.01041666666666674
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,2,3,0.26967592592592593,0.07118055555555552
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,3,3,0.6122685185185185,0.06597222222222221
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,4,3,0.35127314814814814,0.015625
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,5,3,0.24131944444444445,0.029513888888888895
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,6,3,0.2789351851851852,0.006944444444444475
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,7,3,0.34780092592592593,0.055555555555555525
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,8,3,0.6047453703703703,0.09895833333333337
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN,9,3,0.5271990740740741,0.02604166666666674
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,1,3,0.5885416666666666,0.02951388888888895
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,2,3,0.28761574074074076,0.03298611111111116
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,3,3,0.5434027777777778,0.1440972222222222
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,4,3,0.3616898148148148,0.04513888888888884
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,5,3,0.24305555555555555,0.01909722222222221
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,6,3,0.29108796296296297,0.05034722222222221
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,7,3,0.3287037037037037,0.053819444444444475
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,8,3,0.5734953703703703,0.09895833333333337
Q9-E005/MU_BETA_SHARED_SOURCE_NORM,9,3,0.5196759259259259,0.04513888888888895
Q9-A001/PSD44_LDA,1,1,0.4253472222222222,0.0
Q9-A001/PSD44_LDA,2,1,0.2760416666666667,0.0
Q9-A001/PSD44_LDA,3,1,0.4079861111111111,0.0
Q9-A001/PSD44_LDA,4,1,0.3663194444444444,0.0
Q9-A001/PSD44_LDA,5,1,0.2552083333333333,0.0
Q9-A001/PSD44_LDA,6,1,0.2777777777777778,0.0
Q9-A001/PSD44_LDA,7,1,0.3315972222222222,0.0
Q9-A001/PSD44_LDA,8,1,0.4548611111111111,0.0
Q9-A001/PSD44_LDA,9,1,0.4704861111111111,0.0
