fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s7,7,20260924,all,1,1,116,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,1,2,20,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,1,3,2,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,1,4,6,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,2,1,102,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,2,2,34,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,2,3,1,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,2,4,7,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,3,1,106,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,3,2,22,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,3,3,6,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,3,4,10,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,4,1,70,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,4,2,18,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,4,3,9,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,all,4,4,47,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,1,1,110,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,1,2,20,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,1,3,2,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,1,4,6,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,2,1,95,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,2,2,33,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,2,3,1,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,2,4,6,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,3,1,103,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,3,2,21,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,3,3,6,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,3,4,8,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,4,1,67,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,4,2,18,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,4,3,9,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,unflagged,4,4,43,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,1,1,6,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,1,2,0,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,1,3,0,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,1,4,0,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,2,1,7,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,2,2,1,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,2,3,0,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,2,4,1,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,3,1,3,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,3,2,1,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,3,3,0,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,3,4,2,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,4,1,3,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,4,2,0,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,4,3,0,BROAD_CAPACITY_MATCHED
loso_s7,7,20260924,flagged,4,4,4,BROAD_CAPACITY_MATCHED
