fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,37.0,1.0,3.0,30.0,17.75,False
loso_s1,1,2,39.0,2.0,5.0,26.0,18.0,False
loso_s1,1,3,38.0,5.0,4.0,16.0,15.75,False
loso_s1,1,4,35.0,6.0,1.0,14.0,14.0,False
loso_s1,1,5,31.0,8.0,2.0,8.0,12.25,False
loso_s1,1,6,22.0,7.0,6.0,3.0,9.5,False
loso_s1,1,7,14.0,4.0,8.0,2.0,7.0,True
loso_s1,1,8,10.0,12.0,7.0,7.0,9.0,False
loso_s1,1,9,12.0,10.0,13.0,1.0,9.0,False
loso_s1,1,10,8.0,3.0,20.0,9.0,10.0,False
loso_s1,1,11,28.0,27.0,11.0,5.0,17.75,False
loso_s1,1,12,16.0,11.0,10.0,13.0,12.5,False
loso_s1,1,13,23.0,29.0,15.0,18.0,21.25,False
loso_s1,1,14,4.0,20.0,16.0,4.0,11.0,False
loso_s1,1,15,1.0,14.0,9.0,21.0,11.25,False
loso_s1,1,16,6.0,16.0,12.0,12.0,11.5,False
loso_s1,1,17,15.0,15.0,19.0,23.0,18.0,False
loso_s1,1,18,21.0,40.0,14.0,11.0,21.5,False
loso_s1,1,19,7.0,23.0,18.0,27.0,18.75,False
loso_s1,1,20,5.0,13.0,25.0,10.0,13.25,False
loso_s1,1,21,3.0,9.0,24.0,19.0,13.75,False
loso_s1,1,22,24.0,18.0,17.0,6.0,16.25,False
loso_s1,1,23,30.0,30.0,23.0,25.0,27.0,False
loso_s1,1,24,2.0,38.0,22.0,29.0,22.75,False
loso_s1,1,25,13.0,35.0,27.0,15.0,22.5,False
loso_s1,1,26,19.0,25.0,21.0,40.0,26.25,False
loso_s1,1,27,33.0,26.0,35.0,31.0,31.25,False
loso_s1,1,28,20.0,31.0,28.0,28.0,26.75,False
loso_s1,1,29,34.0,34.0,30.0,24.0,30.5,False
loso_s1,1,30,11.0,36.0,36.0,34.0,29.25,False
loso_s1,1,31,26.0,32.0,26.0,37.0,30.25,False
loso_s1,1,32,18.0,24.0,37.0,32.0,27.75,False
loso_s1,1,33,25.0,21.0,34.0,20.0,25.0,False
loso_s1,1,34,32.0,39.0,38.0,22.0,32.75,False
loso_s1,1,35,36.0,33.0,31.0,39.0,34.75,False
loso_s1,1,36,17.0,28.0,33.0,33.0,27.75,False
loso_s1,1,37,40.0,19.0,40.0,35.0,33.5,False
loso_s1,1,38,29.0,17.0,29.0,36.0,27.75,False
loso_s1,1,39,9.0,22.0,32.0,17.0,20.0,False
loso_s1,1,40,27.0,37.0,39.0,38.0,35.25,False
loso_s2,2,1,39.0,1.0,3.0,26.0,17.25,False
loso_s2,2,2,40.0,2.0,5.0,25.0,18.0,False
loso_s2,2,3,38.0,3.0,4.0,8.0,13.25,False
loso_s2,2,4,37.0,4.0,1.0,4.0,11.5,False
loso_s2,2,5,36.0,5.0,2.0,2.0,11.25,False
loso_s2,2,6,34.0,8.0,6.0,3.0,12.75,False
loso_s2,2,7,30.0,6.0,8.0,1.0,11.25,False
loso_s2,2,8,20.0,7.0,7.0,38.0,18.0,False
loso_s2,2,9,19.0,9.0,9.0,5.0,10.5,True
loso_s2,2,10,10.0,15.0,15.0,17.0,14.25,False
loso_s2,2,11,33.0,28.0,11.0,23.0,23.75,False
loso_s2,2,12,18.0,10.0,13.0,32.0,18.25,False
loso_s2,2,13,17.0,11.0,10.0,39.0,19.25,False
loso_s2,2,14,5.0,20.0,14.0,34.0,18.25,False
loso_s2,2,15,1.0,26.0,12.0,6.0,11.25,False
