fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.6041666666666667,0.6041666666666666,0.602182410061025,0.6085253079067254,0.6041666666666667,0.4722222222222222,BROAD_CAPACITY_MATCHED,7
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.6109811493417588,0.6119133574007221,0.6093552922024679,0.6144533239884442,0.6109811493417588,0.4823824920038937,BROAD_CAPACITY_MATCHED,7
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.4339285714285714,0.4090909090909091,0.3982683982683982,0.45,0.4339285714285714,0.2249322493224932,BROAD_CAPACITY_MATCHED,7
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5225694444444444,0.5225694444444444,0.5325309375309375,0.5798912952811178,0.5225694444444444,0.3634259259259259,BROAD_CAPACITY_MATCHED,7
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.5251158867982008,0.5252707581227437,0.53484148039935,0.5823365892462606,0.5251158867982008,0.3673849520443563,BROAD_CAPACITY_MATCHED,7
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.4779761904761904,0.4545454545454545,0.4701298701298702,0.5508928571428572,0.4779761904761904,0.2666666666666666,BROAD_CAPACITY_MATCHED,7
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.5572916666666667,0.5572916666666666,0.5238510869859045,0.6624705448017545,0.5572916666666667,0.4097222222222222,BROAD_CAPACITY_MATCHED,7
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.5582418546280081,0.5577617328519856,0.5247355918437899,0.6636430060958076,0.5582418546280081,0.4110934666215431,BROAD_CAPACITY_MATCHED,7
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.5517857142857143,0.5454545454545454,0.4970238095238095,0.5071428571428571,0.5517857142857143,0.3732193732193732,BROAD_CAPACITY_MATCHED,7
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.3055555555555556,0.3055555555555556,0.2390649812566312,0.3631399540093674,0.3055555555555556,0.074074074074074,BROAD_CAPACITY_MATCHED,9
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.3019438693351737,0.3037974683544304,0.2386182955669904,0.3637167693598311,0.3019438693351737,0.0695240217994607,BROAD_CAPACITY_MATCHED,9
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.4166666666666666,0.3478260869565217,0.2509803921568627,0.188034188034188,0.4166666666666666,0.1766109785202865,BROAD_CAPACITY_MATCHED,9
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.2916666666666667,0.2916666666666667,0.235151070097544,0.2297477959242665,0.2916666666666667,0.0555555555555555,BROAD_CAPACITY_MATCHED,9
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.2814412238325282,0.2802893309222423,0.2248454947001336,0.2182361618486395,0.2814412238325282,0.0414734100698117,BROAD_CAPACITY_MATCHED,9
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.5486111111111112,0.5652173913043478,0.4803571428571428,0.4946428571428571,0.5486111111111112,0.4010416666666666,BROAD_CAPACITY_MATCHED,9
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.3020833333333333,0.3020833333333333,0.2440824746727446,0.3376299032601941,0.3020833333333333,0.0694444444444444,BROAD_CAPACITY_MATCHED,9
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.2939210950080515,0.2929475587703435,0.2351205078854939,0.3253938850604509,0.2939210950080515,0.0582293808146625,BROAD_CAPACITY_MATCHED,9
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.5208333333333334,0.5217391304347826,0.4660339660339661,0.53125,0.5208333333333334,0.3428571428571428,BROAD_CAPACITY_MATCHED,9
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.5381944444444444,0.5381944444444444,0.5132776031256672,0.6254995007114761,0.5381944444444444,0.3842592592592593,BROAD_CAPACITY_MATCHED,9
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.5373410724156993,0.5377532228360957,0.5123277269072812,0.627278850253317,0.5373410724156993,0.3839753035083121,BROAD_CAPACITY_MATCHED,9
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.55,0.5454545454545454,0.5249999999999999,0.5975877192982456,0.55,0.3858560794044666,BROAD_CAPACITY_MATCHED,9
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.6111111111111112,0.6111111111111112,0.6156894563361818,0.6928753899986595,0.6111111111111112,0.4814814814814815,BROAD_CAPACITY_MATCHED,9
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.6138197634306444,0.6132596685082873,0.6179874777301323,0.6998605619497512,0.6138197634306444,0.4849151462862666,BROAD_CAPACITY_MATCHED,9
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.59375,0.5757575757575758,0.5785714285714286,0.6051136363636364,0.59375,0.4296296296296297,BROAD_CAPACITY_MATCHED,9
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.5555555555555556,0.5555555555555556,0.5348017301431756,0.6615035618705383,0.5555555555555556,0.4074074074074074,BROAD_CAPACITY_MATCHED,9
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.5541195079589266,0.5524861878453039,0.5332753682487725,0.6627996948281646,0.5541195079589266,0.4041858574911948,BROAD_CAPACITY_MATCHED,9
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.5604166666666667,0.6060606060606061,0.5355769230769231,0.6198529411764706,0.5604166666666667,0.4583333333333333,BROAD_CAPACITY_MATCHED,9
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3975694444444444,0.3975694444444444,0.3738358873709831,0.3808976833575516,0.3975694444444444,0.1967592592592593,BROAD_CAPACITY_MATCHED,7
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.405359271141141,0.4040816326530612,0.3843070198252626,0.39,0.405359271141141,0.2058611311539102,BROAD_CAPACITY_MATCHED,7
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.3578260869565217,0.3604651162790697,0.3020242914979757,0.3065462315462315,0.3578260869565217,0.1488213064603203,BROAD_CAPACITY_MATCHED,7
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.328125,0.328125,0.2532138021905558,0.3666761624620168,0.328125,0.1041666666666666,BROAD_CAPACITY_MATCHED,7
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.323056646456681,0.3265306122448979,0.2521419728018314,0.3631499872676343,0.323056646456681,0.0986220121298608,BROAD_CAPACITY_MATCHED,7
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.3659420289855072,0.3372093023255814,0.2642480842911877,0.3692697228144989,0.3659420289855072,0.1380341128890452,BROAD_CAPACITY_MATCHED,7
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.3177083333333333,0.3177083333333333,0.2697196748911347,0.3352246959389816,0.3177083333333333,0.0902777777777777,BROAD_CAPACITY_MATCHED,7
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.3131690248302289,0.3183673469387755,0.2706053843678919,0.3409320381136794,0.3131690248302289,0.0854019738239205,BROAD_CAPACITY_MATCHED,7
loso_s4,4,20260926,EEGNet,flagged,4608,86,4,0.3536835748792271,0.313953488372093,0.2607803283915192,0.2412217412217412,0.3536835748792271,0.1177186576247609,BROAD_CAPACITY_MATCHED,7
loso_s5,5,20260924,EEGNet,all,4608,576,4,0.2638888888888889,0.2638888888888889,0.1544285098787468,0.1367675058176433,0.2638888888888889,0.0185185185185184,BROAD_CAPACITY_MATCHED,16
loso_s5,5,20260924,EEGNet,unflagged,4608,538,4,0.2637892441026229,0.2602230483271375,0.1520431145431145,0.1338904056700036,0.2637892441026229,0.0179960375697094,BROAD_CAPACITY_MATCHED,16
loso_s5,5,20260924,EEGNet,flagged,4608,38,4,0.2622377622377622,0.3157894736842105,0.181184668989547,0.16875,0.2622377622377622,0.0217821782178219,BROAD_CAPACITY_MATCHED,16
loso_s5,5,20260925,EEGNet,all,4608,576,4,0.234375,0.234375,0.1438467376149379,0.1110922582688566,0.234375,-0.0208333333333332,BROAD_CAPACITY_MATCHED,16
loso_s5,5,20260925,EEGNet,unflagged,4608,538,4,0.2377173850657177,0.2323420074349442,0.1437261320240043,0.1103543762184917,0.2377173850657177,-0.0161249016774289,BROAD_CAPACITY_MATCHED,16
loso_s5,5,20260925,EEGNet,flagged,4608,38,4,0.1993006993006993,0.2631578947368421,0.1451800232288037,0.1214285714285714,0.1993006993006993,-0.0969072164948454,BROAD_CAPACITY_MATCHED,16
loso_s5,5,20260926,EEGNet,all,4608,576,4,0.2604166666666666,0.2604166666666667,0.1736362662094094,0.1302387267904509,0.2604166666666666,0.0138888888888888,BROAD_CAPACITY_MATCHED,16
loso_s5,5,20260926,EEGNet,unflagged,4608,538,4,0.2651093382310738,0.2602230483271375,0.1746307180396181,0.1302256138022561,0.2651093382310738,0.0197493110173138,BROAD_CAPACITY_MATCHED,16
loso_s5,5,20260926,EEGNet,flagged,4608,38,4,0.2097902097902098,0.2631578947368421,0.1619644723092999,0.1349431818181818,0.2097902097902098,-0.0704225352112675,BROAD_CAPACITY_MATCHED,16
loso_s6,6,20260924,EEGNet,all,4608,576,4,0.2829861111111111,0.2829861111111111,0.2611015814698301,0.423519536019536,0.2829861111111111,0.0439814814814815,BROAD_CAPACITY_MATCHED,13
loso_s6,6,20260924,EEGNet,unflagged,4608,434,4,0.2956033923322602,0.2903225806451613,0.2721572993843651,0.4946955719557195,0.2956033923322602,0.0618784607934648,BROAD_CAPACITY_MATCHED,13
loso_s6,6,20260924,EEGNet,flagged,4608,142,4,0.2447687154129944,0.2605633802816901,0.2263542963885429,0.2907051282051281,0.2447687154129944,-0.0090004737091424,BROAD_CAPACITY_MATCHED,13
loso_s6,6,20260925,EEGNet,all,4608,576,4,0.3159722222222222,0.3159722222222222,0.3051261515215003,0.4158302939687445,0.3159722222222222,0.0879629629629629,BROAD_CAPACITY_MATCHED,13
loso_s6,6,20260925,EEGNet,unflagged,4608,434,4,0.3322634644681941,0.3294930875576037,0.3184384740401338,0.4605058751014511,0.3322634644681941,0.1114253751820502,BROAD_CAPACITY_MATCHED,13
loso_s6,6,20260925,EEGNet,flagged,4608,142,4,0.2650789736626358,0.2746478873239437,0.260060714635666,0.3162878787878788,0.2650789736626358,0.0142212037473881,BROAD_CAPACITY_MATCHED,13
loso_s6,6,20260926,EEGNet,all,4608,576,4,0.3420138888888889,0.3420138888888889,0.3377924238816681,0.4332904758605794,0.3420138888888889,0.1226851851851852,BROAD_CAPACITY_MATCHED,13
loso_s6,6,20260926,EEGNet,unflagged,4608,434,4,0.362887068396109,0.3617511520737327,0.3576952125647288,0.4979799227233292,0.362887068396109,0.1522779999012784,BROAD_CAPACITY_MATCHED,13
loso_s6,6,20260926,EEGNet,flagged,4608,142,4,0.275777887374462,0.2816901408450704,0.2761101936308369,0.3109584859584859,0.275777887374462,0.0331753554502369,BROAD_CAPACITY_MATCHED,13
loso_s7,7,20260924,EEGNet,all,4608,576,4,0.3524305555555556,0.3524305555555556,0.3075668655090536,0.4152200690190754,0.3524305555555556,0.136574074074074,BROAD_CAPACITY_MATCHED,13
loso_s7,7,20260924,EEGNet,unflagged,4608,548,4,0.3497231919320145,0.3503649635036496,0.306630469533901,0.4169755003450655,0.3497231919320145,0.1330154342522186,BROAD_CAPACITY_MATCHED,13
loso_s7,7,20260924,EEGNet,flagged,4608,28,4,0.4206349206349206,0.3928571428571428,0.3083116883116883,0.3468045112781954,0.4206349206349206,0.2106135986733001,BROAD_CAPACITY_MATCHED,13
loso_s7,7,20260925,EEGNet,all,4608,576,4,0.2847222222222222,0.2847222222222222,0.2222679304701057,0.4538185050179259,0.2847222222222222,0.0462962962962962,BROAD_CAPACITY_MATCHED,13
loso_s7,7,20260925,EEGNet,unflagged,4608,548,4,0.2810368842342818,0.2791970802919708,0.2164979413637893,0.4395572163291545,0.2810368842342818,0.0409817907934961,BROAD_CAPACITY_MATCHED,13
loso_s7,7,20260925,EEGNet,flagged,4608,28,4,0.3551587301587302,0.3928571428571428,0.3358516483516484,0.6635338345864661,0.3551587301587302,0.1469534050179212,BROAD_CAPACITY_MATCHED,13
loso_s7,7,20260926,EEGNet,all,4608,576,4,0.3194444444444444,0.3194444444444444,0.2972993099374434,0.378213518529343,0.3194444444444444,0.0925925925925925,BROAD_CAPACITY_MATCHED,13
loso_s7,7,20260926,EEGNet,unflagged,4608,548,4,0.3152259129964621,0.3156934306569343,0.2925401240440702,0.3706081679874789,0.3152259129964621,0.0871697375668519,BROAD_CAPACITY_MATCHED,13
loso_s7,7,20260926,EEGNet,flagged,4608,28,4,0.3908730158730159,0.3928571428571428,0.3825757575757575,0.5386904761904762,0.3908730158730159,0.1973018549747049,BROAD_CAPACITY_MATCHED,13
loso_s8,8,20260924,EEGNet,all,4608,576,4,0.623263888888889,0.6232638888888888,0.6169594600180305,0.6344575590398761,0.623263888888889,0.4976851851851852,BROAD_CAPACITY_MATCHED,9
loso_s8,8,20260924,EEGNet,unflagged,4608,535,4,0.6280536361155903,0.6280373831775701,0.6214310488302645,0.6399316201040338,0.6280536361155903,0.503988035892323,BROAD_CAPACITY_MATCHED,9
loso_s8,8,20260924,EEGNet,flagged,4608,41,4,0.5784090909090909,0.5609756097560976,0.5581889506374632,0.5892857142857143,0.5784090909090909,0.4211764705882352,BROAD_CAPACITY_MATCHED,9
loso_s8,8,20260925,EEGNet,all,4608,576,4,0.5642361111111112,0.5642361111111112,0.5535939880702914,0.6630548468254622,0.5642361111111112,0.4189814814814815,BROAD_CAPACITY_MATCHED,9
