fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,20,FOUR_BAND_SHARED
loso_s1,1,20260924,all,1,2,55,FOUR_BAND_SHARED
loso_s1,1,20260924,all,1,3,35,FOUR_BAND_SHARED
loso_s1,1,20260924,all,1,4,34,FOUR_BAND_SHARED
loso_s1,1,20260924,all,2,1,0,FOUR_BAND_SHARED
loso_s1,1,20260924,all,2,2,140,FOUR_BAND_SHARED
loso_s1,1,20260924,all,2,3,2,FOUR_BAND_SHARED
loso_s1,1,20260924,all,2,4,2,FOUR_BAND_SHARED
loso_s1,1,20260924,all,3,1,0,FOUR_BAND_SHARED
loso_s1,1,20260924,all,3,2,19,FOUR_BAND_SHARED
loso_s1,1,20260924,all,3,3,93,FOUR_BAND_SHARED
loso_s1,1,20260924,all,3,4,32,FOUR_BAND_SHARED
loso_s1,1,20260924,all,4,1,1,FOUR_BAND_SHARED
loso_s1,1,20260924,all,4,2,9,FOUR_BAND_SHARED
loso_s1,1,20260924,all,4,3,95,FOUR_BAND_SHARED
loso_s1,1,20260924,all,4,4,39,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,1,1,20,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,1,2,54,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,1,3,32,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,1,4,34,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,2,1,0,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,2,2,136,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,2,3,1,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,2,4,2,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,3,1,0,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,3,2,18,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,3,3,89,FOUR_BAND_SHARED
loso_s1,1,20260924,unflagged,3,4,30,FOUR_BAND_SHARED
