fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,32.0,1.0,4.0,36.0,18.25,False
loso_s1,1,2,35.0,2.0,6.0,32.0,18.75,False
loso_s1,1,3,30.0,5.0,5.0,30.0,17.5,False
loso_s1,1,4,26.0,9.0,3.0,26.0,16.0,False
loso_s1,1,5,18.0,11.0,2.0,24.0,13.75,False
loso_s1,1,6,14.0,13.0,1.0,16.0,11.0,False
loso_s1,1,7,8.0,8.0,7.0,1.0,6.0,True
loso_s1,1,8,3.0,7.0,9.0,10.0,7.25,False
loso_s1,1,9,5.0,10.0,14.0,23.0,13.0,False
loso_s1,1,10,31.0,6.0,8.0,7.0,13.0,False
loso_s1,1,11,2.0,4.0,13.0,37.0,14.0,False
loso_s1,1,12,11.0,12.0,17.0,28.0,17.0,False
loso_s1,1,13,4.0,18.0,28.0,34.0,21.0,False
loso_s1,1,14,36.0,26.0,12.0,35.0,27.25,False
loso_s1,1,15,9.0,3.0,22.0,27.0,15.25,False
loso_s1,1,16,6.0,24.0,40.0,33.0,25.75,False
loso_s1,1,17,16.0,30.0,11.0,38.0,23.75,False
loso_s1,1,18,39.0,15.0,24.0,29.0,26.75,False
loso_s1,1,19,1.0,35.0,10.0,39.0,21.25,False
loso_s1,1,20,7.0,38.0,39.0,5.0,22.25,False
loso_s1,1,21,33.0,22.0,26.0,31.0,28.0,False
loso_s1,1,22,20.0,21.0,36.0,18.0,23.75,False
loso_s1,1,23,27.0,14.0,23.0,40.0,26.0,False
loso_s1,1,24,37.0,23.0,19.0,14.0,23.25,False
loso_s1,1,25,17.0,20.0,16.0,8.0,15.25,False
loso_s1,1,26,23.0,25.0,20.0,3.0,17.75,False
loso_s1,1,27,29.0,37.0,34.0,4.0,26.0,False
loso_s1,1,28,24.0,36.0,32.0,22.0,28.5,False
loso_s1,1,29,38.0,19.0,27.0,17.0,25.25,False
loso_s1,1,30,34.0,34.0,18.0,6.0,23.0,False
loso_s1,1,31,28.0,31.0,31.0,12.0,25.5,False
loso_s1,1,32,10.0,17.0,25.0,9.0,15.25,False
