fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.5069444444444445,0.5069444444444444,0.4550472586194389,0.5895007394014141,0.5069444444444445,0.3425925925925925,FOUR_BAND_SHARED,7
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.5079447526894837,0.5072202166064982,0.454903663977919,0.5869845224794772,0.5079447526894837,0.3436218367408937,FOUR_BAND_SHARED,7
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.4678571428571428,0.5,0.4292929292929293,0.4075757575757576,0.4678571428571428,0.3025936599423631,FOUR_BAND_SHARED,7
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5607638888888888,0.5607638888888888,0.5495120291003497,0.6582474216661773,0.5607638888888888,0.4143518518518518,FOUR_BAND_SHARED,7
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.565675271362001,0.5649819494584838,0.5511291839985859,0.6583609043286462,0.565675271362001,0.4207082671664973,FOUR_BAND_SHARED,7
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.4363095238095238,0.4545454545454545,0.4621794871794872,0.6277056277056277,0.4363095238095238,0.2369942196531791,FOUR_BAND_SHARED,7
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.4930555555555555,0.4930555555555556,0.4490708779612692,0.6225798535023274,0.4930555555555555,0.324074074074074,FOUR_BAND_SHARED,7
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.4935111166631821,0.4927797833935018,0.4489540639540639,0.6207715308830479,0.4935111166631821,0.3244195634249012,FOUR_BAND_SHARED,7
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.4654761904761905,0.5,0.4208683473389355,0.4082792207792208,0.4654761904761905,0.3065902578796561,FOUR_BAND_SHARED,7
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.3038194444444444,0.3038194444444444,0.2591849417264701,0.3665659692904275,0.3038194444444444,0.0717592592592593,FOUR_BAND_SHARED,8
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.3072003680699333,0.3056057866184448,0.2621209955179981,0.37901099456773,0.3072003680699333,0.0766902908822122,FOUR_BAND_SHARED,8
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.2361111111111111,0.2608695652173913,0.1869565217391304,0.1547619047619047,0.2361111111111111,-0.0771349862258954,FOUR_BAND_SHARED,8
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.265625,0.265625,0.1861557497263019,0.2291255654860421,0.265625,0.0208333333333333,FOUR_BAND_SHARED,8
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.2657407407407408,0.2622061482820976,0.1841964312236655,0.2311751089324618,0.2657407407407408,0.0213705427432542,FOUR_BAND_SHARED,8
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.2916666666666666,0.3478260869565217,0.2361111111111111,0.2083333333333333,0.2916666666666666,0.0057636887608069,FOUR_BAND_SHARED,8
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.3125,0.3125,0.2614386084566075,0.296992512514368,0.3125,0.0833333333333333,FOUR_BAND_SHARED,8
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.3099436392914654,0.3110307414104882,0.2606666764601048,0.2987312045141227,0.3099436392914654,0.080421091223338,FOUR_BAND_SHARED,8
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.4027777777777778,0.3478260869565217,0.2891414141414141,0.3047619047619047,0.4027777777777778,0.1626213592233009,FOUR_BAND_SHARED,8
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.5,0.5,0.4203978390316826,0.692580598069949,0.5,0.3333333333333333,FOUR_BAND_SHARED,5
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.501622623596991,0.5009208103130756,0.4237097664316741,0.703949228594259,0.501622623596991,0.3351150591222704,FOUR_BAND_SHARED,5
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.4791666666666666,0.4848484848484848,0.3720238095238095,0.3653846153846154,0.4791666666666666,0.3082614056720097,FOUR_BAND_SHARED,5
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.5381944444444444,0.5381944444444444,0.5158536869991336,0.6448648807256131,0.5381944444444444,0.3842592592592593,FOUR_BAND_SHARED,5
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.5370675307039681,0.5359116022099447,0.5143550629702116,0.6442999569715817,0.5370675307039681,0.3819456363652788,FOUR_BAND_SHARED,5
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.5680555555555555,0.5757575757575758,0.5495614035087719,0.6696969696969697,0.5680555555555555,0.4253731343283582,FOUR_BAND_SHARED,5
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.46875,0.46875,0.4365727973815057,0.5726403584467098,0.46875,0.2916666666666666,FOUR_BAND_SHARED,5
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.4661659025135759,0.4696132596685083,0.4342588225412878,0.5710581168582165,0.4661659025135759,0.2905985619995918,FOUR_BAND_SHARED,5
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.5083333333333333,0.4545454545454545,0.4613461538461538,0.6122807017543859,0.5083333333333333,0.2995283018867923,FOUR_BAND_SHARED,5
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3211805555555555,0.3211805555555556,0.2759396310691603,0.4374352741772693,0.3211805555555555,0.0949074074074074,FOUR_BAND_SHARED,6
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.3215747664923963,0.3265306122448979,0.2779166126276431,0.4486088641587955,0.3215747664923963,0.0958095216793226,FOUR_BAND_SHARED,6
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.3205555555555555,0.2906976744186046,0.2670192710515291,0.3560606060606061,0.3205555555555555,0.0900260190806592,FOUR_BAND_SHARED,6
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.3784722222222222,0.3784722222222222,0.3462396349262778,0.4038848258054667,0.3784722222222222,0.1712962962962962,FOUR_BAND_SHARED,6
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.3841451958904952,0.3877551020408163,0.3569346962987393,0.4189624033374033,0.3841451958904952,0.1803141571454859,FOUR_BAND_SHARED,6
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.3503502415458936,0.3255813953488372,0.2895144264602393,0.3548670062252405,0.3503502415458936,0.121366919147437,FOUR_BAND_SHARED,6
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.3454861111111111,0.3454861111111111,0.2487362861503718,0.2800445464753325,0.3454861111111111,0.1273148148148147,FOUR_BAND_SHARED,6
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.3442817987410017,0.3489795918367347,0.2527739218833679,0.2853938445487741,0.3442817987410017,0.1280214661467484,FOUR_BAND_SHARED,6
loso_s4,4,20260926,EEGNet,flagged,4608,86,4,0.3611111111111111,0.3255813953488372,0.231283422459893,0.1985294117647059,0.3611111111111111,0.1246051246051246,FOUR_BAND_SHARED,6
