fold,subject,epoch,rank_inner_1,rank_inner_2,rank_inner_3,rank_inner_4,mean_rank,selected
loso_s1,1,1,40.0,1.0,4.0,31.0,19.0,False
loso_s1,1,2,39.0,2.0,3.0,26.0,17.5,False
loso_s1,1,3,38.0,3.0,2.0,23.0,16.5,False
loso_s1,1,4,37.0,4.0,1.0,15.0,14.25,False
loso_s1,1,5,33.0,8.0,5.0,7.0,13.25,False
loso_s1,1,6,26.0,6.0,6.0,18.0,14.0,False
loso_s1,1,7,21.0,7.0,7.0,8.0,10.75,True
loso_s1,1,8,24.0,30.0,8.0,1.0,15.75,False
loso_s1,1,9,19.0,22.0,9.0,2.0,13.0,False
loso_s1,1,10,29.0,15.0,10.0,21.0,18.75,False
loso_s1,1,11,30.0,5.0,11.0,19.0,16.25,False
loso_s1,1,12,10.0,26.0,12.0,22.0,17.5,False
loso_s1,1,13,17.0,29.0,13.0,13.0,18.0,False
loso_s1,1,14,27.0,17.0,21.0,40.0,26.25,False
loso_s1,1,15,8.0,9.0,14.0,17.0,12.0,False
loso_s1,1,16,20.0,21.0,17.0,11.0,17.25,False
loso_s1,1,17,16.0,12.0,18.0,28.0,18.5,False
loso_s1,1,18,32.0,32.0,15.0,32.0,27.75,False
loso_s1,1,19,3.0,13.0,19.0,39.0,18.5,False
loso_s1,1,20,28.0,19.0,20.0,37.0,26.0,False
loso_s1,1,21,7.0,16.0,26.0,38.0,21.75,False
loso_s1,1,22,12.0,14.0,28.0,16.0,17.5,False
loso_s1,1,23,2.0,34.0,36.0,30.0,25.5,False
loso_s1,1,24,31.0,37.0,22.0,25.0,28.75,False
loso_s1,1,25,18.0,33.0,24.0,9.0,21.0,False
loso_s1,1,26,11.0,25.0,16.0,14.0,16.5,False
loso_s1,1,27,23.0,39.0,34.0,5.0,25.25,False
loso_s1,1,28,15.0,27.0,27.0,12.0,20.25,False
loso_s1,1,29,9.0,20.0,32.0,10.0,17.75,False
loso_s1,1,30,13.0,38.0,35.0,20.0,26.5,False
loso_s1,1,31,36.0,35.0,31.0,29.0,32.75,False
loso_s1,1,32,1.0,10.0,29.0,36.0,19.0,False
loso_s1,1,33,5.0,11.0,25.0,4.0,11.25,False
loso_s1,1,34,25.0,23.0,23.0,6.0,19.25,False
loso_s1,1,35,6.0,18.0,30.0,34.0,22.0,False
loso_s1,1,36,4.0,31.0,37.0,33.0,26.25,False
loso_s1,1,37,34.0,24.0,38.0,35.0,32.75,False
loso_s1,1,38,14.0,28.0,33.0,24.0,24.75,False
loso_s1,1,39,22.0,40.0,39.0,3.0,26.0,False
loso_s1,1,40,35.0,36.0,40.0,27.0,34.5,False
loso_s2,2,1,40.0,1.0,2.0,13.0,14.0,False
loso_s2,2,2,39.0,2.0,4.0,9.0,13.5,False
loso_s2,2,3,38.0,3.0,3.0,11.0,13.75,False
loso_s2,2,4,37.0,4.0,1.0,8.0,12.5,False
loso_s2,2,5,36.0,6.0,5.0,5.0,13.0,False
loso_s2,2,6,35.0,5.0,6.0,7.0,13.25,False
loso_s2,2,7,34.0,7.0,7.0,23.0,17.75,False
loso_s2,2,8,33.0,11.0,8.0,1.0,13.25,False
loso_s2,2,9,21.0,29.0,9.0,29.0,22.0,False
loso_s2,2,10,23.0,9.0,11.0,3.0,11.5,False
loso_s2,2,11,24.0,8.0,10.0,15.0,14.25,False
loso_s2,2,12,15.0,13.0,12.0,37.0,19.25,False
loso_s2,2,13,5.0,15.0,13.0,22.0,13.75,False
loso_s2,2,14,20.0,37.0,16.0,6.0,19.75,False
loso_s2,2,15,9.0,16.0,14.0,2.0,10.25,True
loso_s2,2,16,29.0,19.0,18.0,4.0,17.5,False
loso_s2,2,17,16.0,12.0,15.0,18.0,15.25,False
loso_s2,2,18,19.0,30.0,17.0,20.0,21.5,False
loso_s2,2,19,2.0,33.0,20.0,10.0,16.25,False
loso_s2,2,20,25.0,14.0,24.0,26.0,22.25,False
loso_s2,2,21,12.0,24.0,21.0,35.0,23.0,False
loso_s2,2,22,14.0,38.0,19.0,32.0,25.75,False
loso_s2,2,23,1.0,40.0,27.0,27.0,23.75,False
loso_s2,2,24,30.0,35.0,26.0,16.0,26.75,False
loso_s2,2,25,26.0,28.0,22.0,30.0,26.5,False
loso_s2,2,26,8.0,25.0,23.0,14.0,17.5,False
loso_s2,2,27,17.0,26.0,32.0,28.0,25.75,False
loso_s2,2,28,7.0,18.0,34.0,24.0,20.75,False
loso_s2,2,29,13.0,23.0,33.0,12.0,20.25,False
loso_s2,2,30,11.0,39.0,29.0,25.0,26.0,False
loso_s2,2,31,31.0,22.0,31.0,40.0,31.0,False
loso_s2,2,32,10.0,10.0,37.0,39.0,24.0,False
loso_s2,2,33,6.0,27.0,30.0,33.0,24.0,False
loso_s2,2,34,22.0,21.0,25.0,31.0,24.75,False
loso_s2,2,35,4.0,17.0,28.0,38.0,21.75,False
loso_s2,2,36,3.0,31.0,38.0,19.0,22.75,False
loso_s2,2,37,27.0,20.0,36.0,34.0,29.25,False
loso_s2,2,38,18.0,32.0,35.0,21.0,26.5,False
loso_s2,2,39,28.0,34.0,39.0,17.0,29.5,False
loso_s2,2,40,32.0,36.0,40.0,36.0,36.0,False
loso_s3,3,1,38.0,1.0,2.0,24.0,16.25,False
loso_s3,3,2,36.0,2.0,3.0,21.0,15.5,False
loso_s3,3,3,37.0,3.0,4.0,15.0,14.75,False
loso_s3,3,4,35.0,4.0,1.0,12.0,13.0,False
loso_s3,3,5,32.0,14.0,5.0,10.0,15.25,False
loso_s3,3,6,29.0,6.0,10.0,8.0,13.25,False
loso_s3,3,7,21.0,10.0,8.0,4.0,10.75,False
loso_s3,3,8,26.0,21.0,6.0,14.0,16.75,False
loso_s3,3,9,16.0,28.0,7.0,1.0,13.0,False
loso_s3,3,10,27.0,12.0,9.0,3.0,12.75,False
loso_s3,3,11,24.0,9.0,13.0,7.0,13.25,False
loso_s3,3,12,7.0,15.0,11.0,6.0,9.75,True
loso_s3,3,13,14.0,7.0,14.0,9.0,11.0,False
loso_s3,3,14,15.0,26.0,15.0,23.0,19.75,False
loso_s3,3,15,4.0,13.0,12.0,11.0,10.0,False
loso_s3,3,16,8.0,18.0,16.0,20.0,15.5,False
loso_s3,3,17,12.0,5.0,19.0,18.0,13.5,False
