fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa,condition,selected_epochs
loso_s1,1,20260924,EEGNet,all,4608,576,4,0.6024305555555556,0.6024305555555556,0.5913032567048877,0.5994854015148092,0.6024305555555556,0.4699074074074074,TWO_BAND_EARLY_STACK,7
loso_s1,1,20260924,EEGNet,unflagged,4608,554,4,0.6108264610146221,0.6119133574007221,0.6005570006121704,0.6076991828396323,0.6108264610146221,0.4823374997826957,TWO_BAND_EARLY_STACK,7
loso_s1,1,20260924,EEGNet,flagged,4608,22,4,0.4148809523809524,0.3636363636363636,0.3613095238095238,0.3999999999999999,0.4148809523809524,0.172043010752688,TWO_BAND_EARLY_STACK,7
loso_s1,1,20260925,EEGNet,all,4608,576,4,0.5451388888888888,0.5451388888888888,0.5314089781092283,0.5713084385834416,0.5451388888888888,0.3935185185185185,TWO_BAND_EARLY_STACK,7
loso_s1,1,20260925,EEGNet,unflagged,4608,554,4,0.5489579157728358,0.5505415162454874,0.536586222060577,0.5747020080220638,0.5489579157728358,0.4000808903153418,TWO_BAND_EARLY_STACK,7
loso_s1,1,20260925,EEGNet,flagged,4608,22,4,0.469047619047619,0.4090909090909091,0.4037581699346405,0.4935897435897436,0.469047619047619,0.2433862433862432,TWO_BAND_EARLY_STACK,7
loso_s1,1,20260926,EEGNet,all,4608,576,4,0.5868055555555556,0.5868055555555556,0.5375459460622362,0.5796617183985605,0.5868055555555556,0.449074074074074,TWO_BAND_EARLY_STACK,7
loso_s1,1,20260926,EEGNet,unflagged,4608,554,4,0.5886322406009544,0.5902527075812274,0.539498410564884,0.583362910381544,0.5886322406009544,0.453321161537124,TWO_BAND_EARLY_STACK,7
loso_s1,1,20260926,EEGNet,flagged,4608,22,4,0.5398809523809524,0.5,0.4945165945165945,0.55,0.5398809523809524,0.3546666666666667,TWO_BAND_EARLY_STACK,7
loso_s2,2,20260924,EEGNet,all,4608,576,4,0.282986111111111,0.2829861111111111,0.2320196933597459,0.2909954486153116,0.282986111111111,0.0439814814814815,TWO_BAND_EARLY_STACK,15
loso_s2,2,20260924,EEGNet,unflagged,4608,553,4,0.2843110190936277,0.2839059674502712,0.2346717406336073,0.298177084778145,0.2843110190936277,0.0456666971721423,TWO_BAND_EARLY_STACK,15
loso_s2,2,20260924,EEGNet,flagged,4608,23,4,0.2708333333333333,0.2608695652173913,0.1691919191919191,0.128125,0.2708333333333333,0.0224999999999999,TWO_BAND_EARLY_STACK,15
loso_s2,2,20260925,EEGNet,all,4608,576,4,0.2777777777777777,0.2777777777777778,0.1864616799695891,0.3375330979699911,0.2777777777777777,0.037037037037037,TWO_BAND_EARLY_STACK,15
loso_s2,2,20260925,EEGNet,unflagged,4608,553,4,0.2709138486312399,0.2712477396021699,0.1803989411044745,0.3311431329288472,0.2709138486312399,0.0280983157582578,TWO_BAND_EARLY_STACK,15
loso_s2,2,20260925,EEGNet,flagged,4608,23,4,0.5,0.4347826086956521,0.3472222222222222,0.2833333333333333,0.5,0.2543640897755611,TWO_BAND_EARLY_STACK,15
loso_s2,2,20260926,EEGNet,all,4608,576,4,0.3229166666666666,0.3229166666666667,0.2766050565349754,0.3103096475906238,0.3229166666666666,0.0972222222222222,TWO_BAND_EARLY_STACK,15
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.3187744421440073,0.3182640144665461,0.2713226918304369,0.3172588832487309,0.3187744421440073,0.0917839250707908,TWO_BAND_EARLY_STACK,15
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.4027777777777777,0.4347826086956521,0.3685897435897436,0.365079365079365,0.4027777777777777,0.2333333333333334,TWO_BAND_EARLY_STACK,15
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.6059027777777778,0.6059027777777778,0.6086213296175813,0.6834437158950889,0.6059027777777778,0.4745370370370371,TWO_BAND_EARLY_STACK,12
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.6039110270613401,0.6040515653775322,0.6066408477167885,0.6869930664573523,0.6039110270613401,0.4723294432441716,TWO_BAND_EARLY_STACK,12
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.642361111111111,0.6363636363636364,0.6388888888888888,0.6473214285714286,0.642361111111111,0.5105067985166873,TWO_BAND_EARLY_STACK,12
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.5677083333333333,0.5677083333333334,0.5626180445101886,0.6938072354359462,0.5677083333333333,0.4236111111111111,TWO_BAND_EARLY_STACK,12
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.570639485154506,0.570902394106814,0.5651651227706658,0.7013727402413775,0.570639485154506,0.4280567246359777,TWO_BAND_EARLY_STACK,12
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.5208333333333333,0.5151515151515151,0.5164646464646465,0.5833333333333333,0.5208333333333333,0.3440993788819876,TWO_BAND_EARLY_STACK,12
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.6336805555555555,0.6336805555555556,0.6128490528357868,0.6278960743713651,0.6336805555555555,0.5115740740740741,TWO_BAND_EARLY_STACK,12
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.6384930544068518,0.6408839779005525,0.6188726285633016,0.6329914736164737,0.6384930544068518,0.5205482553453538,TWO_BAND_EARLY_STACK,12
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.5645833333333333,0.5151515151515151,0.5071428571428571,0.5383928571428571,0.5645833333333333,0.368421052631579,TWO_BAND_EARLY_STACK,12
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.2552083333333333,0.2552083333333333,0.2049963512206075,0.3127288414853355,0.2552083333333333,0.0069444444444444,TWO_BAND_EARLY_STACK,13
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.2546946553436979,0.2591836734693877,0.2101240763595782,0.3190323315118397,0.2546946553436979,0.005301479716807,TWO_BAND_EARLY_STACK,13
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.2644444444444445,0.2325581395348837,0.1759629651611371,0.2455128205128205,0.2644444444444445,0.0179930795847752,TWO_BAND_EARLY_STACK,13
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.3472222222222221,0.3472222222222222,0.3590102907353533,0.3936043566362714,0.3472222222222221,0.1296296296296296,TWO_BAND_EARLY_STACK,13
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.3568092704068208,0.3571428571428571,0.3684532062181788,0.4034571582212236,0.3568092704068208,0.1409489355781271,TWO_BAND_EARLY_STACK,13
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.2995531400966184,0.2906976744186046,0.297851544642302,0.3279342185592185,0.2995531400966184,0.0690328305235137,TWO_BAND_EARLY_STACK,13
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.3680555555555556,0.3680555555555556,0.3239391342044786,0.3958394428152492,0.3680555555555556,0.1574074074074074,TWO_BAND_EARLY_STACK,13
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.3672557532743836,0.3693877551020408,0.3260178185828841,0.388372554999707,0.3672557532743836,0.1572461469100139,TWO_BAND_EARLY_STACK,13
