fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s5,5,20260926,all,1,1,4,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,1,2,139,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,1,3,1,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,1,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,2,1,4,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,2,2,139,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,2,3,1,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,2,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,3,1,2,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,3,2,141,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,3,3,1,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,3,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,4,1,7,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,4,2,137,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,4,3,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,all,4,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,1,1,3,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,1,2,129,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,1,3,1,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,1,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,2,1,3,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,2,2,128,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,2,3,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,2,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,3,1,2,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,3,2,135,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,3,3,1,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,3,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,4,1,7,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,4,2,129,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,4,3,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,unflagged,4,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,1,1,1,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,1,2,10,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,1,3,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,1,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,2,1,1,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,2,2,11,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,2,3,1,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,2,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,3,1,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,3,2,6,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,3,3,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,3,4,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,4,1,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,4,2,8,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,4,3,0,TWO_BAND_INDEPENDENT
loso_s5,5,20260926,flagged,4,4,0,TWO_BAND_INDEPENDENT
